problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,28,1,20
er_14_0.3_1,19.0,1.0,31,0,23
er_14_0.3_2,23.0,1.0,31,0,5
er_14_0.5_0,32.0,1.0,31,0,12
er_14_0.5_1,30.0,1.0,31,0,8
er_14_0.5_2,29.0,1.0,31,0,13
er_14_0.6_0,43.0,1.0,31,0,1
er_14_0.6_1,40.0,1.0,31,0,13
er_14_0.6_2,36.0,1.0,31,0,5
er_14_0.7_0,41.0,1.0,31,0,12
er_14_0.7_1,42.0,1.0,31,0,12
er_14_0.7_2,45.0,1.0,31,0,30
er_16_0.3_0,26.0,1.0,118,3,92
er_16_0.3_1,32.0,1.0,127,0,116
er_16_0.3_2,31.0,1.0,59,4,25
er_16_0.5_0,40.0,1.0,120,1,53
er_16_0.5_1,42.0,1.0,127,0,22
er_16_0.5_2,37.0,1.0,127,0,88
er_16_0.6_0,46.0,1.0,127,0,77
er_16_0.6_1,42.0,1.0,127,0,15
er_16_0.6_2,48.0,1.0,127,0,54
er_16_0.7_0,56.0,1.0,127,0,29
er_16_0.7_1,54.0,1.0,127,0,71
er_16_0.7_2,57.0,1.0,127,0,81
er_18_0.3_0,41.0,1.0,501,2,264
er_18_0.3_1,39.0,1.0,498,3,362
er_18_0.3_2,33.0,1.0,484,7,43
er_18_0.5_0,53.0,1.0,511,0,274
er_18_0.5_1,51.0,1.0,511,0,230
er_18_0.5_2,52.0,1.0,504,1,500
er_18_0.6_0,57.0,1.0,511,0,35
er_18_0.6_1,58.0,1.0,511,0,435
er_18_0.6_2,63.0,1.0,508,1,151
er_18_0.7_0,69.0,1.0,511,0,296
er_18_0.7_1,67.0,1.0,511,0,79
er_18_0.7_2,68.0,1.0,511,0,457
er_20_0.3_0,39.0,1.0,2003,4,1081
er_20_0.3_1,44.0,1.0,2044,1,439
er_20_0.3_2,48.0,1.0,1892,23,226
er_20_0.5_0,67.0,1.0,1999,4,400
er_20_0.5_1,62.0,1.0,2019,22,212
er_20_0.5_2,61.0,1.0,2047,0,124
er_20_0.6_0,80.0,1.0,2047,0,918
er_20_0.6_1,76.0,1.0,2047,0,416
er_20_0.6_2,76.0,1.0,2044,1,336
er_20_0.7_0,81.0,1.0,2035,14,312
er_20_0.7_1,78.0,1.0,2047,0,816
er_20_0.7_2,84.0,1.0,2033,20,459
geo_14_0.1_0,13.0,1.0,25,2,25
geo_14_0.1_1,14.0,1.0,21,2,16
geo_14_0.1_2,13.0,1.0,13,2,1
geo_14_0.3_0,14.0,1.0,21,2,2
geo_14_0.3_1,17.0,1.0,31,0,16
geo_14_0.3_2,15.0,1.0,31,0,5
geo_14_0.5_0,35.0,1.0,31,0,8
geo_14_0.5_1,28.0,1.0,31,0,6
geo_14_0.5_2,24.0,1.0,31,0,5
geo_14_0.6_0,41.0,1.0,31,0,27
geo_14_0.6_1,42.0,1.0,31,0,30
geo_14_0.6_2,34.0,1.0,31,0,27
geo_16_0.1_0,15.0,1.0,28,5,2
geo_16_0.1_1,15.0,1.0,80,73,2
geo_16_0.1_2,16.0,1.0,124,1,95
geo_16_0.3_0,23.0,1.0,127,0,105
geo_16_0.3_1,24.0,1.0,127,0,32
geo_16_0.3_2,23.0,1.0,127,0,104
geo_16_0.5_0,33.0,1.0,127,0,108
geo_16_0.5_1,41.0,1.0,127,0,123
geo_16_0.5_2,31.0,1.0,127,0,23
geo_16_0.6_0,48.0,1.0,127,0,22
geo_16_0.6_1,56.0,1.0,127,0,23
geo_16_0.6_2,44.0,1.0,127,0,48
geo_18_0.1_0,17.0,1.0,347,16,135
geo_18_0.1_1,19.0,1.0,408,9,1
geo_18_0.1_2,18.0,1.0,197,10,1
geo_18_0.3_0,24.0,1.0,502,3,2
geo_18_0.3_1,22.0,1.0,493,20,1
geo_18_0.3_2,24.0,1.0,508,1,63
geo_18_0.5_0,53.0,1.0,511,0,214
geo_18_0.5_1,44.0,1.0,511,0,62
geo_18_0.5_2,44.0,1.0,511,0,199
geo_18_0.6_0,58.0,1.0,511,0,97
geo_18_0.6_1,57.0,1.0,511,0,295
geo_18_0.6_2,43.0,1.0,511,0,43
geo_20_0.1_0,19.0,1.0,431,368,247
geo_20_0.1_1,19.0,1.0,145,10,1
geo_20_0.1_2,23.0,1.0,1958,19,1440
geo_20_0.3_0,34.0,1.0,2044,1,1098
geo_20_0.3_1,25.0,1.0,1994,11,1
geo_20_0.3_2,29.0,1.0,1914,33,1614
geo_20_0.5_0,62.0,1.0,2037,24,1189
geo_20_0.5_1,70.0,1.0,2047,0,560
geo_20_0.5_2,55.0,1.0,2047,0,695
geo_20_0.6_0,64.0,1.0,2047,0,1147
geo_20_0.6_1,83.0,1.0,2041,8,1839
geo_20_0.6_2,82.0,1.0,2047,0,841
