problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,19.0,0.9047619047619048,12,661,11
er_14_0.3_1,18.0,0.9473684210526315,11,552,5
er_14_0.3_2,20.0,0.8695652173913043,10,443,1
er_14_0.5_0,26.0,0.8125,8,441,2
er_14_0.5_1,27.0,0.9,4,113,1
er_14_0.5_2,26.0,0.896551724137931,14,775,2
er_14_0.6_0,43.0,1.0,11,446,1
er_14_0.6_1,37.0,0.925,10,443,1
er_14_0.6_2,34.0,0.9444444444444444,10,443,4
er_14_0.7_0,38.0,0.926829268292683,14,771,1
er_14_0.7_1,39.0,0.9285714285714286,9,442,4
er_14_0.7_2,42.0,0.9333333333333333,11,554,8
er_16_0.3_0,25.0,0.9615384615384616,17,586,2
er_16_0.3_1,28.0,0.875,25,1000,15
er_16_0.3_2,27.0,0.8709677419354839,22,695,8
er_16_0.5_0,36.0,0.9,19,578,1
er_16_0.5_1,41.0,0.9761904761904762,18,671,1
er_16_0.5_2,33.0,0.8918918918918919,14,451,12
er_16_0.6_0,40.0,0.8695652173913043,28,1229,7
er_16_0.6_1,39.0,0.9285714285714286,12,341,2
er_16_0.6_2,45.0,0.9375,14,555,13
er_16_0.7_0,56.0,1.0,23,902,16
er_16_0.7_1,52.0,0.9629629629629629,10,443,10
er_16_0.7_2,55.0,0.9649122807017544,12,349,5
er_18_0.3_0,37.0,0.9024390243902439,24,731,2
er_18_0.3_1,35.0,0.8974358974358975,42,1387,8
er_18_0.3_2,31.0,0.9393939393939394,47,1582,10
er_18_0.5_0,51.0,0.9622641509433962,36,1067,5
er_18_0.5_1,46.0,0.9019607843137255,42,1191,12
er_18_0.5_2,50.0,0.9615384615384616,34,1283,21
er_18_0.6_0,54.0,0.9473684210526315,46,1315,9
er_18_0.6_1,53.0,0.9137931034482759,21,488,3
er_18_0.6_2,60.0,0.9523809523809523,37,1042,15
er_18_0.7_0,66.0,0.9565217391304348,35,918,8
er_18_0.7_1,62.0,0.9253731343283582,21,674,9
er_18_0.7_2,65.0,0.9558823529411765,48,1471,27
er_20_0.3_0,36.0,0.9230769230769231,82,2623,35
er_20_0.3_1,43.0,0.9772727272727273,62,1907,12
er_20_0.3_2,44.0,0.9166666666666666,47,1156,30
er_20_0.5_0,63.0,0.9402985074626866,32,743,24
er_20_0.5_1,58.0,0.9354838709677419,56,2069,44
er_20_0.5_2,60.0,0.9836065573770492,64,1935,48
er_20_0.6_0,77.0,0.9625,38,1263,14
er_20_0.6_1,74.0,0.9736842105263158,37,872,36
er_20_0.6_2,75.0,0.9868421052631579,35,1004,15
er_20_0.7_0,81.0,1.0,60,1707,54
er_20_0.7_1,76.0,0.9743589743589743,29,660,16
er_20_0.7_2,81.0,0.9642857142857143,29,872,8
geo_14_0.1_0,11.0,0.8461538461538461,22,39,7
geo_14_0.1_1,12.0,0.8571428571428571,19,18,13
geo_14_0.1_2,13.0,1.0,10,443,1
geo_14_0.3_0,14.0,1.0,7,236,2
geo_14_0.3_1,15.0,0.8823529411764706,18,231,16
geo_14_0.3_2,15.0,1.0,15,880,11
geo_14_0.5_0,34.0,0.9714285714285714,14,771,2
geo_14_0.5_1,28.0,1.0,13,664,7
geo_14_0.5_2,23.0,0.9583333333333334,13,666,3
geo_14_0.6_0,40.0,0.975609756097561,12,553,12
geo_14_0.6_1,41.0,0.9761904761904762,13,662,4
geo_14_0.6_2,33.0,0.9705882352941176,14,773,11
geo_16_0.1_0,15.0,1.0,18,579,2
geo_16_0.1_1,15.0,1.0,34,1443,2
geo_16_0.1_2,14.0,0.875,18,729,12
geo_16_0.3_0,23.0,1.0,55,2762,55
geo_16_0.3_1,23.0,0.9583333333333334,27,898,5
geo_16_0.3_2,22.0,0.9565217391304348,27,1012,21
geo_16_0.5_0,31.0,0.9393939393939394,32,1227,17
geo_16_0.5_1,40.0,0.975609756097561,35,1548,35
geo_16_0.5_2,30.0,0.967741935483871,44,2003,27
geo_16_0.6_0,46.0,0.9583333333333334,29,1218,19
geo_16_0.6_1,54.0,0.9642857142857143,6,117,1
geo_16_0.6_2,43.0,0.9772727272727273,19,684,1
geo_18_0.1_0,16.0,0.9411764705882353,88,3367,5
geo_18_0.1_1,19.0,1.0,48,1291,1
geo_18_0.1_2,18.0,1.0,15,266,1
geo_18_0.3_0,24.0,1.0,33,906,2
geo_18_0.3_1,22.0,1.0,18,473,1
geo_18_0.3_2,22.0,0.9166666666666666,41,1464,36
geo_18_0.5_0,48.0,0.9056603773584906,11,234,1
geo_18_0.5_1,43.0,0.9772727272727273,16,347,5
geo_18_0.5_2,44.0,1.0,71,2606,48
geo_18_0.6_0,56.0,0.9655172413793104,42,1665,33
geo_18_0.6_1,56.0,0.9824561403508771,85,3260,80
geo_18_0.6_2,42.0,0.9767441860465116,35,940,2
geo_20_0.1_0,17.0,0.8947368421052632,109,4080,31
geo_20_0.1_1,19.0,1.0,53,1700,1
geo_20_0.1_2,21.0,0.9130434782608695,137,5798,20
geo_20_0.3_0,32.0,0.9411764705882353,108,3849,3
geo_20_0.3_1,25.0,1.0,141,4394,1
geo_20_0.3_2,27.0,0.9310344827586207,227,8424,4
geo_20_0.5_0,59.0,0.9516129032258065,76,2295,59
geo_20_0.5_1,68.0,0.9714285714285714,74,2265,73
geo_20_0.5_2,52.0,0.9454545454545454,92,2969,48
geo_20_0.6_0,62.0,0.96875,37,946,8
geo_20_0.6_1,79.0,0.9518072289156626,27,598,9
geo_20_0.6_2,79.0,0.9634146341463414,10,125,1
