problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,25,2,6
er_14_0.3_1,19.0,1.0,25,2,8
er_14_0.3_2,23.0,1.0,31,0,11
er_14_0.5_0,32.0,1.0,31,0,5
er_14_0.5_1,30.0,1.0,31,0,13
er_14_0.5_2,29.0,1.0,31,0,21
er_14_0.6_0,43.0,1.0,31,0,1
er_14_0.6_1,40.0,1.0,31,0,15
er_14_0.6_2,36.0,1.0,31,0,24
er_14_0.7_0,41.0,1.0,31,0,16
er_14_0.7_1,42.0,1.0,31,0,16
er_14_0.7_2,45.0,1.0,31,0,28
geo_14_0.1_0,13.0,1.0,17,156,12
geo_14_0.1_1,14.0,1.0,21,2,13
geo_14_0.1_2,13.0,1.0,9,2,1
geo_14_0.3_0,14.0,1.0,24,1,2
geo_14_0.3_1,17.0,1.0,25,2,5
geo_14_0.3_2,15.0,1.0,31,0,5
geo_14_0.5_0,35.0,1.0,31,0,6
geo_14_0.5_1,28.0,1.0,31,0,5
geo_14_0.5_2,24.0,1.0,31,0,8
geo_14_0.6_0,41.0,1.0,31,0,28
geo_14_0.6_1,42.0,1.0,31,0,27
geo_14_0.6_2,34.0,1.0,31,0,21
