problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,19.0,0.9047619047619048,13,1322,13
er_14_0.3_1,15.0,0.7894736842105263,9,226,1
er_14_0.3_2,20.0,0.8695652173913043,8,669,1
er_14_0.5_0,27.0,0.84375,14,1549,11
er_14_0.5_1,27.0,0.9,4,227,1
er_14_0.5_2,24.0,0.8275862068965517,10,883,1
er_14_0.6_0,43.0,1.0,10,909,1
er_14_0.6_1,37.0,0.925,7,452,1
er_14_0.6_2,33.0,0.9166666666666666,13,1322,12
er_14_0.7_0,39.0,0.9512195121951219,13,1326,5
er_14_0.7_1,42.0,1.0,14,1545,10
er_14_0.7_2,43.0,0.9555555555555556,8,667,3
er_16_0.3_0,22.0,0.8461538461538461,41,3970,40
er_16_0.3_1,31.0,0.96875,35,2730,26
er_16_0.3_2,25.0,0.8064516129032258,27,2438,15
er_16_0.5_0,40.0,1.0,6,269,3
er_16_0.5_1,41.0,0.9761904761904762,7,452,1
er_16_0.5_2,37.0,1.0,15,802,3
er_16_0.6_0,41.0,0.8913043478260869,28,2017,10
er_16_0.6_1,39.0,0.9285714285714286,12,893,7
er_16_0.6_2,44.0,0.9166666666666666,9,670,1
er_16_0.7_0,52.0,0.9285714285714286,7,446,3
er_16_0.7_1,51.0,0.9444444444444444,37,2894,7
er_16_0.7_2,52.0,0.9122807017543859,13,682,4
er_18_0.3_0,39.0,0.9512195121951219,41,2584,8
er_18_0.3_1,37.0,0.9487179487179487,52,3287,39
er_18_0.3_2,28.0,0.8484848484848485,26,1795,5
er_18_0.5_0,49.0,0.9245283018867925,31,1486,8
er_18_0.5_1,47.0,0.9215686274509803,38,2117,13
er_18_0.5_2,52.0,1.0,18,909,13
er_18_0.6_0,55.0,0.9649122807017544,16,759,12
er_18_0.6_1,55.0,0.9482758620689655,22,915,14
er_18_0.6_2,61.0,0.9682539682539683,24,1107,18
er_18_0.7_0,66.0,0.9565217391304348,29,2020,26
er_18_0.7_1,63.0,0.9402985074626866,30,1801,12
er_18_0.7_2,66.0,0.9705882352941176,19,1042,8
er_20_0.3_0,37.0,0.9487179487179487,23,1128,16
er_20_0.3_1,38.0,0.8636363636363636,45,1864,1
er_20_0.3_2,43.0,0.8958333333333334,41,2160,29
