problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,31,0,20
er_14_0.3_1,19.0,1.0,31,0,1
er_14_0.3_2,23.0,1.0,31,0,17
er_14_0.5_0,32.0,1.0,31,0,2
er_14_0.5_1,30.0,1.0,31,0,9
er_14_0.5_2,29.0,1.0,31,0,15
er_14_0.6_0,43.0,1.0,31,0,10
er_14_0.6_1,40.0,1.0,31,0,5
er_14_0.6_2,36.0,1.0,31,0,18
er_14_0.7_0,41.0,1.0,31,0,10
er_14_0.7_1,42.0,1.0,31,0,13
er_14_0.7_2,45.0,1.0,31,0,1
er_16_0.3_0,26.0,1.0,127,0,72
er_16_0.3_1,32.0,1.0,127,0,65
er_16_0.3_2,31.0,1.0,127,0,55
er_16_0.5_0,40.0,1.0,127,0,120
er_16_0.5_1,42.0,1.0,127,0,73
er_16_0.5_2,37.0,1.0,127,0,66
er_16_0.6_0,46.0,1.0,127,0,1
er_16_0.6_1,42.0,1.0,127,0,2
er_16_0.6_2,48.0,1.0,127,0,1
er_16_0.7_0,56.0,1.0,127,0,7
er_16_0.7_1,54.0,1.0,127,0,86
er_16_0.7_2,57.0,1.0,127,0,65
geo_14_0.1_0,13.0,1.0,31,0,1
geo_14_0.1_1,14.0,1.0,31,0,1
geo_14_0.1_2,13.0,1.0,31,0,1
geo_14_0.3_0,14.0,1.0,31,0,2
geo_14_0.3_1,17.0,1.0,31,0,3
geo_14_0.3_2,15.0,1.0,31,0,1
geo_14_0.5_0,35.0,1.0,31,0,30
geo_14_0.5_1,28.0,1.0,31,0,2
geo_14_0.5_2,24.0,1.0,31,0,3
geo_14_0.6_0,41.0,1.0,31,0,1
geo_14_0.6_1,42.0,1.0,31,0,30
geo_14_0.6_2,34.0,1.0,31,0,25
geo_16_0.1_0,15.0,1.0,127,0,1
geo_16_0.1_1,15.0,1.0,127,0,1
geo_16_0.1_2,16.0,1.0,127,0,66
geo_16_0.3_0,23.0,1.0,127,0,1
geo_16_0.3_1,24.0,1.0,127,0,77
geo_16_0.3_2,23.0,1.0,127,0,12
geo_16_0.5_0,33.0,1.0,127,0,65
geo_16_0.5_1,41.0,1.0,127,0,27
geo_16_0.5_2,31.0,1.0,127,0,94
geo_16_0.6_0,48.0,1.0,127,0,120
geo_16_0.6_1,56.0,1.0,127,0,1
geo_16_0.6_2,44.0,1.0,127,0,67
