problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,31,0,7
er_14_0.3_1,19.0,1.0,31,0,8
er_14_0.3_2,23.0,1.0,31,0,1
er_14_0.5_0,32.0,1.0,31,0,17
er_14_0.5_1,30.0,1.0,31,0,7
er_14_0.5_2,29.0,1.0,31,0,2
er_14_0.6_0,43.0,1.0,31,0,6
er_14_0.6_1,40.0,1.0,31,0,1
er_14_0.6_2,36.0,1.0,31,0,1
er_14_0.7_0,41.0,1.0,31,0,2
er_14_0.7_1,42.0,1.0,31,0,1
er_14_0.7_2,45.0,1.0,31,0,17
er_16_0.3_0,26.0,1.0,127,0,34
er_16_0.3_1,32.0,1.0,127,0,43
er_16_0.3_2,31.0,1.0,127,0,34
er_16_0.5_0,40.0,1.0,127,0,97
er_16_0.5_1,42.0,1.0,127,0,31
er_16_0.5_2,37.0,1.0,127,0,36
er_16_0.6_0,46.0,1.0,127,0,66
er_16_0.6_1,42.0,1.0,127,0,5
er_16_0.6_2,48.0,1.0,127,0,1
er_16_0.7_0,56.0,1.0,127,0,98
er_16_0.7_1,54.0,1.0,127,0,66
er_16_0.7_2,57.0,1.0,127,0,1
er_18_0.3_0,41.0,1.0,511,0,260
er_18_0.3_1,39.0,1.0,511,0,259
er_18_0.3_2,33.0,1.0,511,0,1
er_18_0.5_0,53.0,1.0,511,0,164
er_18_0.5_1,51.0,1.0,511,0,179
er_18_0.5_2,52.0,1.0,511,0,131
er_18_0.6_0,57.0,1.0,511,0,70
er_18_0.6_1,58.0,1.0,511,0,3
er_18_0.6_2,63.0,1.0,511,0,68
er_18_0.7_0,69.0,1.0,511,0,180
er_18_0.7_1,67.0,1.0,511,0,195
er_18_0.7_2,68.0,1.0,511,0,354
er_20_0.3_0,39.0,1.0,2047,0,994
er_20_0.3_1,44.0,1.0,2047,0,23
er_20_0.3_2,48.0,1.0,2047,0,132
er_20_0.5_0,67.0,1.0,2047,0,1922
er_20_0.5_1,62.0,1.0,2047,0,134
er_20_0.5_2,61.0,1.0,2047,0,5
er_20_0.6_0,80.0,1.0,2047,0,387
er_20_0.6_1,76.0,1.0,2047,0,898
er_20_0.6_2,76.0,1.0,2047,0,451
er_20_0.7_0,81.0,1.0,2047,0,8
er_20_0.7_1,78.0,1.0,2047,0,70
er_20_0.7_2,84.0,1.0,2047,0,229
geo_14_0.1_0,13.0,1.0,31,0,2
geo_14_0.1_1,14.0,1.0,31,0,1
geo_14_0.1_2,13.0,1.0,31,0,1
geo_14_0.3_0,14.0,1.0,31,0,17
geo_14_0.3_1,17.0,1.0,31,0,2
geo_14_0.3_2,15.0,1.0,31,0,1
geo_14_0.5_0,35.0,1.0,31,0,10
geo_14_0.5_1,28.0,1.0,31,0,3
geo_14_0.5_2,24.0,1.0,31,0,3
geo_14_0.6_0,41.0,1.0,31,0,5
geo_14_0.6_1,42.0,1.0,31,0,3
geo_14_0.6_2,34.0,1.0,31,0,1
geo_16_0.1_0,15.0,1.0,127,0,1
geo_16_0.1_1,15.0,1.0,127,0,1
geo_16_0.1_2,16.0,1.0,127,0,1
geo_16_0.3_0,23.0,1.0,127,0,1
geo_16_0.3_1,24.0,1.0,127,0,34
geo_16_0.3_2,23.0,1.0,127,0,2
geo_16_0.5_0,33.0,1.0,127,0,18
geo_16_0.5_1,41.0,1.0,127,0,20
geo_16_0.5_2,31.0,1.0,127,0,28
geo_16_0.6_0,48.0,1.0,127,0,1
geo_16_0.6_1,56.0,1.0,127,0,1
geo_16_0.6_2,44.0,1.0,127,0,1
geo_18_0.1_0,17.0,1.0,511,0,1
geo_18_0.1_1,19.0,1.0,511,0,4
geo_18_0.1_2,18.0,1.0,511,0,2
geo_18_0.3_0,24.0,1.0,511,0,2
geo_18_0.3_1,22.0,1.0,511,0,1
geo_18_0.3_2,24.0,1.0,511,0,36
geo_18_0.5_0,53.0,1.0,511,0,195
geo_18_0.5_1,44.0,1.0,511,0,5
geo_18_0.5_2,44.0,1.0,511,0,68
geo_18_0.6_0,58.0,1.0,511,0,1
geo_18_0.6_1,57.0,1.0,511,0,21
geo_18_0.6_2,43.0,1.0,511,0,123
geo_20_0.1_0,19.0,1.0,2047,0,1
geo_20_0.1_1,19.0,1.0,2047,0,1
geo_20_0.1_2,23.0,1.0,2047,0,260
geo_20_0.3_0,34.0,1.0,2047,0,6
geo_20_0.3_1,25.0,1.0,2047,0,6
geo_20_0.3_2,29.0,1.0,2047,0,260
geo_20_0.5_0,62.0,1.0,2047,0,1155
geo_20_0.5_1,70.0,1.0,2047,0,3
geo_20_0.5_2,55.0,1.0,2047,0,324
geo_20_0.6_0,64.0,1.0,2047,0,372
geo_20_0.6_1,83.0,1.0,2047,0,2
geo_20_0.6_2,82.0,1.0,2047,0,739
