problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,18.0,0.8571428571428571,4,223,2
er_14_0.3_1,15.0,0.7894736842105263,15,1362,1
er_14_0.3_2,20.0,0.8695652173913043,8,663,1
er_14_0.5_0,31.0,0.96875,11,910,3
er_14_0.5_1,27.0,0.9,6,443,1
er_14_0.5_2,29.0,1.0,12,1119,5
er_14_0.6_0,43.0,1.0,4,227,1
er_14_0.6_1,37.0,0.925,11,1102,1
er_14_0.6_2,36.0,1.0,12,1123,12
er_14_0.7_0,38.0,0.926829268292683,13,1322,1
er_14_0.7_1,39.0,0.9285714285714286,11,1102,5
er_14_0.7_2,42.0,0.9333333333333333,14,1541,9
er_16_0.3_0,25.0,0.9615384615384616,35,2498,34
er_16_0.3_1,25.0,0.78125,29,3084,1
er_16_0.3_2,27.0,0.8709677419354839,9,672,6
er_16_0.5_0,37.0,0.925,6,263,2
er_16_0.5_1,41.0,0.9761904761904762,6,237,1
er_16_0.5_2,32.0,0.8648648648648649,7,446,1
er_16_0.6_0,42.0,0.9130434782608695,26,1567,7
er_16_0.6_1,39.0,0.9285714285714286,25,1996,17
er_16_0.6_2,44.0,0.9166666666666666,14,895,1
er_16_0.7_0,53.0,0.9464285714285714,19,1334,17
er_16_0.7_1,52.0,0.9629629629629629,39,3200,6
er_16_0.7_2,51.0,0.8947368421052632,21,1338,13
er_18_0.3_0,40.0,0.975609756097561,18,1023,9
er_18_0.3_1,36.0,0.9230769230769231,61,3846,12
er_18_0.3_2,31.0,0.9393939393939394,53,3810,36
er_18_0.5_0,49.0,0.9245283018867925,28,1651,7
er_18_0.5_1,45.0,0.8823529411764706,22,921,15
er_18_0.5_2,48.0,0.9230769230769231,13,544,7
er_18_0.6_0,54.0,0.9473684210526315,42,2923,40
er_18_0.6_1,55.0,0.9482758620689655,14,505,8
er_18_0.6_2,61.0,0.9682539682539683,31,1452,29
er_18_0.7_0,67.0,0.9710144927536232,41,2576,3
er_18_0.7_1,65.0,0.9701492537313433,19,810,3
er_18_0.7_2,65.0,0.9558823529411765,46,2939,9
er_20_0.3_0,35.0,0.8974358974358975,56,2755,31
er_20_0.3_1,38.0,0.8636363636363636,12,483,1
er_20_0.3_2,38.0,0.7916666666666666,10,233,10
er_20_0.5_0,61.0,0.9104477611940298,37,1458,17
er_20_0.5_1,55.0,0.8870967741935484,24,1359,22
er_20_0.5_2,59.0,0.9672131147540983,36,1495,7
er_20_0.6_0,77.0,0.9625,42,2749,33
er_20_0.6_1,75.0,0.9868421052631579,32,1517,3
er_20_0.6_2,73.0,0.9605263157894737,54,2729,30
er_20_0.7_0,76.0,0.9382716049382716,42,2099,20
er_20_0.7_1,71.0,0.9102564102564102,35,2254,13
er_20_0.7_2,83.0,0.9880952380952381,71,5258,23
geo_14_0.1_0,12.0,0.9230769230769231,16,349,7
geo_14_0.1_1,12.0,0.8571428571428571,23,60,3
geo_14_0.1_2,13.0,1.0,4,227,1
geo_14_0.3_0,13.0,0.9285714285714286,18,729,1
geo_14_0.3_1,17.0,1.0,11,1102,6
geo_14_0.3_2,13.0,0.8666666666666667,9,882,3
geo_14_0.5_0,33.0,0.9428571428571428,11,1104,9
geo_14_0.5_1,28.0,1.0,13,1322,3
geo_14_0.5_2,22.0,0.9166666666666666,7,444,5
geo_14_0.6_0,39.0,0.9512195121951219,8,881,7
geo_14_0.6_1,41.0,0.9761904761904762,10,887,6
geo_14_0.6_2,32.0,0.9411764705882353,10,887,3
geo_16_0.1_0,14.0,0.9333333333333333,39,3316,38
geo_16_0.1_1,13.0,0.8666666666666667,43,3486,32
geo_16_0.1_2,15.0,0.9375,8,241,7
geo_16_0.3_0,21.0,0.9130434782608695,38,3105,10
geo_16_0.3_1,23.0,0.9583333333333334,24,1801,8
geo_16_0.3_2,21.0,0.9130434782608695,15,888,5
geo_16_0.5_0,32.0,0.9696969696969697,48,4417,26
geo_16_0.5_1,41.0,1.0,26,1605,7
geo_16_0.5_2,30.0,0.967741935483871,25,1642,5
geo_16_0.6_0,44.0,0.9166666666666666,23,1990,11
geo_16_0.6_1,55.0,0.9821428571428571,22,1361,7
geo_16_0.6_2,43.0,0.9772727272727273,8,453,1
geo_18_0.1_0,17.0,1.0,68,5143,3
geo_18_0.1_1,19.0,1.0,28,1159,1
geo_18_0.1_2,18.0,1.0,54,3023,1
geo_18_0.3_0,23.0,0.9583333333333334,37,2696,34
geo_18_0.3_1,22.0,1.0,42,2951,1
geo_18_0.3_2,24.0,1.0,46,3357,12
geo_18_0.5_0,48.0,0.9056603773584906,11,496,1
geo_18_0.5_1,43.0,0.9772727272727273,37,2712,4
geo_18_0.5_2,43.0,0.9772727272727273,16,901,7
geo_18_0.6_0,58.0,1.0,35,1754,3
geo_18_0.6_1,57.0,1.0,67,4250,30
geo_18_0.6_2,42.0,0.9767441860465116,79,5504,7
geo_20_0.1_0,18.0,0.9473684210526315,120,7671,2
geo_20_0.1_1,19.0,1.0,97,6180,1
geo_20_0.1_2,22.0,0.9565217391304348,229,18950,90
geo_20_0.3_0,32.0,0.9411764705882353,91,6468,77
geo_20_0.3_1,25.0,1.0,178,11751,1
geo_20_0.3_2,28.0,0.9655172413793104,115,7382,113
geo_20_0.5_0,57.0,0.9193548387096774,18,589,1
