problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,31,0,16
er_14_0.3_1,19.0,1.0,31,0,16
er_14_0.3_2,23.0,1.0,31,0,16
er_14_0.5_0,32.0,1.0,31,0,18
er_14_0.5_1,30.0,1.0,31,0,16
er_14_0.5_2,29.0,1.0,31,0,19
er_14_0.6_0,43.0,1.0,31,0,1
er_14_0.6_1,40.0,1.0,31,0,16
er_14_0.6_2,36.0,1.0,31,0,3
er_14_0.7_0,41.0,1.0,31,0,16
er_14_0.7_1,42.0,1.0,31,0,16
er_14_0.7_2,45.0,1.0,31,0,16
er_16_0.3_0,26.0,1.0,127,0,99
er_16_0.3_1,32.0,1.0,127,0,64
er_16_0.3_2,31.0,1.0,127,0,83
er_16_0.5_0,40.0,1.0,127,0,98
er_16_0.5_1,42.0,1.0,127,0,62
er_16_0.5_2,37.0,1.0,127,0,88
er_16_0.6_0,46.0,1.0,127,0,64
er_16_0.6_1,42.0,1.0,127,0,64
er_16_0.6_2,48.0,1.0,127,0,72
er_16_0.7_0,56.0,1.0,127,0,79
er_16_0.7_1,54.0,1.0,127,0,64
er_16_0.7_2,57.0,1.0,124,3,16
er_18_0.3_0,41.0,1.0,511,0,258
er_18_0.3_1,39.0,1.0,511,0,380
er_18_0.3_2,33.0,1.0,511,0,485
er_18_0.5_0,53.0,1.0,511,0,260
er_18_0.5_1,51.0,1.0,511,0,258
er_18_0.5_2,52.0,1.0,511,0,297
er_18_0.6_0,57.0,1.0,511,0,320
er_18_0.6_1,58.0,1.0,511,0,320
er_18_0.6_2,63.0,1.0,511,0,263
er_18_0.7_0,69.0,1.0,511,0,258
er_18_0.7_1,67.0,1.0,511,0,256
er_18_0.7_2,68.0,1.0,511,0,291
er_20_0.3_0,39.0,1.0,2047,0,1033
er_20_0.3_1,44.0,1.0,2047,0,1280
er_20_0.3_2,48.0,1.0,2047,0,1280
er_20_0.5_0,67.0,1.0,2047,0,1027
er_20_0.5_1,62.0,1.0,2047,0,1841
er_20_0.5_2,61.0,1.0,2047,0,392
er_20_0.6_0,80.0,1.0,2047,0,1194
er_20_0.6_1,76.0,1.0,2047,0,1053
er_20_0.6_2,76.0,1.0,2047,4,61
er_20_0.7_0,81.0,1.0,2047,0,1024
er_20_0.7_1,78.0,1.0,2047,0,1024
er_20_0.7_2,84.0,1.0,2047,0,1024
geo_14_0.1_0,13.0,1.0,31,0,18
geo_14_0.1_1,14.0,1.0,31,0,21
geo_14_0.1_2,13.0,1.0,10,3,1
geo_14_0.3_0,14.0,1.0,28,1,5
geo_14_0.3_1,17.0,1.0,31,0,16
geo_14_0.3_2,15.0,1.0,31,0,17
geo_14_0.5_0,35.0,1.0,31,0,17
geo_14_0.5_1,28.0,1.0,31,0,10
geo_14_0.5_2,24.0,1.0,31,0,16
geo_14_0.6_0,41.0,1.0,31,0,3
geo_14_0.6_1,42.0,1.0,31,0,29
geo_14_0.6_2,34.0,1.0,31,0,20
geo_16_0.1_0,15.0,1.0,42,9,2
geo_16_0.1_1,15.0,1.0,127,0,96
geo_16_0.1_2,16.0,1.0,127,0,122
geo_16_0.3_0,23.0,1.0,127,0,114
geo_16_0.3_1,24.0,1.0,127,0,93
geo_16_0.3_2,23.0,1.0,127,0,64
geo_16_0.5_0,33.0,1.0,127,0,104
geo_16_0.5_1,41.0,1.0,127,0,92
geo_16_0.5_2,31.0,1.0,127,0,64
geo_16_0.6_0,48.0,1.0,127,0,64
geo_16_0.6_1,56.0,1.0,127,0,9
geo_16_0.6_2,44.0,1.0,127,0,6
geo_18_0.1_0,17.0,1.0,493,10,268
geo_18_0.1_1,19.0,1.0,511,0,1
geo_18_0.1_2,18.0,1.0,73,26,1
geo_18_0.3_0,24.0,1.0,511,0,263
geo_18_0.3_1,22.0,1.0,421,52,1
geo_18_0.3_2,24.0,1.0,511,0,305
geo_18_0.5_0,53.0,1.0,511,0,399
geo_18_0.5_1,44.0,1.0,511,0,256
geo_18_0.5_2,44.0,1.0,511,0,402
geo_18_0.6_0,58.0,1.0,511,0,256
geo_18_0.6_1,57.0,1.0,511,0,320
geo_18_0.6_2,43.0,1.0,511,0,343
geo_20_0.1_0,19.0,1.0,336,2869,41
geo_20_0.1_1,19.0,1.0,39,24,1
geo_20_0.1_2,23.0,1.0,2047,0,1280
geo_20_0.3_0,34.0,1.0,2047,0,1094
geo_20_0.3_1,25.0,1.0,2047,0,1
geo_20_0.3_2,29.0,1.0,2047,0,1620
geo_20_0.5_0,62.0,1.0,2047,0,1937
geo_20_0.5_1,70.0,1.0,2047,0,1026
geo_20_0.5_2,55.0,1.0,2047,0,1024
geo_20_0.6_0,64.0,1.0,2047,0,1280
geo_20_0.6_1,83.0,1.0,2047,0,4
geo_20_0.6_2,82.0,1.0,2047,0,1033
