problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,31,0,24
er_14_0.3_1,19.0,1.0,31,0,19
er_14_0.3_2,23.0,1.0,31,0,26
er_14_0.5_0,32.0,1.0,31,0,27
er_14_0.5_1,30.0,1.0,31,0,28
er_14_0.5_2,29.0,1.0,31,0,29
er_14_0.6_0,43.0,1.0,31,0,1
er_14_0.6_1,40.0,1.0,31,0,19
er_14_0.6_2,36.0,1.0,31,0,19
er_14_0.7_0,41.0,1.0,31,0,18
er_14_0.7_1,42.0,1.0,31,0,26
er_14_0.7_2,45.0,1.0,31,0,25
er_16_0.3_0,26.0,1.0,76,9,4
er_16_0.3_1,32.0,1.0,127,0,31
er_16_0.3_2,31.0,1.0,127,0,99
er_16_0.5_0,40.0,1.0,127,0,125
er_16_0.5_1,42.0,1.0,127,0,99
er_16_0.5_2,37.0,1.0,127,0,93
er_16_0.6_0,46.0,1.0,127,0,7
er_16_0.6_1,42.0,1.0,127,0,67
er_16_0.6_2,48.0,1.0,127,0,71
er_16_0.7_0,56.0,1.0,127,0,125
er_16_0.7_1,54.0,1.0,127,0,73
er_16_0.7_2,57.0,1.0,102,7,5
er_18_0.3_0,41.0,1.0,504,1,452
er_18_0.3_1,39.0,1.0,480,5,470
er_18_0.3_2,33.0,1.0,511,0,484
er_18_0.5_0,53.0,1.0,511,0,335
er_18_0.5_1,51.0,1.0,511,0,370
er_18_0.5_2,52.0,1.0,511,0,287
er_18_0.6_0,57.0,1.0,508,1,457
er_18_0.6_1,58.0,1.0,511,0,336
er_18_0.6_2,63.0,1.0,511,0,395
er_18_0.7_0,69.0,1.0,511,0,283
er_18_0.7_1,67.0,1.0,508,1,311
er_18_0.7_2,68.0,1.0,511,0,398
er_20_0.3_0,39.0,1.0,2015,12,1913
er_20_0.3_1,44.0,1.0,2028,13,1510
er_20_0.3_2,48.0,1.0,2005,6,1360
er_20_0.5_0,67.0,1.0,2035,4,1897
er_20_0.5_1,62.0,1.0,2035,4,1846
er_20_0.5_2,61.0,1.0,2044,1,820
er_20_0.6_0,80.0,1.0,2044,1,1244
er_20_0.6_1,76.0,1.0,2034,3,1977
er_20_0.6_2,76.0,1.0,2044,1,1352
er_20_0.7_0,81.0,1.0,2047,0,1200
er_20_0.7_1,78.0,1.0,2047,0,1737
er_20_0.7_2,84.0,1.0,2044,1,1118
geo_14_0.1_0,13.0,1.0,31,0,31
geo_14_0.1_1,14.0,1.0,31,0,30
geo_14_0.1_2,13.0,1.0,6,3,1
geo_14_0.3_0,14.0,1.0,14,19,3
geo_14_0.3_1,17.0,1.0,28,1,7
geo_14_0.3_2,15.0,1.0,31,0,6
geo_14_0.5_0,35.0,1.0,31,0,3
geo_14_0.5_1,28.0,1.0,31,0,12
geo_14_0.5_2,24.0,1.0,31,0,3
geo_14_0.6_0,41.0,1.0,31,0,22
geo_14_0.6_1,42.0,1.0,31,0,19
geo_14_0.6_2,34.0,1.0,31,0,28
geo_16_0.1_0,15.0,1.0,41,368,7
geo_16_0.1_1,15.0,1.0,77,316,41
geo_16_0.1_2,16.0,1.0,108,5,90
geo_16_0.3_0,23.0,1.0,124,1,111
geo_16_0.3_1,24.0,1.0,121,2,3
geo_16_0.3_2,23.0,1.0,114,3,74
geo_16_0.5_0,33.0,1.0,127,0,51
geo_16_0.5_1,41.0,1.0,127,0,77
geo_16_0.5_2,31.0,1.0,124,1,108
geo_16_0.6_0,48.0,1.0,127,0,76
geo_16_0.6_1,56.0,1.0,127,0,8
geo_16_0.6_2,44.0,1.0,120,1,2
geo_18_0.1_0,17.0,1.0,179,292,3
geo_18_0.1_1,19.0,1.0,199,24,1
geo_18_0.1_2,18.0,1.0,105,10,1
geo_18_0.3_0,24.0,1.0,412,73,38
geo_18_0.3_1,22.0,1.0,443,252,1
geo_18_0.3_2,24.0,1.0,440,933,70
geo_18_0.5_0,53.0,1.0,511,0,437
geo_18_0.5_1,44.0,1.0,511,0,439
geo_18_0.5_2,44.0,1.0,493,2,275
geo_18_0.6_0,58.0,1.0,511,0,429
geo_18_0.6_1,57.0,1.0,511,0,338
geo_18_0.6_2,43.0,1.0,481,2,280
geo_20_0.1_0,19.0,1.0,715,758,700
geo_20_0.1_1,19.0,1.0,57,18,1
geo_20_0.1_2,23.0,1.0,1494,497,1273
geo_20_0.3_0,34.0,1.0,1918,27,1130
geo_20_0.3_1,25.0,1.0,1410,91,1
geo_20_0.3_2,29.0,1.0,1442,691,1276
geo_20_0.5_0,62.0,1.0,1986,63,1125
geo_20_0.5_1,70.0,1.0,2017,6,23
geo_20_0.5_2,55.0,1.0,2026,7,1315
geo_20_0.6_0,64.0,1.0,2025,6,1125
geo_20_0.6_1,83.0,1.0,2022,11,1403
geo_20_0.6_2,82.0,1.0,2047,0,1240
