problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,18.0,0.8571428571428571,11,884,3
er_14_0.3_1,16.0,0.8421052631578947,16,1321,3
er_14_0.3_2,20.0,0.8695652173913043,7,664,1
er_14_0.5_0,27.0,0.84375,8,881,6
er_14_0.5_1,27.0,0.9,5,442,1
er_14_0.5_2,26.0,0.896551724137931,15,1760,12
er_14_0.6_0,43.0,1.0,4,245,1
er_14_0.6_1,37.0,0.925,12,1103,1
er_14_0.6_2,30.0,0.8333333333333334,14,1541,2
er_14_0.7_0,38.0,0.926829268292683,7,444,1
er_14_0.7_1,39.0,0.9285714285714286,10,883,10
er_14_0.7_2,43.0,0.9555555555555556,12,1105,9
er_16_0.3_0,26.0,1.0,19,1172,4
er_16_0.3_1,27.0,0.84375,20,1555,3
er_16_0.3_2,26.0,0.8387096774193549,8,447,6
er_16_0.5_0,38.0,0.95,11,504,5
er_16_0.5_1,41.0,0.9761904761904762,6,233,1
er_16_0.5_2,35.0,0.9459459459459459,11,496,5
er_16_0.6_0,46.0,1.0,33,2636,7
er_16_0.6_1,40.0,0.9523809523809523,24,1567,5
er_16_0.6_2,44.0,0.9166666666666666,16,923,1
er_16_0.7_0,53.0,0.9464285714285714,26,1795,5
er_16_0.7_1,51.0,0.9444444444444444,6,241,2
er_16_0.7_2,57.0,1.0,13,1080,5
er_18_0.3_0,35.0,0.8536585365853658,12,701,1
er_18_0.3_1,37.0,0.9487179487179487,27,1432,4
er_18_0.3_2,30.0,0.9090909090909091,71,4342,16
er_18_0.5_0,51.0,0.9622641509433962,47,2580,23
er_18_0.5_1,47.0,0.9215686274509803,8,239,7
er_18_0.5_2,46.0,0.8846153846153846,13,584,5
er_18_0.6_0,56.0,0.9824561403508771,32,1239,5
er_18_0.6_1,58.0,1.0,14,1051,8
er_18_0.6_2,58.0,0.9206349206349206,20,897,10
er_18_0.7_0,66.0,0.9565217391304348,13,896,2
er_18_0.7_1,64.0,0.9552238805970149,15,762,3
er_18_0.7_2,66.0,0.9705882352941176,32,1303,18
er_20_0.3_0,35.0,0.8974358974358975,19,912,9
er_20_0.3_1,38.0,0.8636363636363636,10,247,1
er_20_0.3_2,45.0,0.9375,21,944,19
er_20_0.5_0,59.0,0.8805970149253731,20,1147,6
er_20_0.5_1,59.0,0.9516129032258065,61,2958,27
er_20_0.5_2,56.0,0.9180327868852459,28,955,1
er_20_0.6_0,74.0,0.925,10,269,5
er_20_0.6_1,70.0,0.9210526315789473,42,1863,30
er_20_0.6_2,71.0,0.9342105263157895,18,621,13
er_20_0.7_0,75.0,0.9259259259259259,72,4151,11
er_20_0.7_1,73.0,0.9358974358974359,10,315,3
er_20_0.7_2,83.0,0.9880952380952381,31,2078,5
geo_14_0.1_0,11.0,0.8461538461538461,16,11,7
geo_14_0.1_1,11.0,0.7857142857142857,23,70,1
geo_14_0.1_2,13.0,1.0,4,223,1
geo_14_0.3_0,14.0,1.0,14,1547,3
geo_14_0.3_1,17.0,1.0,10,883,6
geo_14_0.3_2,15.0,1.0,14,1541,6
geo_14_0.5_0,35.0,1.0,11,1118,3
geo_14_0.5_1,28.0,1.0,15,1768,12
geo_14_0.5_2,24.0,1.0,12,1107,3
geo_14_0.6_0,40.0,0.975609756097561,15,1760,9
geo_14_0.6_1,40.0,0.9523809523809523,13,1324,4
geo_14_0.6_2,31.0,0.9117647058823529,11,1102,9
geo_16_0.1_0,15.0,1.0,29,2428,6
geo_16_0.1_1,15.0,1.0,35,3090,35
geo_16_0.1_2,14.0,0.875,43,1742,7
geo_16_0.3_0,22.0,0.9565217391304348,24,1561,21
geo_16_0.3_1,24.0,1.0,10,459,2
geo_16_0.3_2,22.0,0.9565217391304348,36,2907,3
geo_16_0.5_0,30.0,0.9090909090909091,18,1333,18
geo_16_0.5_1,38.0,0.926829268292683,12,885,2
geo_16_0.5_2,29.0,0.9354838709677419,23,1772,22
geo_16_0.6_0,44.0,0.9166666666666666,36,3091,24
geo_16_0.6_1,56.0,1.0,22,1363,7
geo_16_0.6_2,44.0,1.0,23,1578,2
geo_18_0.1_0,17.0,1.0,53,4058,3
geo_18_0.1_1,19.0,1.0,9,474,1
geo_18_0.1_2,18.0,1.0,21,1246,1
geo_18_0.3_0,24.0,1.0,52,3213,16
geo_18_0.3_1,22.0,1.0,17,684,1
geo_18_0.3_2,22.0,0.9166666666666666,88,7535,50
geo_18_0.5_0,49.0,0.9245283018867925,27,1160,13
geo_18_0.5_1,41.0,0.9318181818181818,31,1792,4
geo_18_0.5_2,42.0,0.9545454545454546,13,494,1
geo_18_0.6_0,57.0,0.9827586206896551,29,1220,6
geo_18_0.6_1,54.0,0.9473684210526315,80,5609,73
geo_18_0.6_2,42.0,0.9767441860465116,50,3041,7
geo_20_0.1_0,16.0,0.8421052631578947,103,7918,28
geo_20_0.1_1,19.0,1.0,56,2901,1
geo_20_0.1_2,21.0,0.9130434782608695,149,10332,100
geo_20_0.3_0,32.0,0.9411764705882353,108,7203,21
geo_20_0.3_1,25.0,1.0,79,5824,1
geo_20_0.3_2,28.0,0.9655172413793104,84,4201,19
geo_20_0.5_0,60.0,0.967741935483871,24,925,8
geo_20_0.5_1,70.0,1.0,55,3726,17
geo_20_0.5_2,51.0,0.9272727272727272,36,1637,3
geo_20_0.6_0,62.0,0.96875,53,3000,45
geo_20_0.6_1,81.0,0.9759036144578314,36,1909,3
geo_20_0.6_2,80.0,0.975609756097561,101,6744,77
