problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,31,0,30
er_14_0.3_1,19.0,1.0,31,0,16
er_14_0.3_2,23.0,1.0,31,0,13
er_14_0.5_0,32.0,1.0,31,0,31
er_14_0.5_1,30.0,1.0,31,0,26
er_14_0.5_2,29.0,1.0,31,0,20
er_14_0.6_0,43.0,1.0,31,0,1
er_14_0.6_1,40.0,1.0,31,0,17
er_14_0.6_2,36.0,1.0,31,0,19
er_14_0.7_0,41.0,1.0,31,0,20
er_14_0.7_1,42.0,1.0,31,0,19
er_14_0.7_2,45.0,1.0,31,0,18
er_16_0.3_0,26.0,1.0,117,2,26
er_16_0.3_1,32.0,1.0,121,2,77
er_16_0.3_2,31.0,1.0,105,6,79
er_16_0.5_0,40.0,1.0,127,0,96
er_16_0.5_1,42.0,1.0,127,0,79
er_16_0.5_2,37.0,1.0,127,0,94
er_16_0.6_0,46.0,1.0,127,0,55
er_16_0.6_1,42.0,1.0,127,0,84
er_16_0.6_2,48.0,1.0,127,0,77
er_16_0.7_0,56.0,1.0,127,0,122
er_16_0.7_1,54.0,1.0,127,0,87
er_16_0.7_2,57.0,1.0,127,0,77
er_18_0.3_0,41.0,1.0,508,1,265
er_18_0.3_1,39.0,1.0,511,0,455
er_18_0.3_2,33.0,1.0,508,1,398
er_18_0.5_0,53.0,1.0,511,0,347
er_18_0.5_1,51.0,1.0,511,0,319
er_18_0.5_2,52.0,1.0,511,0,367
er_18_0.6_0,57.0,1.0,511,0,378
er_18_0.6_1,58.0,1.0,511,0,453
er_18_0.6_2,63.0,1.0,511,0,426
er_18_0.7_0,69.0,1.0,511,0,449
er_18_0.7_1,67.0,1.0,511,0,493
er_18_0.7_2,68.0,1.0,511,0,405
er_20_0.3_0,39.0,1.0,2012,9,1190
er_20_0.3_1,44.0,1.0,1830,19,851
er_20_0.3_2,48.0,1.0,1889,72,1152
er_20_0.5_0,67.0,1.0,2047,0,1655
er_20_0.5_1,62.0,1.0,2047,2,1461
er_20_0.5_2,61.0,1.0,2044,1,327
er_20_0.6_0,80.0,1.0,2047,0,1422
er_20_0.6_1,76.0,1.0,2047,0,1685
er_20_0.6_2,76.0,1.0,2047,0,1047
er_20_0.7_0,81.0,1.0,2047,4,54
er_20_0.7_1,78.0,1.0,2047,0,1204
er_20_0.7_2,84.0,1.0,2047,0,210
geo_14_0.1_0,13.0,1.0,21,2,17
geo_14_0.1_1,14.0,1.0,31,0,26
geo_14_0.1_2,13.0,1.0,9,2,1
geo_14_0.3_0,14.0,1.0,28,5,3
geo_14_0.3_1,17.0,1.0,31,0,29
geo_14_0.3_2,15.0,1.0,31,0,16
geo_14_0.5_0,35.0,1.0,31,0,28
geo_14_0.5_1,28.0,1.0,31,0,13
geo_14_0.5_2,24.0,1.0,31,0,23
geo_14_0.6_0,41.0,1.0,31,0,16
geo_14_0.6_1,42.0,1.0,31,0,19
geo_14_0.6_2,34.0,1.0,31,0,10
geo_16_0.1_0,15.0,1.0,92,5,84
geo_16_0.1_1,15.0,1.0,71,58,4
geo_16_0.1_2,16.0,1.0,127,0,76
geo_16_0.3_0,23.0,1.0,127,0,104
geo_16_0.3_1,24.0,1.0,121,2,3
geo_16_0.3_2,23.0,1.0,124,1,77
geo_16_0.5_0,33.0,1.0,127,0,78
geo_16_0.5_1,41.0,1.0,127,0,65
geo_16_0.5_2,31.0,1.0,127,0,105
geo_16_0.6_0,48.0,1.0,127,0,87
geo_16_0.6_1,56.0,1.0,127,0,90
geo_16_0.6_2,44.0,1.0,127,0,77
geo_18_0.1_0,17.0,1.0,356,21,250
geo_18_0.1_1,19.0,1.0,357,130,1
geo_18_0.1_2,18.0,1.0,155,8,1
geo_18_0.3_0,24.0,1.0,499,4,255
geo_18_0.3_1,22.0,1.0,445,92,1
geo_18_0.3_2,24.0,1.0,495,30,307
geo_18_0.5_0,53.0,1.0,511,0,358
geo_18_0.5_1,44.0,1.0,511,0,276
geo_18_0.5_2,44.0,1.0,508,1,7
geo_18_0.6_0,58.0,1.0,511,0,31
geo_18_0.6_1,57.0,1.0,511,0,276
geo_18_0.6_2,43.0,1.0,511,0,275
geo_20_0.1_0,19.0,1.0,623,42,508
geo_20_0.1_1,19.0,1.0,92,13,1
geo_20_0.1_2,23.0,1.0,1837,170,1611
geo_20_0.3_0,34.0,1.0,1877,272,293
geo_20_0.3_1,25.0,1.0,1476,59,1
geo_20_0.3_2,29.0,1.0,1981,56,1219
geo_20_0.5_0,62.0,1.0,2044,1,1123
geo_20_0.5_1,70.0,1.0,2047,0,1097
geo_20_0.5_2,55.0,1.0,2047,0,1848
geo_20_0.6_0,64.0,1.0,2047,0,1093
geo_20_0.6_1,83.0,1.0,2008,113,266
geo_20_0.6_2,82.0,1.0,2047,0,229
