problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,19.0,0.9047619047619048,13,1322,8
er_14_0.3_1,15.0,0.7894736842105263,9,226,1
er_14_0.3_2,20.0,0.8695652173913043,8,669,1
er_14_0.5_0,27.0,0.84375,13,1328,9
er_14_0.5_1,27.0,0.9,4,227,1
er_14_0.5_2,24.0,0.8275862068965517,10,883,1
er_14_0.6_0,43.0,1.0,10,909,1
er_14_0.6_1,37.0,0.925,7,452,1
er_14_0.6_2,33.0,0.9166666666666666,13,1322,9
er_14_0.7_0,39.0,0.9512195121951219,13,1326,4
er_14_0.7_1,42.0,1.0,12,1123,5
er_14_0.7_2,45.0,1.0,8,663,7
er_16_0.3_0,23.0,0.8846153846153846,35,2888,19
er_16_0.3_1,31.0,0.96875,40,3321,30
er_16_0.3_2,25.0,0.8064516129032258,34,3097,17
er_16_0.5_0,40.0,1.0,6,269,3
er_16_0.5_1,41.0,0.9761904761904762,7,452,1
er_16_0.5_2,37.0,1.0,20,1267,6
er_16_0.6_0,41.0,0.8913043478260869,42,3545,24
er_16_0.6_1,39.0,0.9285714285714286,11,674,7
er_16_0.6_2,44.0,0.9166666666666666,9,670,1
er_16_0.7_0,52.0,0.9285714285714286,7,446,3
er_16_0.7_1,53.0,0.9814814814814815,35,2454,27
er_16_0.7_2,52.0,0.9122807017543859,15,892,7
er_18_0.3_0,38.0,0.926829268292683,42,2667,13
er_18_0.3_1,35.0,0.8974358974358975,98,6603,48
er_18_0.3_2,28.0,0.8484848484848485,41,2684,12
er_18_0.5_0,49.0,0.9245283018867925,43,2508,35
er_18_0.5_1,50.0,0.9803921568627451,31,1416,14
er_18_0.5_2,52.0,1.0,16,687,9
er_18_0.6_0,53.0,0.9298245614035088,19,904,3
er_18_0.6_1,55.0,0.9482758620689655,34,2045,16
er_18_0.6_2,61.0,0.9682539682539683,15,676,2
er_18_0.7_0,65.0,0.9420289855072463,51,3776,38
er_18_0.7_1,63.0,0.9402985074626866,27,1396,2
er_18_0.7_2,65.0,0.9558823529411765,34,1911,28
er_20_0.3_0,37.0,0.9487179487179487,21,690,17
er_20_0.3_1,38.0,0.8636363636363636,45,1864,1
er_20_0.3_2,42.0,0.875,45,2234,45
er_20_0.5_0,61.0,0.9104477611940298,22,939,9
er_20_0.5_1,61.0,0.9838709677419355,43,2164,23
er_20_0.5_2,56.0,0.9180327868852459,20,1141,1
er_20_0.6_0,75.0,0.9375,27,1216,16
er_20_0.6_1,74.0,0.9736842105263158,54,2779,12
er_20_0.6_2,74.0,0.9736842105263158,56,2321,28
er_20_0.7_0,80.0,0.9876543209876543,76,4167,32
er_20_0.7_1,76.0,0.9743589743589743,80,3817,22
er_20_0.7_2,84.0,1.0,87,4528,40
geo_14_0.1_0,13.0,1.0,7,446,2
geo_14_0.1_1,13.0,0.9285714285714286,24,37,12
geo_14_0.1_2,13.0,1.0,6,451,1
geo_14_0.3_0,13.0,0.9285714285714286,14,941,1
geo_14_0.3_1,16.0,0.9411764705882353,14,1549,3
geo_14_0.3_2,15.0,1.0,15,1764,5
geo_14_0.5_0,33.0,0.9428571428571428,14,1545,2
geo_14_0.5_1,26.0,0.9285714285714286,11,1102,3
geo_14_0.5_2,21.0,0.875,5,442,1
geo_14_0.6_0,41.0,1.0,11,1102,3
geo_14_0.6_1,41.0,0.9761904761904762,13,1324,12
geo_14_0.6_2,31.0,0.9117647058823529,11,1108,3
geo_16_0.1_0,13.0,0.8666666666666667,23,1986,1
geo_16_0.1_1,12.0,0.8,29,1398,1
geo_16_0.1_2,15.0,0.9375,59,4714,27
geo_16_0.3_0,20.0,0.8695652173913043,38,3533,28
geo_16_0.3_1,21.0,0.875,34,3093,1
geo_16_0.3_2,22.0,0.9565217391304348,15,1112,2
geo_16_0.5_0,31.0,0.9393939393939394,40,3315,33
geo_16_0.5_1,38.0,0.926829268292683,23,1990,17
geo_16_0.5_2,27.0,0.8709677419354839,17,1546,16
geo_16_0.6_0,45.0,0.9375,36,3103,2
geo_16_0.6_1,55.0,0.9821428571428571,20,1343,12
geo_16_0.6_2,43.0,0.9772727272727273,18,1131,1
geo_18_0.1_0,14.0,0.8235294117647058,99,8612,17
geo_18_0.1_1,19.0,1.0,43,2546,1
geo_18_0.1_2,18.0,1.0,46,2271,1
geo_18_0.3_0,23.0,0.9583333333333334,64,5743,49
geo_18_0.3_1,22.0,1.0,45,2774,1
geo_18_0.3_2,23.0,0.9583333333333334,62,4883,58
geo_18_0.5_0,51.0,0.9622641509433962,36,2073,16
geo_18_0.5_1,43.0,0.9772727272727273,35,1854,3
geo_18_0.5_2,43.0,0.9772727272727273,48,2275,44
geo_18_0.6_0,54.0,0.9310344827586207,24,1137,4
geo_18_0.6_1,54.0,0.9473684210526315,30,1589,11
geo_18_0.6_2,42.0,0.9767441860465116,78,4877,21
geo_20_0.1_0,16.0,0.8421052631578947,88,5885,11
geo_20_0.1_1,19.0,1.0,39,1994,1
geo_20_0.1_2,22.0,0.9565217391304348,94,5011,5
geo_20_0.3_0,31.0,0.9117647058823529,50,2747,27
geo_20_0.3_1,25.0,1.0,45,1922,1
geo_20_0.3_2,25.0,0.8620689655172413,107,7404,32
geo_20_0.5_0,59.0,0.9516129032258065,10,271,4
geo_20_0.5_1,69.0,0.9857142857142858,59,2218,52
geo_20_0.5_2,53.0,0.9636363636363636,10,261,2
geo_20_0.6_0,60.0,0.9375,32,1433,1
geo_20_0.6_1,77.0,0.927710843373494,24,723,1
geo_20_0.6_2,81.0,0.9878048780487805,23,1220,12
