problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,31,0,3
er_14_0.3_1,19.0,1.0,31,0,12
er_14_0.3_2,23.0,1.0,31,0,1
er_14_0.5_0,32.0,1.0,31,0,1
er_14_0.5_1,30.0,1.0,31,0,14
er_14_0.5_2,29.0,1.0,31,0,2
er_14_0.6_0,43.0,1.0,31,0,14
er_14_0.6_1,40.0,1.0,31,0,1
er_14_0.6_2,36.0,1.0,31,0,4
er_14_0.7_0,41.0,1.0,31,0,4
er_14_0.7_1,42.0,1.0,31,0,2
er_14_0.7_2,45.0,1.0,31,0,30
er_16_0.3_0,26.0,1.0,127,0,3
er_16_0.3_1,32.0,1.0,127,0,7
er_16_0.3_2,31.0,1.0,127,0,1
er_16_0.5_0,40.0,1.0,127,0,53
er_16_0.5_1,42.0,1.0,127,0,76
er_16_0.5_2,37.0,1.0,127,0,122
er_16_0.6_0,46.0,1.0,127,0,6
er_16_0.6_1,42.0,1.0,127,0,2
er_16_0.6_2,48.0,1.0,127,0,31
er_16_0.7_0,56.0,1.0,127,0,12
er_16_0.7_1,54.0,1.0,127,0,105
er_16_0.7_2,57.0,1.0,127,0,1
er_18_0.3_0,41.0,1.0,511,0,50
er_18_0.3_1,39.0,1.0,511,0,1
er_18_0.3_2,33.0,1.0,511,0,30
er_18_0.5_0,53.0,1.0,511,0,444
er_18_0.5_1,51.0,1.0,511,0,52
er_18_0.5_2,52.0,1.0,511,0,1
er_18_0.6_0,57.0,1.0,511,0,387
er_18_0.6_1,58.0,1.0,511,0,51
er_18_0.6_2,63.0,1.0,511,0,112
er_18_0.7_0,69.0,1.0,511,0,315
er_18_0.7_1,67.0,1.0,511,0,189
er_18_0.7_2,68.0,1.0,511,0,414
er_20_0.3_0,39.0,1.0,2047,0,233
er_20_0.3_1,44.0,1.0,2047,0,32
er_20_0.3_2,48.0,1.0,2047,0,4
er_20_0.5_0,67.0,1.0,2047,0,309
er_20_0.5_1,62.0,1.0,2047,0,401
er_20_0.5_2,61.0,1.0,2047,0,30
er_20_0.6_0,80.0,1.0,2047,0,290
er_20_0.6_1,76.0,1.0,2047,0,1781
er_20_0.6_2,76.0,1.0,2047,0,51
er_20_0.7_0,81.0,1.0,2047,0,187
er_20_0.7_1,78.0,1.0,2047,0,13
er_20_0.7_2,84.0,1.0,2047,0,207
geo_14_0.1_0,13.0,1.0,31,0,3
geo_14_0.1_1,14.0,1.0,31,0,1
geo_14_0.1_2,13.0,1.0,31,0,1
geo_14_0.3_0,14.0,1.0,31,0,1
geo_14_0.3_1,17.0,1.0,31,0,27
geo_14_0.3_2,15.0,1.0,31,0,1
geo_14_0.5_0,35.0,1.0,31,0,23
geo_14_0.5_1,28.0,1.0,31,0,1
geo_14_0.5_2,24.0,1.0,31,0,25
geo_14_0.6_0,41.0,1.0,31,0,1
geo_14_0.6_1,42.0,1.0,31,0,17
geo_14_0.6_2,34.0,1.0,31,0,19
geo_16_0.1_0,15.0,1.0,127,0,1
geo_16_0.1_1,15.0,1.0,127,0,1
geo_16_0.1_2,16.0,1.0,127,0,118
geo_16_0.3_0,23.0,1.0,127,0,3
geo_16_0.3_1,24.0,1.0,127,0,85
geo_16_0.3_2,23.0,1.0,127,0,101
geo_16_0.5_0,33.0,1.0,127,0,83
geo_16_0.5_1,41.0,1.0,127,0,7
geo_16_0.5_2,31.0,1.0,127,0,107
geo_16_0.6_0,48.0,1.0,127,0,4
geo_16_0.6_1,56.0,1.0,127,0,1
geo_16_0.6_2,44.0,1.0,127,0,2
geo_18_0.1_0,17.0,1.0,511,0,1
geo_18_0.1_1,19.0,1.0,511,0,1
geo_18_0.1_2,18.0,1.0,511,0,1
geo_18_0.3_0,24.0,1.0,511,0,13
geo_18_0.3_1,22.0,1.0,511,0,1
geo_18_0.3_2,24.0,1.0,511,0,7
geo_18_0.5_0,53.0,1.0,511,0,42
geo_18_0.5_1,44.0,1.0,511,0,390
geo_18_0.5_2,44.0,1.0,511,0,12
geo_18_0.6_0,58.0,1.0,511,0,31
geo_18_0.6_1,57.0,1.0,511,0,157
geo_18_0.6_2,43.0,1.0,511,0,40
geo_20_0.1_0,19.0,1.0,2047,0,3
geo_20_0.1_1,19.0,1.0,2047,0,3
geo_20_0.1_2,23.0,1.0,2047,0,3
geo_20_0.3_0,34.0,1.0,2047,0,3
geo_20_0.3_1,25.0,1.0,2047,0,3
geo_20_0.3_2,29.0,1.0,2047,0,101
geo_20_0.5_0,62.0,1.0,2047,0,1
geo_20_0.5_1,70.0,1.0,2047,0,12
geo_20_0.5_2,55.0,1.0,2047,0,1144
geo_20_0.6_0,64.0,1.0,2047,0,149
geo_20_0.6_1,83.0,1.0,2047,0,25
geo_20_0.6_2,82.0,1.0,2047,0,1619
