problem_name,cost,approx_ratio
g05_60.0,503.0,0.9384328358208955
g05_60.1,507.0,0.9530075187969925
g05_60.2,503.0,0.9508506616257089
g05_60.3,519.0,0.9646840148698885
g05_60.4,497.0,0.9430740037950665
g05_60.5,502.0,0.9418386491557224
g05_60.6,514.0,0.967984934086629
g05_60.7,509.0,0.9514018691588785
g05_60.8,511.0,0.9641509433962264
g05_60.9,521.0,0.9774859287054409
g05_80.0,865.0,0.9311087190527448
g05_80.1,894.0,0.9500531349628055
g05_80.2,902.0,0.9657387580299786
g05_80.3,904.0,0.9794149512459371
g05_80.4,896.0,0.9613733905579399
g05_80.5,906.0,0.978401727861771
g05_80.6,916.0,0.9860064585575888
g05_80.7,905.0,0.9741657696447793
g05_80.8,906.0,0.9794594594594594
g05_80.9,897.0,0.971830985915493
g05_100.0,1392.0,0.9734265734265735
g05_100.1,1386.0,0.9726315789473684
g05_100.2,1360.0,0.9497206703910615
g05_100.3,1380.0,0.9691011235955056
g05_100.4,1371.0,0.9520833333333333
g05_100.5,1353.0,0.942200557103064
g05_100.6,1379.0,0.9616457461645747
g05_100.7,1369.0,0.9566736547868623
g05_100.8,1302.0,0.909217877094972
g05_100.9,1385.0,0.9685314685314685
