problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,18
er_14_0.3_1,19.0,1.0,17
er_14_0.3_2,23.0,1.0,17
er_14_0.5_0,34.0,1.0,9
er_14_0.5_1,31.0,0.96875,11
er_14_0.5_2,34.0,1.0,5
er_14_0.7_0,41.0,0.9761904761904762,10
er_14_0.7_1,41.0,1.0,8
er_14_0.7_2,38.0,1.0,9
er_16_0.3_0,25.0,0.9615384615384616,16
er_16_0.3_1,28.0,0.9333333333333333,1
er_16_0.3_2,22.0,1.0,10
er_16_0.5_0,45.0,0.9574468085106383,11
er_16_0.5_1,40.0,0.9523809523809523,29
er_16_0.5_2,38.0,0.95,25
er_16_0.7_0,50.0,1.0,8
er_16_0.7_1,55.0,1.0,30
er_16_0.7_2,55.0,1.0,18
er_18_0.3_0,35.0,0.9722222222222222,24
er_18_0.3_1,32.0,0.9411764705882353,78
er_18_0.3_2,38.0,0.9743589743589743,19
er_18_0.5_0,47.0,1.0,120
er_18_0.5_1,54.0,0.9642857142857143,20
er_18_0.5_2,52.0,0.9285714285714286,126
er_18_0.7_0,65.0,0.9701492537313433,2
er_18_0.7_1,65.0,1.0,31
er_18_0.7_2,64.0,0.9846153846153847,9
er_20_0.3_0,42.0,0.9545454545454546,225
er_20_0.3_1,37.0,0.9736842105263158,210
er_20_0.3_2,38.0,1.0,77
er_20_0.5_0,66.0,0.9705882352941176,120
er_20_0.5_1,61.0,0.9838709677419355,72
er_20_0.5_2,63.0,0.984375,295
er_20_0.7_0,85.0,0.9550561797752809,277
er_20_0.7_1,82.0,0.9879518072289156,2
er_20_0.7_2,79.0,0.9875,71
geo_14_0.3_0,15.0,1.0,5
geo_14_0.3_1,15.0,1.0,15
geo_14_0.3_2,15.0,1.0,6
geo_14_0.5_0,28.0,0.9655172413793104,5
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,2
geo_14_0.7_0,39.0,1.0,11
geo_14_0.7_1,46.0,1.0,6
geo_14_0.7_2,41.0,1.0,12
geo_16_0.3_0,16.0,0.9411764705882353,11
geo_16_0.3_1,23.0,1.0,47
geo_16_0.3_2,18.0,1.0,31
geo_16_0.5_0,35.0,0.9459459459459459,7
geo_16_0.5_1,43.0,0.9555555555555556,2
geo_16_0.5_2,36.0,0.972972972972973,17
geo_16_0.7_0,44.0,0.9777777777777777,21
geo_16_0.7_1,55.0,1.0,7
geo_16_0.7_2,56.0,1.0,22
geo_18_0.3_0,19.0,1.0,48
geo_18_0.3_1,23.0,0.92,1
geo_18_0.3_2,23.0,1.0,22
geo_18_0.5_0,40.0,0.975609756097561,10
geo_18_0.5_1,49.0,0.98,105
geo_18_0.5_2,44.0,0.9565217391304348,66
geo_18_0.7_0,68.0,1.0,16
geo_18_0.7_1,80.0,1.0,41
geo_18_0.7_2,71.0,1.0,67
geo_20_0.3_0,30.0,0.967741935483871,185
geo_20_0.3_1,30.0,1.0,61
geo_20_0.3_2,30.0,0.9375,20
geo_20_0.5_0,52.0,0.9629629629629629,1
geo_20_0.5_1,60.0,0.9375,11
geo_20_0.5_2,59.0,1.0,147
geo_20_0.7_0,81.0,0.9878048780487805,181
geo_20_0.7_1,87.0,1.0,231
geo_20_0.7_2,81.0,1.0,291
