problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,16
er_14_0.3_1,19.0,1.0,1
er_14_0.3_2,21.0,0.9130434782608695,1
er_14_0.5_0,34.0,1.0,15
er_14_0.5_1,32.0,1.0,23
er_14_0.5_2,34.0,1.0,7
er_14_0.7_0,42.0,1.0,3
er_14_0.7_1,41.0,1.0,19
er_14_0.7_2,38.0,1.0,23
er_16_0.3_0,26.0,1.0,15
er_16_0.3_1,30.0,1.0,2
er_16_0.3_2,22.0,1.0,58
er_16_0.5_0,46.0,0.9787234042553191,55
er_16_0.5_1,42.0,1.0,108
er_16_0.5_2,40.0,1.0,35
er_16_0.7_0,50.0,1.0,55
er_16_0.7_1,55.0,1.0,89
er_16_0.7_2,55.0,1.0,23
er_18_0.3_0,36.0,1.0,71
er_18_0.3_1,34.0,1.0,196
er_18_0.3_2,39.0,1.0,159
er_18_0.5_0,47.0,1.0,42
er_18_0.5_1,56.0,1.0,310
er_18_0.5_2,56.0,1.0,501
er_18_0.7_0,67.0,1.0,477
er_18_0.7_1,65.0,1.0,171
er_18_0.7_2,65.0,1.0,219
er_20_0.3_0,44.0,1.0,731
er_20_0.3_1,38.0,1.0,407
er_20_0.3_2,38.0,1.0,729
er_20_0.5_0,68.0,1.0,978
er_20_0.5_1,62.0,1.0,7
er_20_0.5_2,64.0,1.0,107
er_20_0.7_0,89.0,1.0,1695
er_20_0.7_1,83.0,1.0,1258
er_20_0.7_2,80.0,1.0,1236
geo_14_0.3_0,15.0,1.0,2
geo_14_0.3_1,15.0,1.0,27
geo_14_0.3_2,15.0,1.0,3
geo_14_0.5_0,29.0,1.0,15
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,1
geo_14_0.7_0,39.0,1.0,15
geo_14_0.7_1,46.0,1.0,17
geo_14_0.7_2,41.0,1.0,25
geo_16_0.3_0,17.0,1.0,25
geo_16_0.3_1,22.0,0.9565217391304348,54
geo_16_0.3_2,18.0,1.0,1
geo_16_0.5_0,37.0,1.0,95
geo_16_0.5_1,45.0,1.0,109
geo_16_0.5_2,37.0,1.0,19
geo_16_0.7_0,45.0,1.0,52
geo_16_0.7_1,55.0,1.0,90
geo_16_0.7_2,55.0,0.9821428571428571,22
geo_18_0.3_0,19.0,1.0,65
geo_18_0.3_1,25.0,1.0,25
geo_18_0.3_2,23.0,1.0,71
geo_18_0.5_0,41.0,1.0,503
geo_18_0.5_1,50.0,1.0,285
geo_18_0.5_2,46.0,1.0,158
geo_18_0.7_0,68.0,1.0,374
geo_18_0.7_1,80.0,1.0,1
geo_18_0.7_2,71.0,1.0,307
geo_20_0.3_0,31.0,1.0,1746
geo_20_0.3_1,30.0,1.0,3
geo_20_0.3_2,31.0,0.96875,827
geo_20_0.5_0,53.0,0.9814814814814815,865
geo_20_0.5_1,64.0,1.0,357
geo_20_0.5_2,59.0,1.0,1453
geo_20_0.7_0,82.0,1.0,1490
geo_20_0.7_1,87.0,1.0,715
geo_20_0.7_2,81.0,1.0,1
