problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,5
er_14_0.3_1,19.0,1.0,5
er_14_0.3_2,23.0,1.0,5
er_14_0.5_0,34.0,1.0,5
er_14_0.5_1,32.0,1.0,5
er_14_0.5_2,33.0,0.9705882352941176,5
er_14_0.7_0,40.0,0.9523809523809523,5
er_14_0.7_1,40.0,0.975609756097561,10
er_14_0.7_2,38.0,1.0,5
er_16_0.3_0,26.0,1.0,7
er_16_0.3_1,30.0,1.0,22
er_16_0.3_2,21.0,0.9545454545454546,7
er_16_0.5_0,45.0,0.9574468085106383,8
er_16_0.5_1,41.0,0.9761904761904762,4
er_16_0.5_2,37.0,0.925,7
er_16_0.7_0,47.0,0.94,20
er_16_0.7_1,52.0,0.9454545454545454,14
er_16_0.7_2,55.0,1.0,2
er_18_0.3_0,36.0,1.0,26
er_18_0.3_1,34.0,1.0,58
er_18_0.3_2,34.0,0.8717948717948718,1
er_18_0.5_0,41.0,0.8723404255319149,34
er_18_0.5_1,52.0,0.9285714285714286,21
er_18_0.5_2,51.0,0.9107142857142857,48
er_18_0.7_0,64.0,0.9552238805970149,9
er_18_0.7_1,60.0,0.9230769230769231,2
er_18_0.7_2,60.0,0.9230769230769231,3
er_20_0.3_0,42.0,0.9545454545454546,55
er_20_0.3_1,36.0,0.9473684210526315,1
er_20_0.3_2,38.0,1.0,58
er_20_0.5_0,62.0,0.9117647058823529,11
er_20_0.5_1,54.0,0.8709677419354839,20
er_20_0.5_2,58.0,0.90625,16
er_20_0.7_0,80.0,0.898876404494382,3
er_20_0.7_1,76.0,0.9156626506024096,25
er_20_0.7_2,72.0,0.9,33
geo_14_0.3_0,15.0,1.0,3
geo_14_0.3_1,15.0,1.0,6
geo_14_0.3_2,15.0,1.0,8
geo_14_0.5_0,29.0,1.0,5
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,9
geo_14_0.7_0,38.0,0.9743589743589743,5
geo_14_0.7_1,46.0,1.0,2
geo_14_0.7_2,40.0,0.975609756097561,5
geo_16_0.3_0,17.0,1.0,16
geo_16_0.3_1,22.0,0.9565217391304348,39
geo_16_0.3_2,18.0,1.0,12
geo_16_0.5_0,37.0,1.0,7
geo_16_0.5_1,44.0,0.9777777777777777,7
geo_16_0.5_2,35.0,0.9459459459459459,1
geo_16_0.7_0,44.0,0.9777777777777777,38
geo_16_0.7_1,53.0,0.9636363636363636,7
geo_16_0.7_2,56.0,1.0,7
geo_18_0.3_0,18.0,0.9473684210526315,15
geo_18_0.3_1,24.0,0.96,20
geo_18_0.3_2,23.0,1.0,18
geo_18_0.5_0,39.0,0.9512195121951219,1
geo_18_0.5_1,48.0,0.96,50
geo_18_0.5_2,44.0,0.9565217391304348,67
geo_18_0.7_0,65.0,0.9558823529411765,20
geo_18_0.7_1,77.0,0.9625,1
geo_18_0.7_2,70.0,0.9859154929577465,1
geo_20_0.3_0,29.0,0.9354838709677419,12
geo_20_0.3_1,30.0,1.0,118
geo_20_0.3_2,32.0,1.0,24
geo_20_0.5_0,52.0,0.9629629629629629,1
geo_20_0.5_1,64.0,1.0,2
geo_20_0.5_2,54.0,0.9152542372881356,10
geo_20_0.7_0,78.0,0.9512195121951219,1
geo_20_0.7_1,85.0,0.9770114942528736,2
geo_20_0.7_2,80.0,0.9876543209876543,1
