problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,22
er_14_0.3_1,19.0,1.0,20
er_14_0.3_2,23.0,1.0,14
er_14_0.5_0,34.0,1.0,5
er_14_0.5_1,31.0,0.96875,11
er_14_0.5_2,34.0,1.0,8
er_14_0.7_0,42.0,1.0,5
er_14_0.7_1,41.0,1.0,13
er_14_0.7_2,38.0,1.0,9
er_16_0.3_0,25.0,0.9615384615384616,17
er_16_0.3_1,30.0,1.0,8
er_16_0.3_2,22.0,1.0,15
er_16_0.5_0,45.0,0.9574468085106383,14
er_16_0.5_1,40.0,0.9523809523809523,23
er_16_0.5_2,38.0,0.95,11
er_16_0.7_0,50.0,1.0,8
er_16_0.7_1,55.0,1.0,26
er_16_0.7_2,55.0,1.0,17
er_18_0.3_0,35.0,0.9722222222222222,17
er_18_0.3_1,32.0,0.9411764705882353,29
er_18_0.3_2,38.0,0.9743589743589743,40
er_18_0.5_0,47.0,1.0,61
er_18_0.5_1,56.0,1.0,37
er_18_0.5_2,55.0,0.9821428571428571,112
er_18_0.7_0,67.0,1.0,97
er_18_0.7_1,65.0,1.0,29
er_18_0.7_2,65.0,1.0,149
er_20_0.3_0,43.0,0.9772727272727273,357
er_20_0.3_1,37.0,0.9736842105263158,194
er_20_0.3_2,38.0,1.0,214
er_20_0.5_0,67.0,0.9852941176470589,373
er_20_0.5_1,62.0,1.0,48
er_20_0.5_2,64.0,1.0,358
er_20_0.7_0,87.0,0.9775280898876404,82
er_20_0.7_1,82.0,0.9879518072289156,2
er_20_0.7_2,79.0,0.9875,322
geo_14_0.3_0,14.0,0.9333333333333333,2
geo_14_0.3_1,15.0,1.0,12
geo_14_0.3_2,15.0,1.0,3
geo_14_0.5_0,28.0,0.9655172413793104,5
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,2
geo_14_0.7_0,39.0,1.0,17
geo_14_0.7_1,46.0,1.0,5
geo_14_0.7_2,41.0,1.0,13
geo_16_0.3_0,16.0,0.9411764705882353,7
geo_16_0.3_1,23.0,1.0,27
geo_16_0.3_2,18.0,1.0,28
geo_16_0.5_0,37.0,1.0,38
geo_16_0.5_1,44.0,0.9777777777777777,8
geo_16_0.5_2,36.0,0.972972972972973,19
geo_16_0.7_0,45.0,1.0,21
geo_16_0.7_1,55.0,1.0,17
geo_16_0.7_2,56.0,1.0,20
geo_18_0.3_0,19.0,1.0,56
geo_18_0.3_1,24.0,0.96,3
geo_18_0.3_2,23.0,1.0,57
geo_18_0.5_0,40.0,0.975609756097561,21
geo_18_0.5_1,49.0,0.98,19
geo_18_0.5_2,46.0,1.0,35
geo_18_0.7_0,68.0,1.0,33
geo_18_0.7_1,80.0,1.0,108
geo_18_0.7_2,71.0,1.0,68
geo_20_0.3_0,31.0,1.0,570
geo_20_0.3_1,30.0,1.0,91
geo_20_0.3_2,31.0,0.96875,40
geo_20_0.5_0,52.0,0.9629629629629629,1
geo_20_0.5_1,64.0,1.0,450
geo_20_0.5_2,58.0,0.9830508474576272,427
geo_20_0.7_0,82.0,1.0,309
geo_20_0.7_1,87.0,1.0,449
geo_20_0.7_2,81.0,1.0,409
