problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,12
er_14_0.3_1,19.0,1.0,15
er_14_0.3_2,23.0,1.0,24
er_14_0.5_0,34.0,1.0,8
er_14_0.5_1,32.0,1.0,11
er_14_0.5_2,34.0,1.0,20
er_14_0.7_0,42.0,1.0,17
er_14_0.7_1,41.0,1.0,12
er_14_0.7_2,38.0,1.0,16
er_16_0.3_0,26.0,1.0,57
er_16_0.3_1,30.0,1.0,66
er_16_0.3_2,22.0,1.0,108
er_16_0.5_0,47.0,1.0,46
er_16_0.5_1,41.0,0.9761904761904762,39
er_16_0.5_2,40.0,1.0,52
er_16_0.7_0,50.0,1.0,33
er_16_0.7_1,55.0,1.0,35
er_16_0.7_2,55.0,1.0,31
er_18_0.3_0,36.0,1.0,101
er_18_0.3_1,34.0,1.0,32
er_18_0.3_2,38.0,0.9743589743589743,124
er_18_0.5_0,47.0,1.0,104
er_18_0.5_1,56.0,1.0,145
er_18_0.5_2,56.0,1.0,114
er_18_0.7_0,67.0,1.0,107
er_18_0.7_1,65.0,1.0,5
er_18_0.7_2,65.0,1.0,81
er_20_0.3_0,43.0,0.9772727272727273,9
er_20_0.3_1,38.0,1.0,254
er_20_0.3_2,38.0,1.0,397
er_20_0.5_0,67.0,0.9852941176470589,304
er_20_0.5_1,62.0,1.0,470
er_20_0.5_2,64.0,1.0,436
er_20_0.7_0,89.0,1.0,298
er_20_0.7_1,83.0,1.0,252
er_20_0.7_2,80.0,1.0,273
geo_14_0.3_0,15.0,1.0,2
geo_14_0.3_1,15.0,1.0,19
geo_14_0.3_2,15.0,1.0,13
geo_14_0.5_0,29.0,1.0,11
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,12
geo_14_0.7_0,39.0,1.0,12
geo_14_0.7_1,46.0,1.0,8
geo_14_0.7_2,41.0,1.0,12
geo_16_0.3_0,17.0,1.0,39
geo_16_0.3_1,23.0,1.0,86
geo_16_0.3_2,18.0,1.0,55
geo_16_0.5_0,36.0,0.972972972972973,37
geo_16_0.5_1,45.0,1.0,60
geo_16_0.5_2,37.0,1.0,36
geo_16_0.7_0,45.0,1.0,2
geo_16_0.7_1,55.0,1.0,53
geo_16_0.7_2,56.0,1.0,19
geo_18_0.3_0,19.0,1.0,195
geo_18_0.3_1,25.0,1.0,143
geo_18_0.3_2,23.0,1.0,200
geo_18_0.5_0,40.0,0.975609756097561,119
geo_18_0.5_1,49.0,0.98,125
geo_18_0.5_2,46.0,1.0,145
geo_18_0.7_0,68.0,1.0,97
geo_18_0.7_1,80.0,1.0,70
geo_18_0.7_2,71.0,1.0,48
geo_20_0.3_0,31.0,1.0,599
geo_20_0.3_1,30.0,1.0,721
geo_20_0.3_2,32.0,1.0,989
geo_20_0.5_0,54.0,1.0,240
geo_20_0.5_1,64.0,1.0,256
geo_20_0.5_2,59.0,1.0,376
geo_20_0.7_0,81.0,0.9878048780487805,167
geo_20_0.7_1,87.0,1.0,3
geo_20_0.7_2,81.0,1.0,198
