problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,6
er_14_0.3_1,19.0,1.0,1
er_14_0.3_2,23.0,1.0,12
er_14_0.5_0,34.0,1.0,16
er_14_0.5_1,32.0,1.0,13
er_14_0.5_2,34.0,1.0,23
er_14_0.7_0,42.0,1.0,31
er_14_0.7_1,41.0,1.0,23
er_14_0.7_2,38.0,1.0,23
er_16_0.3_0,24.0,0.9230769230769231,29
er_16_0.3_1,30.0,1.0,2
er_16_0.3_2,21.0,0.9545454545454546,10
er_16_0.5_0,47.0,1.0,78
er_16_0.5_1,42.0,1.0,86
er_16_0.5_2,39.0,0.975,42
er_16_0.7_0,50.0,1.0,53
er_16_0.7_1,55.0,1.0,88
er_16_0.7_2,55.0,1.0,30
er_18_0.3_0,35.0,0.9722222222222222,256
er_18_0.3_1,34.0,1.0,40
er_18_0.3_2,38.0,0.9743589743589743,111
er_18_0.5_0,47.0,1.0,32
er_18_0.5_1,56.0,1.0,111
er_18_0.5_2,55.0,0.9821428571428571,210
er_18_0.7_0,67.0,1.0,200
er_18_0.7_1,65.0,1.0,185
er_18_0.7_2,65.0,1.0,56
er_20_0.3_0,43.0,0.9772727272727273,194
er_20_0.3_1,38.0,1.0,154
er_20_0.3_2,38.0,1.0,27
er_20_0.5_0,67.0,0.9852941176470589,220
er_20_0.5_1,62.0,1.0,185
er_20_0.5_2,64.0,1.0,672
er_20_0.7_0,89.0,1.0,1984
er_20_0.7_1,83.0,1.0,1024
er_20_0.7_2,80.0,1.0,953
geo_14_0.3_0,15.0,1.0,5
geo_14_0.3_1,15.0,1.0,6
geo_14_0.3_2,15.0,1.0,2
geo_14_0.5_0,29.0,1.0,6
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,1
geo_14_0.7_0,39.0,1.0,13
geo_14_0.7_1,46.0,1.0,16
geo_14_0.7_2,41.0,1.0,27
geo_16_0.3_0,17.0,1.0,7
geo_16_0.3_1,23.0,1.0,19
geo_16_0.3_2,18.0,1.0,1
geo_16_0.5_0,37.0,1.0,39
geo_16_0.5_1,45.0,1.0,10
geo_16_0.5_2,37.0,1.0,14
geo_16_0.7_0,45.0,1.0,46
geo_16_0.7_1,55.0,1.0,126
geo_16_0.7_2,56.0,1.0,34
geo_18_0.3_0,19.0,1.0,8
geo_18_0.3_1,25.0,1.0,2
geo_18_0.3_2,23.0,1.0,10
geo_18_0.5_0,41.0,1.0,275
geo_18_0.5_1,50.0,1.0,171
geo_18_0.5_2,46.0,1.0,51
geo_18_0.7_0,68.0,1.0,274
geo_18_0.7_1,80.0,1.0,1
geo_18_0.7_2,71.0,1.0,461
geo_20_0.3_0,31.0,1.0,386
geo_20_0.3_1,30.0,1.0,258
geo_20_0.3_2,32.0,1.0,1042
geo_20_0.5_0,53.0,0.9814814814814815,4
geo_20_0.5_1,64.0,1.0,220
geo_20_0.5_2,59.0,1.0,2
geo_20_0.7_0,82.0,1.0,1998
geo_20_0.7_1,87.0,1.0,228
geo_20_0.7_2,81.0,1.0,1
