problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,18
er_14_0.3_1,19.0,1.0,15
er_14_0.3_2,23.0,1.0,15
er_14_0.5_0,34.0,1.0,16
er_14_0.5_1,31.0,0.96875,13
er_14_0.5_2,34.0,1.0,19
er_14_0.7_0,41.0,0.9761904761904762,4
er_14_0.7_1,41.0,1.0,9
er_14_0.7_2,36.0,0.9473684210526315,11
er_16_0.3_0,26.0,1.0,50
er_16_0.3_1,28.0,0.9333333333333333,1
er_16_0.3_2,21.0,0.9545454545454546,51
er_16_0.5_0,45.0,0.9574468085106383,41
er_16_0.5_1,42.0,1.0,39
er_16_0.5_2,38.0,0.95,29
er_16_0.7_0,50.0,1.0,25
er_16_0.7_1,53.0,0.9636363636363636,26
er_16_0.7_2,55.0,1.0,45
er_18_0.3_0,35.0,0.9722222222222222,134
er_18_0.3_1,33.0,0.9705882352941176,134
er_18_0.3_2,37.0,0.9487179487179487,137
er_18_0.5_0,47.0,1.0,117
er_18_0.5_1,56.0,1.0,106
er_18_0.5_2,52.0,0.9285714285714286,105
er_18_0.7_0,65.0,0.9701492537313433,8
er_18_0.7_1,65.0,1.0,120
er_18_0.7_2,63.0,0.9692307692307692,98
er_20_0.3_0,43.0,0.9772727272727273,311
er_20_0.3_1,37.0,0.9736842105263158,400
er_20_0.3_2,38.0,1.0,272
er_20_0.5_0,68.0,1.0,206
er_20_0.5_1,62.0,1.0,367
er_20_0.5_2,64.0,1.0,451
er_20_0.7_0,86.0,0.9662921348314607,186
er_20_0.7_1,82.0,0.9879518072289156,3
er_20_0.7_2,79.0,0.9875,286
geo_14_0.3_0,15.0,1.0,7
geo_14_0.3_1,15.0,1.0,24
geo_14_0.3_2,15.0,1.0,16
geo_14_0.5_0,29.0,1.0,13
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,2
geo_14_0.7_0,39.0,1.0,14
geo_14_0.7_1,46.0,1.0,12
geo_14_0.7_2,41.0,1.0,3
geo_16_0.3_0,17.0,1.0,67
geo_16_0.3_1,23.0,1.0,40
geo_16_0.3_2,18.0,1.0,40
geo_16_0.5_0,36.0,0.972972972972973,56
geo_16_0.5_1,44.0,0.9777777777777777,37
geo_16_0.5_2,37.0,1.0,43
geo_16_0.7_0,45.0,1.0,37
geo_16_0.7_1,54.0,0.9818181818181818,2
geo_16_0.7_2,56.0,1.0,19
geo_18_0.3_0,19.0,1.0,20
geo_18_0.3_1,25.0,1.0,150
geo_18_0.3_2,23.0,1.0,4
geo_18_0.5_0,41.0,1.0,151
geo_18_0.5_1,48.0,0.96,108
geo_18_0.5_2,46.0,1.0,36
geo_18_0.7_0,68.0,1.0,69
geo_18_0.7_1,79.0,0.9875,60
geo_18_0.7_2,71.0,1.0,91
geo_20_0.3_0,30.0,0.967741935483871,13
geo_20_0.3_1,29.0,0.9666666666666667,33
geo_20_0.3_2,31.0,0.96875,95
geo_20_0.5_0,52.0,0.9629629629629629,1
geo_20_0.5_1,62.0,0.96875,278
geo_20_0.5_2,59.0,1.0,338
geo_20_0.7_0,81.0,0.9878048780487805,374
geo_20_0.7_1,86.0,0.9885057471264368,219
geo_20_0.7_2,81.0,1.0,384
