problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,20
er_14_0.3_1,18.0,0.9473684210526315,21
er_14_0.3_2,22.0,0.9565217391304348,14
er_14_0.5_0,34.0,1.0,18
er_14_0.5_1,31.0,0.96875,16
er_14_0.5_2,32.0,0.9411764705882353,11
er_14_0.7_0,42.0,1.0,15
er_14_0.7_1,41.0,1.0,24
er_14_0.7_2,37.0,0.9736842105263158,13
er_16_0.3_0,26.0,1.0,61
er_16_0.3_1,30.0,1.0,38
er_16_0.3_2,21.0,0.9545454545454546,73
er_16_0.5_0,46.0,0.9787234042553191,65
er_16_0.5_1,41.0,0.9761904761904762,49
er_16_0.5_2,40.0,1.0,38
er_16_0.7_0,49.0,0.98,31
er_16_0.7_1,54.0,0.9818181818181818,41
er_16_0.7_2,55.0,1.0,30
er_18_0.3_0,36.0,1.0,179
er_18_0.3_1,34.0,1.0,162
er_18_0.3_2,38.0,0.9743589743589743,13
er_18_0.5_0,45.0,0.9574468085106383,23
er_18_0.5_1,56.0,1.0,93
er_18_0.5_2,56.0,1.0,149
er_18_0.7_0,66.0,0.9850746268656716,129
er_18_0.7_1,64.0,0.9846153846153847,101
er_18_0.7_2,64.0,0.9846153846153847,11
er_20_0.3_0,43.0,0.9772727272727273,241
er_20_0.3_1,38.0,1.0,13
er_20_0.3_2,38.0,1.0,528
er_20_0.5_0,66.0,0.9705882352941176,305
er_20_0.5_1,58.0,0.9354838709677419,372
er_20_0.5_2,64.0,1.0,358
er_20_0.7_0,85.0,0.9550561797752809,225
er_20_0.7_1,82.0,0.9879518072289156,368
er_20_0.7_2,77.0,0.9625,230
geo_14_0.3_0,15.0,1.0,7
geo_14_0.3_1,15.0,1.0,25
geo_14_0.3_2,15.0,1.0,26
geo_14_0.5_0,29.0,1.0,18
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,12
geo_14_0.7_0,39.0,1.0,13
geo_14_0.7_1,46.0,1.0,13
geo_14_0.7_2,41.0,1.0,3
geo_16_0.3_0,17.0,1.0,81
geo_16_0.3_1,22.0,0.9565217391304348,56
geo_16_0.3_2,18.0,1.0,18
geo_16_0.5_0,36.0,0.972972972972973,38
geo_16_0.5_1,45.0,1.0,49
geo_16_0.5_2,36.0,0.972972972972973,52
geo_16_0.7_0,45.0,1.0,41
geo_16_0.7_1,54.0,0.9818181818181818,3
geo_16_0.7_2,55.0,0.9821428571428571,38
geo_18_0.3_0,19.0,1.0,48
geo_18_0.3_1,24.0,0.96,11
geo_18_0.3_2,23.0,1.0,165
geo_18_0.5_0,40.0,0.975609756097561,93
geo_18_0.5_1,48.0,0.96,10
geo_18_0.5_2,46.0,1.0,126
geo_18_0.7_0,68.0,1.0,64
geo_18_0.7_1,78.0,0.975,58
geo_18_0.7_2,70.0,0.9859154929577465,1
geo_20_0.3_0,30.0,0.967741935483871,503
geo_20_0.3_1,30.0,1.0,129
geo_20_0.3_2,31.0,0.96875,507
geo_20_0.5_0,54.0,1.0,414
geo_20_0.5_1,62.0,0.96875,116
geo_20_0.5_2,57.0,0.9661016949152542,308
geo_20_0.7_0,81.0,0.9878048780487805,418
geo_20_0.7_1,87.0,1.0,229
geo_20_0.7_2,80.0,0.9876543209876543,1
