problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,5
er_14_0.3_1,19.0,1.0,5
er_14_0.3_2,23.0,1.0,22
er_14_0.5_0,33.0,0.9705882352941176,5
er_14_0.5_1,32.0,1.0,17
er_14_0.5_2,34.0,1.0,8
er_14_0.7_0,40.0,0.9523809523809523,5
er_14_0.7_1,41.0,1.0,20
er_14_0.7_2,38.0,1.0,17
er_16_0.3_0,26.0,1.0,41
er_16_0.3_1,29.0,0.9666666666666667,53
er_16_0.3_2,21.0,0.9545454545454546,7
er_16_0.5_0,45.0,0.9574468085106383,16
er_16_0.5_1,42.0,1.0,11
er_16_0.5_2,38.0,0.95,10
er_16_0.7_0,50.0,1.0,15
er_16_0.7_1,52.0,0.9454545454545454,13
er_16_0.7_2,55.0,1.0,7
er_18_0.3_0,36.0,1.0,52
er_18_0.3_1,33.0,0.9705882352941176,54
er_18_0.3_2,38.0,0.9743589743589743,69
er_18_0.5_0,47.0,1.0,9
er_18_0.5_1,56.0,1.0,69
er_18_0.5_2,55.0,0.9821428571428571,94
er_18_0.7_0,66.0,0.9850746268656716,56
er_18_0.7_1,65.0,1.0,32
er_18_0.7_2,65.0,1.0,20
er_20_0.3_0,43.0,0.9772727272727273,334
er_20_0.3_1,38.0,1.0,138
er_20_0.3_2,38.0,1.0,199
er_20_0.5_0,67.0,0.9852941176470589,241
er_20_0.5_1,61.0,0.9838709677419355,51
er_20_0.5_2,64.0,1.0,447
er_20_0.7_0,87.0,0.9775280898876404,134
er_20_0.7_1,83.0,1.0,30
er_20_0.7_2,79.0,0.9875,170
geo_14_0.3_0,15.0,1.0,5
geo_14_0.3_1,15.0,1.0,6
geo_14_0.3_2,15.0,1.0,9
geo_14_0.5_0,29.0,1.0,2
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,17
geo_14_0.7_0,39.0,1.0,5
geo_14_0.7_1,44.0,0.9565217391304348,5
geo_14_0.7_2,41.0,1.0,6
geo_16_0.3_0,17.0,1.0,58
geo_16_0.3_1,23.0,1.0,30
geo_16_0.3_2,18.0,1.0,7
geo_16_0.5_0,37.0,1.0,43
geo_16_0.5_1,45.0,1.0,62
geo_16_0.5_2,36.0,0.972972972972973,7
geo_16_0.7_0,45.0,1.0,8
geo_16_0.7_1,54.0,0.9818181818181818,11
geo_16_0.7_2,55.0,0.9821428571428571,7
geo_18_0.3_0,19.0,1.0,158
geo_18_0.3_1,25.0,1.0,127
geo_18_0.3_2,23.0,1.0,138
geo_18_0.5_0,41.0,1.0,80
geo_18_0.5_1,49.0,0.98,2
geo_18_0.5_2,46.0,1.0,139
geo_18_0.7_0,67.0,0.9852941176470589,10
geo_18_0.7_1,80.0,1.0,45
geo_18_0.7_2,70.0,0.9859154929577465,1
geo_20_0.3_0,31.0,1.0,403
geo_20_0.3_1,30.0,1.0,2
geo_20_0.3_2,32.0,1.0,306
geo_20_0.5_0,53.0,0.9814814814814815,212
geo_20_0.5_1,63.0,0.984375,388
geo_20_0.5_2,59.0,1.0,32
geo_20_0.7_0,80.0,0.975609756097561,33
geo_20_0.7_1,86.0,0.9885057471264368,103
geo_20_0.7_2,81.0,1.0,426
