problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,12
er_14_0.3_1,19.0,1.0,15
er_14_0.3_2,23.0,1.0,16
er_14_0.5_0,33.0,0.9705882352941176,10
er_14_0.5_1,31.0,0.96875,14
er_14_0.5_2,34.0,1.0,12
er_14_0.7_0,41.0,0.9761904761904762,4
er_14_0.7_1,40.0,0.975609756097561,9
er_14_0.7_2,37.0,0.9736842105263158,12
er_16_0.3_0,26.0,1.0,53
er_16_0.3_1,28.0,0.9333333333333333,1
er_16_0.3_2,22.0,1.0,66
er_16_0.5_0,45.0,0.9574468085106383,52
er_16_0.5_1,41.0,0.9761904761904762,3
er_16_0.5_2,40.0,1.0,60
er_16_0.7_0,50.0,1.0,26
er_16_0.7_1,55.0,1.0,41
er_16_0.7_2,55.0,1.0,41
er_18_0.3_0,33.0,0.9166666666666666,7
er_18_0.3_1,32.0,0.9411764705882353,134
er_18_0.3_2,37.0,0.9487179487179487,11
er_18_0.5_0,47.0,1.0,169
er_18_0.5_1,56.0,1.0,111
er_18_0.5_2,56.0,1.0,166
er_18_0.7_0,67.0,1.0,127
er_18_0.7_1,65.0,1.0,138
er_18_0.7_2,65.0,1.0,39
er_20_0.3_0,44.0,1.0,514
er_20_0.3_1,38.0,1.0,96
er_20_0.3_2,38.0,1.0,39
er_20_0.5_0,66.0,0.9705882352941176,178
er_20_0.5_1,60.0,0.967741935483871,433
er_20_0.5_2,63.0,0.984375,269
er_20_0.7_0,87.0,0.9775280898876404,251
er_20_0.7_1,82.0,0.9879518072289156,3
er_20_0.7_2,79.0,0.9875,318
geo_14_0.3_0,15.0,1.0,15
geo_14_0.3_1,15.0,1.0,21
geo_14_0.3_2,15.0,1.0,28
geo_14_0.5_0,29.0,1.0,12
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,2
geo_14_0.7_0,39.0,1.0,14
geo_14_0.7_1,46.0,1.0,6
geo_14_0.7_2,41.0,1.0,3
geo_16_0.3_0,17.0,1.0,63
geo_16_0.3_1,23.0,1.0,39
geo_16_0.3_2,18.0,1.0,17
geo_16_0.5_0,35.0,0.9459459459459459,48
geo_16_0.5_1,44.0,0.9777777777777777,31
geo_16_0.5_2,37.0,1.0,39
geo_16_0.7_0,45.0,1.0,41
geo_16_0.7_1,54.0,0.9818181818181818,2
geo_16_0.7_2,56.0,1.0,19
geo_18_0.3_0,19.0,1.0,181
geo_18_0.3_1,25.0,1.0,167
geo_18_0.3_2,23.0,1.0,4
geo_18_0.5_0,40.0,0.975609756097561,113
geo_18_0.5_1,49.0,0.98,101
geo_18_0.5_2,46.0,1.0,91
geo_18_0.7_0,67.0,0.9852941176470589,3
geo_18_0.7_1,80.0,1.0,113
geo_18_0.7_2,71.0,1.0,112
geo_20_0.3_0,31.0,1.0,397
geo_20_0.3_1,30.0,1.0,436
geo_20_0.3_2,31.0,0.96875,100
geo_20_0.5_0,53.0,0.9814814814814815,427
geo_20_0.5_1,61.0,0.953125,232
geo_20_0.5_2,58.0,0.9830508474576272,338
geo_20_0.7_0,82.0,1.0,409
geo_20_0.7_1,87.0,1.0,267
geo_20_0.7_2,80.0,0.9876543209876543,1
