problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,5
er_14_0.3_1,19.0,1.0,14
er_14_0.3_2,23.0,1.0,14
er_14_0.5_0,33.0,0.9705882352941176,5
er_14_0.5_1,31.0,0.96875,5
er_14_0.5_2,34.0,1.0,6
er_14_0.7_0,41.0,0.9761904761904762,12
er_14_0.7_1,40.0,0.975609756097561,10
er_14_0.7_2,37.0,0.9736842105263158,5
er_16_0.3_0,26.0,1.0,7
er_16_0.3_1,28.0,0.9333333333333333,1
er_16_0.3_2,22.0,1.0,11
er_16_0.5_0,45.0,0.9574468085106383,11
er_16_0.5_1,41.0,0.9761904761904762,2
er_16_0.5_2,40.0,1.0,30
er_16_0.7_0,50.0,1.0,7
er_16_0.7_1,55.0,1.0,11
er_16_0.7_2,55.0,1.0,8
er_18_0.3_0,33.0,0.9166666666666666,3
er_18_0.3_1,32.0,0.9411764705882353,9
er_18_0.3_2,37.0,0.9487179487179487,29
er_18_0.5_0,47.0,1.0,65
er_18_0.5_1,56.0,1.0,15
er_18_0.5_2,56.0,1.0,27
er_18_0.7_0,66.0,0.9850746268656716,17
er_18_0.7_1,65.0,1.0,46
er_18_0.7_2,65.0,1.0,14
er_20_0.3_0,43.0,0.9772727272727273,235
er_20_0.3_1,38.0,1.0,45
er_20_0.3_2,37.0,0.9736842105263158,19
er_20_0.5_0,66.0,0.9705882352941176,164
er_20_0.5_1,60.0,0.967741935483871,83
er_20_0.5_2,63.0,0.984375,347
er_20_0.7_0,87.0,0.9775280898876404,220
er_20_0.7_1,82.0,0.9879518072289156,2
er_20_0.7_2,79.0,0.9875,17
geo_14_0.3_0,15.0,1.0,5
geo_14_0.3_1,15.0,1.0,5
geo_14_0.3_2,15.0,1.0,5
geo_14_0.5_0,29.0,1.0,8
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,2
geo_14_0.7_0,39.0,1.0,9
geo_14_0.7_1,46.0,1.0,9
geo_14_0.7_2,41.0,1.0,2
geo_16_0.3_0,17.0,1.0,7
geo_16_0.3_1,23.0,1.0,61
geo_16_0.3_2,18.0,1.0,18
geo_16_0.5_0,35.0,0.9459459459459459,7
geo_16_0.5_1,44.0,0.9777777777777777,7
geo_16_0.5_2,37.0,1.0,22
geo_16_0.7_0,44.0,0.9777777777777777,10
geo_16_0.7_1,54.0,0.9818181818181818,19
geo_16_0.7_2,56.0,1.0,18
geo_18_0.3_0,19.0,1.0,17
geo_18_0.3_1,25.0,1.0,14
geo_18_0.3_2,23.0,1.0,9
geo_18_0.5_0,40.0,0.975609756097561,60
geo_18_0.5_1,49.0,0.98,74
geo_18_0.5_2,46.0,1.0,139
geo_18_0.7_0,67.0,0.9852941176470589,2
geo_18_0.7_1,80.0,1.0,82
geo_18_0.7_2,71.0,1.0,34
geo_20_0.3_0,31.0,1.0,367
geo_20_0.3_1,30.0,1.0,254
geo_20_0.3_2,32.0,1.0,70
geo_20_0.5_0,53.0,0.9814814814814815,338
geo_20_0.5_1,61.0,0.953125,347
geo_20_0.5_2,58.0,0.9830508474576272,100
geo_20_0.7_0,82.0,1.0,290
geo_20_0.7_1,87.0,1.0,220
geo_20_0.7_2,80.0,0.9876543209876543,1
