problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,23
er_14_0.3_1,19.0,1.0,6
er_14_0.3_2,23.0,1.0,24
er_14_0.5_0,34.0,1.0,17
er_14_0.5_1,32.0,1.0,13
er_14_0.5_2,34.0,1.0,9
er_14_0.7_0,41.0,0.9761904761904762,13
er_14_0.7_1,41.0,1.0,18
er_14_0.7_2,38.0,1.0,10
er_16_0.3_0,26.0,1.0,53
er_16_0.3_1,30.0,1.0,71
er_16_0.3_2,22.0,1.0,77
er_16_0.5_0,46.0,0.9787234042553191,43
er_16_0.5_1,42.0,1.0,59
er_16_0.5_2,40.0,1.0,57
er_16_0.7_0,50.0,1.0,38
er_16_0.7_1,53.0,0.9636363636363636,31
er_16_0.7_2,55.0,1.0,60
er_18_0.3_0,35.0,0.9722222222222222,130
er_18_0.3_1,33.0,0.9705882352941176,191
er_18_0.3_2,39.0,1.0,173
er_18_0.5_0,46.0,0.9787234042553191,113
er_18_0.5_1,56.0,1.0,101
er_18_0.5_2,56.0,1.0,128
er_18_0.7_0,67.0,1.0,130
er_18_0.7_1,65.0,1.0,85
er_18_0.7_2,64.0,0.9846153846153847,100
er_20_0.3_0,43.0,0.9772727272727273,436
er_20_0.3_1,38.0,1.0,391
er_20_0.3_2,38.0,1.0,427
er_20_0.5_0,66.0,0.9705882352941176,327
er_20_0.5_1,60.0,0.967741935483871,474
er_20_0.5_2,63.0,0.984375,33
er_20_0.7_0,89.0,1.0,365
er_20_0.7_1,82.0,0.9879518072289156,355
er_20_0.7_2,80.0,1.0,283
geo_14_0.3_0,15.0,1.0,2
geo_14_0.3_1,15.0,1.0,16
geo_14_0.3_2,15.0,1.0,16
geo_14_0.5_0,29.0,1.0,22
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,10
geo_14_0.7_0,39.0,1.0,15
geo_14_0.7_1,46.0,1.0,4
geo_14_0.7_2,41.0,1.0,18
geo_16_0.3_0,17.0,1.0,61
geo_16_0.3_1,22.0,0.9565217391304348,3
geo_16_0.3_2,18.0,1.0,5
geo_16_0.5_0,36.0,0.972972972972973,61
geo_16_0.5_1,44.0,0.9777777777777777,30
geo_16_0.5_2,37.0,1.0,19
geo_16_0.7_0,45.0,1.0,11
geo_16_0.7_1,55.0,1.0,40
geo_16_0.7_2,56.0,1.0,23
geo_18_0.3_0,19.0,1.0,239
geo_18_0.3_1,25.0,1.0,203
geo_18_0.3_2,23.0,1.0,124
geo_18_0.5_0,40.0,0.975609756097561,152
geo_18_0.5_1,49.0,0.98,35
geo_18_0.5_2,46.0,1.0,208
geo_18_0.7_0,68.0,1.0,143
geo_18_0.7_1,79.0,0.9875,88
geo_18_0.7_2,70.0,0.9859154929577465,1
geo_20_0.3_0,31.0,1.0,706
geo_20_0.3_1,30.0,1.0,385
geo_20_0.3_2,32.0,1.0,677
geo_20_0.5_0,54.0,1.0,430
geo_20_0.5_1,64.0,1.0,480
geo_20_0.5_2,59.0,1.0,364
geo_20_0.7_0,81.0,0.9878048780487805,351
geo_20_0.7_1,86.0,0.9885057471264368,210
geo_20_0.7_2,81.0,1.0,280
