problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,28.0,0.9655172413793104,6
er_14_0.3_1,19.0,1.0,1
er_14_0.3_2,23.0,1.0,5
er_14_0.5_0,34.0,1.0,7
er_14_0.5_1,32.0,1.0,2
er_14_0.5_2,34.0,1.0,6
er_14_0.7_0,42.0,1.0,9
er_14_0.7_1,41.0,1.0,16
er_14_0.7_2,38.0,1.0,9
er_16_0.3_0,26.0,1.0,7
er_16_0.3_1,29.0,0.9666666666666667,1
er_16_0.3_2,22.0,1.0,85
er_16_0.5_0,47.0,1.0,70
er_16_0.5_1,42.0,1.0,22
er_16_0.5_2,40.0,1.0,19
er_16_0.7_0,50.0,1.0,8
er_16_0.7_1,55.0,1.0,117
er_16_0.7_2,55.0,1.0,37
er_18_0.3_0,36.0,1.0,473
er_18_0.3_1,34.0,1.0,2
er_18_0.3_2,38.0,0.9743589743589743,215
er_18_0.5_0,47.0,1.0,3
er_18_0.5_1,55.0,0.9821428571428571,91
er_18_0.5_2,54.0,0.9642857142857143,207
er_18_0.7_0,67.0,1.0,214
er_18_0.7_1,65.0,1.0,3
er_18_0.7_2,65.0,1.0,314
er_20_0.3_0,44.0,1.0,1202
er_20_0.3_1,37.0,0.9736842105263158,1
er_20_0.3_2,38.0,1.0,67
er_20_0.5_0,68.0,1.0,58
er_20_0.5_1,61.0,0.9838709677419355,375
er_20_0.5_2,64.0,1.0,202
er_20_0.7_0,89.0,1.0,1368
er_20_0.7_1,83.0,1.0,1888
er_20_0.7_2,80.0,1.0,298
geo_14_0.3_0,15.0,1.0,5
geo_14_0.3_1,15.0,1.0,6
geo_14_0.3_2,15.0,1.0,2
geo_14_0.5_0,29.0,1.0,8
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,1
geo_14_0.7_0,39.0,1.0,5
geo_14_0.7_1,46.0,1.0,15
geo_14_0.7_2,41.0,1.0,15
geo_16_0.3_0,16.0,0.9411764705882353,1
geo_16_0.3_1,23.0,1.0,2
geo_16_0.3_2,18.0,1.0,1
geo_16_0.5_0,37.0,1.0,104
geo_16_0.5_1,45.0,1.0,10
geo_16_0.5_2,37.0,1.0,48
geo_16_0.7_0,45.0,1.0,104
geo_16_0.7_1,55.0,1.0,2
geo_16_0.7_2,56.0,1.0,71
geo_18_0.3_0,19.0,1.0,66
geo_18_0.3_1,25.0,1.0,151
geo_18_0.3_2,23.0,1.0,24
geo_18_0.5_0,41.0,1.0,76
geo_18_0.5_1,49.0,0.98,43
geo_18_0.5_2,45.0,0.9782608695652174,95
geo_18_0.7_0,68.0,1.0,40
geo_18_0.7_1,80.0,1.0,1
geo_18_0.7_2,71.0,1.0,119
geo_20_0.3_0,31.0,1.0,1537
geo_20_0.3_1,29.0,0.9666666666666667,145
geo_20_0.3_2,32.0,1.0,1751
geo_20_0.5_0,54.0,1.0,113
geo_20_0.5_1,64.0,1.0,510
geo_20_0.5_2,59.0,1.0,352
geo_20_0.7_0,82.0,1.0,344
geo_20_0.7_1,87.0,1.0,109
geo_20_0.7_2,81.0,1.0,1
