problem_name,cost,approx_ratio,n_steps
g05_60.0,516.0,0.9626865671641791,6
g05_60.1,515.0,0.9680451127819549,5
g05_60.2,492.0,0.9300567107750473,4
g05_60.3,519.0,0.9646840148698885,4
g05_60.4,485.0,0.920303605313093,2
g05_60.5,498.0,0.9343339587242027,3
g05_60.6,521.0,0.9811676082862524,4
g05_60.7,516.0,0.9644859813084112,4
g05_60.8,498.0,0.939622641509434,3
g05_60.9,495.0,0.9287054409005628,5
g05_80.0,902.0,0.9709364908503767,6
g05_80.1,860.0,0.9139213602550478,2
g05_80.2,901.0,0.9646680942184154,5
g05_80.3,840.0,0.9100758396533044,4
g05_80.4,910.0,0.9763948497854077,6
g05_80.5,900.0,0.9719222462203023,4
g05_80.6,883.0,0.9504843918191603,4
g05_80.7,905.0,0.9741657696447793,4
g05_80.8,906.0,0.9794594594594594,4
g05_80.9,896.0,0.9707475622968581,4
g05_100.0,1392.0,0.9734265734265735,3
g05_100.1,1386.0,0.9726315789473684,5
g05_100.2,1372.0,0.9581005586592178,5
g05_100.3,1370.0,0.9620786516853933,5
g05_100.4,1391.0,0.9659722222222222,4
g05_100.5,1350.0,0.9401114206128134,4
g05_100.6,1363.0,0.9504881450488145,4
g05_100.7,1372.0,0.9587700908455625,4
g05_100.8,1391.0,0.9713687150837989,3
g05_100.9,1385.0,0.9685314685314685,3
