problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,-1
er_14_0.3_1,19.0,1.0,-1
er_14_0.3_2,23.0,1.0,-1
er_14_0.5_0,34.0,1.0,-1
er_14_0.5_1,32.0,1.0,-1
er_14_0.5_2,34.0,1.0,-1
er_14_0.7_0,40.0,0.9523809523809523,-1
er_14_0.7_1,40.0,0.975609756097561,-1
er_14_0.7_2,38.0,1.0,-1
er_16_0.3_0,26.0,1.0,-1
er_16_0.3_1,30.0,1.0,-1
er_16_0.3_2,21.0,0.9545454545454546,-1
er_16_0.5_0,45.0,0.9574468085106383,-1
er_16_0.5_1,41.0,0.9761904761904762,-1
er_16_0.5_2,39.0,0.975,-1
er_16_0.7_0,50.0,1.0,-1
er_16_0.7_1,55.0,1.0,-1
er_16_0.7_2,55.0,1.0,-1
er_18_0.3_0,36.0,1.0,-1
er_18_0.3_1,34.0,1.0,-1
er_18_0.3_2,39.0,1.0,-1
er_18_0.5_0,47.0,1.0,-1
er_18_0.5_1,56.0,1.0,-1
er_18_0.5_2,56.0,1.0,-1
er_18_0.7_0,66.0,0.9850746268656716,-1
er_18_0.7_1,63.0,0.9692307692307692,-1
er_18_0.7_2,64.0,0.9846153846153847,-1
er_20_0.3_0,44.0,1.0,-1
er_20_0.3_1,38.0,1.0,-1
er_20_0.3_2,38.0,1.0,-1
er_20_0.5_0,67.0,0.9852941176470589,-1
er_20_0.5_1,62.0,1.0,-1
er_20_0.5_2,64.0,1.0,-1
er_20_0.7_0,85.0,0.9550561797752809,-1
er_20_0.7_1,80.0,0.963855421686747,-1
er_20_0.7_2,78.0,0.975,-1
geo_14_0.3_0,14.0,0.9333333333333333,-1
geo_14_0.3_1,15.0,1.0,-1
geo_14_0.3_2,15.0,1.0,-1
geo_14_0.5_0,28.0,0.9655172413793104,-1
geo_14_0.5_1,23.0,1.0,-1
geo_14_0.5_2,36.0,1.0,-1
geo_14_0.7_0,37.0,0.9487179487179487,-1
geo_14_0.7_1,45.0,0.9782608695652174,-1
geo_14_0.7_2,40.0,0.975609756097561,-1
geo_16_0.3_0,17.0,1.0,-1
geo_16_0.3_1,23.0,1.0,-1
geo_16_0.3_2,18.0,1.0,-1
geo_16_0.5_0,36.0,0.972972972972973,-1
geo_16_0.5_1,44.0,0.9777777777777777,-1
geo_16_0.5_2,37.0,1.0,-1
geo_16_0.7_0,44.0,0.9777777777777777,-1
geo_16_0.7_1,52.0,0.9454545454545454,-1
geo_16_0.7_2,56.0,1.0,-1
geo_18_0.3_0,19.0,1.0,-1
geo_18_0.3_1,25.0,1.0,-1
geo_18_0.3_2,23.0,1.0,-1
geo_18_0.5_0,40.0,0.975609756097561,-1
geo_18_0.5_1,49.0,0.98,-1
geo_18_0.5_2,46.0,1.0,-1
geo_18_0.7_0,67.0,0.9852941176470589,-1
geo_18_0.7_1,79.0,0.9875,-1
geo_18_0.7_2,68.0,0.9577464788732394,-1
geo_20_0.3_0,31.0,1.0,-1
geo_20_0.3_1,30.0,1.0,-1
geo_20_0.3_2,32.0,1.0,-1
geo_20_0.5_0,53.0,0.9814814814814815,-1
geo_20_0.5_1,62.0,0.96875,-1
geo_20_0.5_2,59.0,1.0,-1
geo_20_0.7_0,78.0,0.9512195121951219,-1
geo_20_0.7_1,86.0,0.9885057471264368,-1
geo_20_0.7_2,81.0,1.0,-1
