problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,31,0,31
er_14_0.3_1,19.0,1.0,31,0,22
er_14_0.3_2,23.0,1.0,31,0,22
er_14_0.5_0,32.0,1.0,31,0,30
er_14_0.5_1,30.0,1.0,31,0,29
er_14_0.5_2,29.0,1.0,31,0,5
er_14_0.6_0,43.0,1.0,31,0,1
er_14_0.6_1,40.0,1.0,31,0,24
er_14_0.6_2,36.0,1.0,28,1,24
er_14_0.7_0,41.0,1.0,31,0,19
er_14_0.7_1,42.0,1.0,31,0,22
er_14_0.7_2,45.0,1.0,31,0,19
er_16_0.3_0,26.0,1.0,121,2,85
er_16_0.3_1,32.0,1.0,127,0,121
er_16_0.3_2,31.0,1.0,127,0,121
er_16_0.5_0,40.0,1.0,124,1,104
er_16_0.5_1,42.0,1.0,127,0,108
er_16_0.5_2,37.0,1.0,127,0,107
er_16_0.6_0,46.0,1.0,127,0,85
er_16_0.6_1,42.0,1.0,127,0,93
er_16_0.6_2,48.0,1.0,127,0,79
er_16_0.7_0,56.0,1.0,127,0,93
er_16_0.7_1,54.0,1.0,127,0,90
er_16_0.7_2,57.0,1.0,127,0,122
er_18_0.3_0,41.0,1.0,458,11,323
er_18_0.3_1,39.0,1.0,483,8,430
er_18_0.3_2,33.0,1.0,496,5,494
er_18_0.5_0,53.0,1.0,511,0,373
er_18_0.5_1,51.0,1.0,511,0,355
er_18_0.5_2,52.0,1.0,480,5,296
er_18_0.6_0,57.0,1.0,511,0,364
er_18_0.6_1,58.0,1.0,504,1,350
er_18_0.6_2,63.0,1.0,511,0,434
er_18_0.7_0,69.0,1.0,511,0,437
er_18_0.7_1,67.0,1.0,511,0,410
er_18_0.7_2,68.0,1.0,508,1,314
er_20_0.3_0,39.0,1.0,1886,23,1752
er_20_0.3_1,44.0,1.0,1927,74,1802
er_20_0.3_2,48.0,1.0,1834,209,1574
er_20_0.5_0,67.0,1.0,2027,4,1921
er_20_0.5_1,62.0,1.0,2026,3,1842
er_20_0.5_2,61.0,1.0,2013,6,62
er_20_0.6_0,80.0,1.0,2040,1,1235
er_20_0.6_1,76.0,1.0,2040,1,1702
er_20_0.6_2,76.0,1.0,2040,1,1439
er_20_0.7_0,81.0,1.0,2037,2,738
er_20_0.7_1,78.0,1.0,2041,2,1643
er_20_0.7_2,84.0,1.0,2044,1,1264
geo_14_0.1_0,13.0,1.0,31,0,30
geo_14_0.1_1,14.0,1.0,28,1,27
geo_14_0.1_2,13.0,1.0,6,3,1
geo_14_0.3_0,14.0,1.0,21,2,17
geo_14_0.3_1,17.0,1.0,25,2,7
geo_14_0.3_2,15.0,1.0,31,0,30
geo_14_0.5_0,35.0,1.0,31,0,19
geo_14_0.5_1,28.0,1.0,25,2,3
geo_14_0.5_2,24.0,1.0,31,0,26
geo_14_0.6_0,41.0,1.0,31,0,20
geo_14_0.6_1,42.0,1.0,31,0,23
geo_14_0.6_2,34.0,1.0,31,0,26
geo_16_0.1_0,15.0,1.0,82,7,82
geo_16_0.1_1,15.0,1.0,118,3,96
geo_16_0.1_2,16.0,1.0,96,5,87
geo_16_0.3_0,23.0,1.0,114,3,84
geo_16_0.3_1,24.0,1.0,102,7,75
geo_16_0.3_2,23.0,1.0,111,4,92
geo_16_0.5_0,33.0,1.0,124,1,68
geo_16_0.5_1,41.0,1.0,117,2,7
geo_16_0.5_2,31.0,1.0,120,1,13
geo_16_0.6_0,48.0,1.0,127,0,90
geo_16_0.6_1,56.0,1.0,127,0,77
geo_16_0.6_2,44.0,1.0,127,0,84
geo_18_0.1_0,17.0,1.0,259,12,3
geo_18_0.1_1,19.0,1.0,140,29,1
geo_18_0.1_2,18.0,1.0,56,29,1
geo_18_0.3_0,24.0,1.0,418,45,276
geo_18_0.3_1,22.0,1.0,205,14,1
geo_18_0.3_2,24.0,1.0,349,162,30
geo_18_0.5_0,53.0,1.0,508,1,361
geo_18_0.5_1,44.0,1.0,471,4,312
geo_18_0.5_2,44.0,1.0,470,3,311
geo_18_0.6_0,58.0,1.0,505,2,3
geo_18_0.6_1,57.0,1.0,508,1,45
geo_18_0.6_2,43.0,1.0,455,4,327
geo_20_0.1_0,19.0,1.0,445,96,413
geo_20_0.1_1,19.0,1.0,153,64,1
geo_20_0.1_2,23.0,1.0,1433,278,1252
geo_20_0.3_0,34.0,1.0,1244,571,47
geo_20_0.3_1,25.0,1.0,1440,89,1
geo_20_0.3_2,29.0,1.0,1595,148,1258
geo_20_0.5_0,62.0,1.0,1985,14,438
geo_20_0.5_1,70.0,1.0,2022,3,718
geo_20_0.5_2,55.0,1.0,1987,8,1204
geo_20_0.6_0,64.0,1.0,2023,4,1472
geo_20_0.6_1,83.0,1.0,2023,4,14
geo_20_0.6_2,82.0,1.0,2044,1,1594
