problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,18.0,0.8571428571428571,4,223,2
er_14_0.3_1,15.0,0.7894736842105263,15,1362,1
er_14_0.3_2,20.0,0.8695652173913043,8,663,1
er_14_0.5_0,31.0,0.96875,9,700,2
er_14_0.5_1,27.0,0.9,6,443,1
er_14_0.5_2,29.0,1.0,12,1111,9
er_14_0.6_0,43.0,1.0,4,227,1
er_14_0.6_1,37.0,0.925,11,1102,1
er_14_0.6_2,36.0,1.0,9,690,4
er_14_0.7_0,38.0,0.926829268292683,13,1322,1
er_14_0.7_1,39.0,0.9285714285714286,11,1102,6
er_14_0.7_2,40.0,0.8888888888888888,10,883,3
er_16_0.3_0,25.0,0.9615384615384616,27,2242,14
er_16_0.3_1,25.0,0.78125,29,3084,1
er_16_0.3_2,27.0,0.8709677419354839,8,453,5
er_16_0.5_0,37.0,0.925,6,263,2
er_16_0.5_1,41.0,0.9761904761904762,6,237,1
er_16_0.5_2,32.0,0.8648648648648649,7,446,1
er_16_0.6_0,42.0,0.9130434782608695,17,894,3
er_16_0.6_1,39.0,0.9285714285714286,25,1996,25
er_16_0.6_2,44.0,0.9166666666666666,14,895,1
er_16_0.7_0,53.0,0.9464285714285714,19,1346,12
er_16_0.7_1,53.0,0.9814814814814815,32,2481,27
er_16_0.7_2,52.0,0.9122807017543859,25,1782,18
er_18_0.3_0,40.0,0.975609756097561,18,917,5
er_18_0.3_1,36.0,0.9230769230769231,45,2592,12
er_18_0.3_2,29.0,0.8787878787878788,43,2898,17
er_18_0.5_0,49.0,0.9245283018867925,22,975,4
er_18_0.5_1,45.0,0.8823529411764706,22,917,21
er_18_0.5_2,48.0,0.9230769230769231,13,544,5
er_18_0.6_0,54.0,0.9473684210526315,37,1898,11
er_18_0.6_1,55.0,0.9482758620689655,18,1027,5
er_18_0.6_2,58.0,0.9206349206349206,38,2483,22
er_18_0.7_0,67.0,0.9710144927536232,41,2576,2
er_18_0.7_1,65.0,0.9701492537313433,19,798,2
er_18_0.7_2,65.0,0.9558823529411765,39,2336,18
er_20_0.3_0,37.0,0.9487179487179487,42,2265,31
er_20_0.3_1,38.0,0.8636363636363636,12,483,1
er_20_0.3_2,38.0,0.7916666666666666,10,233,10
er_20_0.5_0,61.0,0.9104477611940298,41,1926,6
er_20_0.5_1,55.0,0.8870967741935484,27,1394,13
er_20_0.5_2,60.0,0.9836065573770492,42,2201,42
er_20_0.6_0,76.0,0.95,45,2742,32
er_20_0.6_1,75.0,0.9868421052631579,37,1778,2
er_20_0.6_2,74.0,0.9736842105263158,40,2461,21
er_20_0.7_0,75.0,0.9259259259259259,53,3162,17
er_20_0.7_1,71.0,0.9102564102564102,34,2023,28
er_20_0.7_2,83.0,0.9880952380952381,55,2878,11
geo_14_0.1_0,12.0,0.9230769230769231,12,179,3
geo_14_0.1_1,12.0,0.8571428571428571,23,60,2
geo_14_0.1_2,13.0,1.0,4,227,1
geo_14_0.3_0,13.0,0.9285714285714286,18,729,1
geo_14_0.3_1,17.0,1.0,12,1107,3
geo_14_0.3_2,13.0,0.8666666666666667,9,882,2
geo_14_0.5_0,33.0,0.9428571428571428,11,1104,8
geo_14_0.5_1,28.0,1.0,13,1322,2
geo_14_0.5_2,22.0,0.9166666666666666,7,444,3
geo_14_0.6_0,39.0,0.9512195121951219,8,881,5
geo_14_0.6_1,41.0,0.9761904761904762,11,1108,3
geo_14_0.6_2,32.0,0.9411764705882353,8,667,2
geo_16_0.1_0,14.0,0.9333333333333333,28,2217,7
geo_16_0.1_1,13.0,0.8666666666666667,38,3747,21
geo_16_0.1_2,15.0,0.9375,7,444,6
geo_16_0.3_0,21.0,0.9130434782608695,43,4212,32
geo_16_0.3_1,23.0,0.9583333333333334,23,1796,12
geo_16_0.3_2,21.0,0.9130434782608695,15,888,3
geo_16_0.5_0,32.0,0.9696969696969697,28,2249,12
geo_16_0.5_1,41.0,1.0,22,1367,3
geo_16_0.5_2,30.0,0.967741935483871,32,2711,18
geo_16_0.6_0,44.0,0.9166666666666666,20,1765,11
geo_16_0.6_1,55.0,0.9821428571428571,25,1810,23
geo_16_0.6_2,43.0,0.9772727272727273,8,453,1
geo_18_0.1_0,17.0,1.0,74,5203,2
geo_18_0.1_1,19.0,1.0,28,1159,1
geo_18_0.1_2,18.0,1.0,54,3023,1
geo_18_0.3_0,23.0,0.9583333333333334,33,2264,14
geo_18_0.3_1,22.0,1.0,42,2951,1
geo_18_0.3_2,24.0,1.0,33,2084,5
geo_18_0.5_0,48.0,0.9056603773584906,11,496,1
geo_18_0.5_1,43.0,0.9772727272727273,32,2455,3
geo_18_0.5_2,43.0,0.9772727272727273,15,698,5
geo_18_0.6_0,58.0,1.0,20,795,2
geo_18_0.6_1,54.0,0.9473684210526315,52,3805,24
geo_18_0.6_2,42.0,0.9767441860465116,54,3601,3
geo_20_0.1_0,18.0,0.9473684210526315,129,8578,27
geo_20_0.1_1,19.0,1.0,97,6180,1
geo_20_0.1_2,22.0,0.9565217391304348,146,11023,8
geo_20_0.3_0,32.0,0.9411764705882353,57,3818,46
geo_20_0.3_1,25.0,1.0,178,11751,1
geo_20_0.3_2,28.0,0.9655172413793104,64,3323,14
geo_20_0.5_0,57.0,0.9193548387096774,18,589,1
