problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,19.0,0.9047619047619048,11,552,3
er_14_0.3_1,18.0,0.9473684210526315,13,662,10
er_14_0.3_2,23.0,1.0,9,380,3
er_14_0.5_0,30.0,0.9375,12,555,2
er_14_0.5_1,29.0,0.9666666666666667,9,338,3
er_14_0.5_2,29.0,1.0,11,458,2
er_14_0.6_0,43.0,1.0,9,338,1
er_14_0.6_1,40.0,1.0,15,880,13
er_14_0.6_2,35.0,0.9722222222222222,9,334,9
er_14_0.7_0,41.0,1.0,13,662,5
er_14_0.7_1,42.0,1.0,13,662,3
er_14_0.7_2,45.0,1.0,14,771,2
er_16_0.3_0,26.0,1.0,14,391,4
er_16_0.3_1,31.0,0.96875,21,578,2
er_16_0.3_2,30.0,0.967741935483871,14,421,3
er_16_0.5_0,40.0,1.0,23,682,17
er_16_0.5_1,42.0,1.0,25,896,5
er_16_0.5_2,36.0,0.972972972972973,18,563,3
er_16_0.6_0,46.0,1.0,32,1145,10
er_16_0.6_1,42.0,1.0,32,1345,2
er_16_0.6_2,48.0,1.0,41,1796,6
er_16_0.7_0,56.0,1.0,38,1663,12
er_16_0.7_1,52.0,0.9629629629629629,56,2973,3
er_16_0.7_2,57.0,1.0,17,580,2
er_18_0.3_0,40.0,0.975609756097561,32,933,3
er_18_0.3_1,36.0,0.9230769230769231,65,2276,4
er_18_0.3_2,31.0,0.9393939393939394,73,2408,2
er_18_0.5_0,52.0,0.9811320754716981,120,4179,37
er_18_0.5_1,51.0,1.0,51,1638,32
er_18_0.5_2,52.0,1.0,48,1549,28
er_18_0.6_0,56.0,0.9824561403508771,134,5705,13
er_18_0.6_1,57.0,0.9827586206896551,49,1310,5
er_18_0.6_2,63.0,1.0,50,1499,3
er_18_0.7_0,68.0,0.9855072463768116,184,9045,2
er_18_0.7_1,65.0,0.9701492537313433,132,5975,8
er_18_0.7_2,68.0,1.0,78,2357,8
er_20_0.3_0,37.0,0.9487179487179487,40,1157,4
er_20_0.3_1,44.0,1.0,100,2747,35
er_20_0.3_2,47.0,0.9791666666666666,59,1202,5
er_20_0.5_0,65.0,0.9701492537313433,259,9004,75
er_20_0.5_1,62.0,1.0,65,1348,3
er_20_0.5_2,61.0,1.0,202,6807,2
er_20_0.6_0,79.0,0.9875,304,10089,33
er_20_0.6_1,76.0,1.0,91,2680,3
er_20_0.6_2,76.0,1.0,122,3543,2
er_20_0.7_0,81.0,1.0,485,20340,6
er_20_0.7_1,77.0,0.9871794871794872,305,11630,3
er_20_0.7_2,84.0,1.0,265,9548,13
geo_14_0.1_0,13.0,1.0,9,428,2
geo_14_0.1_1,13.0,0.9285714285714286,7,226,2
geo_14_0.1_2,13.0,1.0,4,113,1
geo_14_0.3_0,13.0,0.9285714285714286,7,224,1
geo_14_0.3_1,16.0,0.9411764705882353,11,552,2
geo_14_0.3_2,15.0,1.0,11,552,5
geo_14_0.5_0,33.0,0.9428571428571428,14,771,5
geo_14_0.5_1,28.0,1.0,14,771,10
geo_14_0.5_2,24.0,1.0,13,662,10
geo_14_0.6_0,40.0,0.975609756097561,15,880,2
geo_14_0.6_1,40.0,0.9523809523809523,15,880,2
geo_14_0.6_2,34.0,1.0,10,445,2
geo_16_0.1_0,14.0,0.9333333333333333,6,115,2
geo_16_0.1_1,14.0,0.9333333333333333,18,481,2
geo_16_0.1_2,16.0,1.0,15,382,4
geo_16_0.3_0,23.0,1.0,27,830,8
geo_16_0.3_1,23.0,0.9583333333333334,23,704,7
geo_16_0.3_2,23.0,1.0,23,796,4
geo_16_0.5_0,33.0,1.0,27,1084,4
geo_16_0.5_1,40.0,0.975609756097561,35,1548,2
geo_16_0.5_2,30.0,0.967741935483871,33,1450,6
geo_16_0.6_0,48.0,1.0,54,2865,27
geo_16_0.6_1,55.0,0.9821428571428571,54,2757,3
geo_16_0.6_2,44.0,1.0,50,2541,11
geo_18_0.1_0,17.0,1.0,34,857,2
geo_18_0.1_1,19.0,1.0,8,167,1
geo_18_0.1_2,18.0,1.0,26,691,1
geo_18_0.3_0,24.0,1.0,67,2292,38
geo_18_0.3_1,22.0,1.0,33,796,1
geo_18_0.3_2,24.0,1.0,68,2357,67
geo_18_0.5_0,51.0,0.9622641509433962,135,6302,3
geo_18_0.5_1,43.0,0.9772727272727273,196,9279,2
geo_18_0.5_2,43.0,0.9772727272727273,115,5196,100
geo_18_0.6_0,58.0,1.0,117,4372,2
geo_18_0.6_1,56.0,0.9824561403508771,134,6297,5
geo_18_0.6_2,43.0,1.0,52,1741,2
geo_20_0.1_0,19.0,1.0,29,884,23
geo_20_0.1_1,19.0,1.0,10,155,1
geo_20_0.1_2,23.0,1.0,22,465,2
geo_20_0.3_0,33.0,0.9705882352941176,80,2711,2
geo_20_0.3_1,25.0,1.0,61,1766,1
geo_20_0.3_2,29.0,1.0,49,1366,4
geo_20_0.5_0,62.0,1.0,205,7600,85
geo_20_0.5_1,70.0,1.0,246,9689,3
geo_20_0.5_2,54.0,0.9818181818181818,654,28351,209
geo_20_0.6_0,63.0,0.984375,442,19095,6
geo_20_0.6_1,82.0,0.9879518072289156,573,23564,156
geo_20_0.6_2,81.0,0.9878048780487805,959,51720,2
