problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,19.0,0.9047619047619048,9,444,8
er_14_0.3_1,18.0,0.9473684210526315,7,332,5
er_14_0.3_2,20.0,0.8695652173913043,13,578,1
er_14_0.5_0,26.0,0.8125,8,441,2
er_14_0.5_1,28.0,0.9333333333333333,14,773,14
er_14_0.5_2,26.0,0.896551724137931,11,552,2
er_14_0.6_0,43.0,1.0,15,880,1
er_14_0.6_1,37.0,0.925,15,880,1
er_14_0.6_2,34.0,0.9444444444444444,12,661,4
er_14_0.7_0,38.0,0.926829268292683,15,880,1
er_14_0.7_1,39.0,0.9285714285714286,15,880,7
er_14_0.7_2,42.0,0.9333333333333333,14,771,8
er_16_0.3_0,25.0,0.9615384615384616,24,1027,2
er_16_0.3_1,28.0,0.875,38,737,26
er_16_0.3_2,27.0,0.8709677419354839,28,1113,8
er_16_0.5_0,36.0,0.9,49,2534,1
er_16_0.5_1,41.0,0.9761904761904762,42,2203,1
er_16_0.5_2,35.0,0.9459459459459459,13,558,4
er_16_0.6_0,43.0,0.9347826086956522,49,2532,48
er_16_0.6_1,39.0,0.9285714285714286,29,1434,2
er_16_0.6_2,46.0,0.9583333333333334,56,3081,48
er_16_0.7_0,53.0,0.9464285714285714,60,3301,2
er_16_0.7_1,52.0,0.9629629629629629,32,1761,25
er_16_0.7_2,55.0,0.9649122807017544,63,3520,5
er_18_0.3_0,38.0,0.926829268292683,95,4656,27
er_18_0.3_1,35.0,0.8974358974358975,200,10365,125
er_18_0.3_2,32.0,0.9696969696969697,71,3356,14
er_18_0.5_0,51.0,0.9622641509433962,102,5287,5
er_18_0.5_1,46.0,0.9019607843137255,108,5729,36
er_18_0.5_2,48.0,0.9230769230769231,50,2643,29
er_18_0.6_0,55.0,0.9649122807017544,128,6349,54
er_18_0.6_1,58.0,1.0,235,11952,199
er_18_0.6_2,61.0,0.9682539682539683,248,13641,78
er_18_0.7_0,68.0,0.9855072463768116,225,12242,119
er_18_0.7_1,64.0,0.9552238805970149,259,13334,20
er_18_0.7_2,67.0,0.9852941176470589,248,13643,128
er_20_0.3_0,37.0,0.9487179487179487,455,21246,347
er_20_0.3_1,41.0,0.9318181818181818,209,11010,81
er_20_0.3_2,42.0,0.875,309,16492,116
er_20_0.5_0,66.0,0.9850746268656716,403,21478,261
er_20_0.5_1,60.0,0.967741935483871,427,23110,228
er_20_0.5_2,61.0,1.0,733,39584,109
er_20_0.6_0,80.0,1.0,881,47242,471
er_20_0.6_1,73.0,0.9605263157894737,772,38437,541
er_20_0.6_2,74.0,0.9736842105263158,1036,55173,674
er_20_0.7_0,81.0,1.0,841,42212,585
er_20_0.7_1,76.0,0.9743589743589743,955,49528,5
er_20_0.7_2,82.0,0.9761904761904762,891,48838,23
geo_14_0.1_0,11.0,0.8461538461538461,13,666,5
geo_14_0.1_1,12.0,0.8571428571428571,8,137,6
geo_14_0.1_2,13.0,1.0,5,234,1
geo_14_0.3_0,14.0,1.0,10,469,2
geo_14_0.3_1,17.0,1.0,10,465,4
geo_14_0.3_2,15.0,1.0,14,771,10
geo_14_0.5_0,34.0,0.9714285714285714,15,880,2
geo_14_0.5_1,28.0,1.0,14,773,7
geo_14_0.5_2,23.0,0.9583333333333334,15,882,3
geo_14_0.6_0,40.0,0.975609756097561,14,771,14
geo_14_0.6_1,41.0,0.9761904761904762,14,771,4
geo_14_0.6_2,31.0,0.9117647058823529,18,763,4
geo_16_0.1_0,15.0,1.0,11,260,2
geo_16_0.1_1,15.0,1.0,15,488,2
geo_16_0.1_2,16.0,1.0,43,2102,41
geo_16_0.3_0,20.0,0.8695652173913043,31,1228,13
geo_16_0.3_1,23.0,0.9583333333333334,24,1107,5
geo_16_0.3_2,22.0,0.9565217391304348,40,1185,34
geo_16_0.5_0,31.0,0.9393939393939394,60,3193,33
geo_16_0.5_1,40.0,0.975609756097561,63,3520,63
geo_16_0.5_2,30.0,0.967741935483871,56,2865,34
geo_16_0.6_0,47.0,0.9791666666666666,56,3081,48
geo_16_0.6_1,54.0,0.9642857142857143,48,1291,1
geo_16_0.6_2,43.0,0.9772727272727273,60,3301,1
geo_18_0.1_0,16.0,0.9411764705882353,30,1019,3
geo_18_0.1_1,19.0,1.0,14,363,1
geo_18_0.1_2,18.0,1.0,23,604,1
geo_18_0.3_0,24.0,1.0,24,893,2
geo_18_0.3_1,22.0,1.0,23,890,1
geo_18_0.3_2,22.0,0.9166666666666666,48,1863,43
geo_18_0.5_0,51.0,0.9622641509433962,114,6105,56
geo_18_0.5_1,42.0,0.9545454545454546,197,8782,2
geo_18_0.5_2,43.0,0.9772727272727273,213,11448,103
geo_18_0.6_0,57.0,0.9827586206896551,252,11637,164
geo_18_0.6_1,56.0,0.9824561403508771,269,13180,142
geo_18_0.6_2,42.0,0.9767441860465116,162,7133,2
geo_20_0.1_0,17.0,0.8947368421052632,24,637,17
geo_20_0.1_1,19.0,1.0,57,1868,1
geo_20_0.1_2,21.0,0.9130434782608695,112,3485,12
geo_20_0.3_0,32.0,0.9411764705882353,710,37351,3
geo_20_0.3_1,25.0,1.0,56,2121,1
geo_20_0.3_2,27.0,0.9310344827586207,277,13998,4
geo_20_0.5_0,60.0,0.967741935483871,736,31475,703
geo_20_0.5_1,69.0,0.9857142857142858,850,39069,301
geo_20_0.5_2,53.0,0.9636363636363636,760,36309,155
geo_20_0.6_0,63.0,0.984375,655,32408,147
geo_20_0.6_1,80.0,0.963855421686747,1059,53080,1036
geo_20_0.6_2,81.0,0.9878048780487805,916,47375,154
