problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,19.0,0.9047619047619048,10,885,8
er_14_0.3_1,16.0,0.8421052631578947,12,1103,11
er_14_0.3_2,20.0,0.8695652173913043,13,1326,1
er_14_0.5_0,28.0,0.875,12,1105,5
er_14_0.5_1,27.0,0.9,6,447,1
er_14_0.5_2,25.0,0.8620689655172413,10,885,5
er_14_0.6_0,43.0,1.0,4,227,1
er_14_0.6_1,39.0,0.975,9,674,5
er_14_0.6_2,36.0,1.0,9,680,3
er_14_0.7_0,38.0,0.926829268292683,10,885,1
er_14_0.7_1,40.0,0.9523809523809523,7,446,2
er_14_0.7_2,42.0,0.9333333333333333,11,1104,7
er_16_0.3_0,24.0,0.9230769230769231,29,1802,7
er_16_0.3_1,30.0,0.9375,15,724,3
er_16_0.3_2,25.0,0.8064516129032258,28,1995,15
er_16_0.5_0,36.0,0.9,16,949,1
er_16_0.5_1,42.0,1.0,9,470,7
er_16_0.5_2,32.0,0.8648648648648649,6,225,1
er_16_0.6_0,41.0,0.8913043478260869,10,665,8
er_16_0.6_1,38.0,0.9047619047619048,22,1771,14
er_16_0.6_2,45.0,0.9375,24,1787,4
er_16_0.7_0,53.0,0.9464285714285714,32,2453,2
er_16_0.7_1,52.0,0.9629629629629629,23,1612,3
er_16_0.7_2,57.0,1.0,27,2138,13
er_18_0.3_0,35.0,0.8536585365853658,10,447,1
er_18_0.3_1,35.0,0.8974358974358975,33,1814,29
er_18_0.3_2,30.0,0.9090909090909091,56,3821,39
er_18_0.5_0,49.0,0.9245283018867925,24,903,23
er_18_0.5_1,48.0,0.9411764705882353,31,1392,26
er_18_0.5_2,48.0,0.9230769230769231,54,3535,8
er_18_0.6_0,52.0,0.9122807017543859,21,1124,5
er_18_0.6_1,54.0,0.9310344827586207,25,1168,16
er_18_0.6_2,59.0,0.9365079365079365,19,920,15
er_18_0.7_0,67.0,0.9710144927536232,22,1145,7
er_18_0.7_1,62.0,0.9253731343283582,25,1574,23
er_18_0.7_2,66.0,0.9705882352941176,57,3090,11
er_20_0.3_0,34.0,0.8717948717948718,19,476,7
er_20_0.3_1,42.0,0.9545454545454546,33,1606,8
er_20_0.3_2,45.0,0.9375,51,3214,23
er_20_0.5_0,61.0,0.9104477611940298,33,1650,28
er_20_0.5_1,56.0,0.9032258064516129,43,1524,17
er_20_0.5_2,59.0,0.9672131147540983,27,784,5
er_20_0.6_0,74.0,0.925,26,783,9
er_20_0.6_1,69.0,0.9078947368421053,35,1178,6
er_20_0.6_2,74.0,0.9736842105263158,10,393,5
er_20_0.7_0,79.0,0.9753086419753086,62,2385,14
er_20_0.7_1,75.0,0.9615384615384616,40,1409,15
er_20_0.7_2,77.0,0.9166666666666666,40,2149,15
geo_14_0.1_0,12.0,0.9230769230769231,10,885,3
geo_14_0.1_1,11.0,0.7857142857142857,23,28,1
geo_14_0.1_2,13.0,1.0,5,444,1
geo_14_0.3_0,14.0,1.0,14,1541,5
geo_14_0.3_1,14.0,0.8235294117647058,26,15,1
geo_14_0.3_2,13.0,0.8666666666666667,11,1102,7
geo_14_0.5_0,33.0,0.9428571428571428,13,1324,2
geo_14_0.5_1,27.0,0.9642857142857143,9,884,9
geo_14_0.5_2,22.0,0.9166666666666666,9,882,5
geo_14_0.6_0,41.0,1.0,9,668,3
geo_14_0.6_1,39.0,0.9285714285714286,11,1102,4
geo_14_0.6_2,32.0,0.9411764705882353,13,1322,3
geo_16_0.1_0,15.0,1.0,19,1168,2
geo_16_0.1_1,12.0,0.8,25,1632,1
geo_16_0.1_2,13.0,0.8125,30,183,1
geo_16_0.3_0,21.0,0.9130434782608695,35,2870,25
geo_16_0.3_1,22.0,0.9166666666666666,35,2872,19
geo_16_0.3_2,21.0,0.9130434782608695,32,2435,3
geo_16_0.5_0,30.0,0.9090909090909091,13,670,4
geo_16_0.5_1,39.0,0.9512195121951219,10,453,4
geo_16_0.5_2,28.0,0.9032258064516129,30,2217,12
geo_16_0.6_0,48.0,1.0,32,2657,31
geo_16_0.6_1,56.0,1.0,25,1856,8
geo_16_0.6_2,44.0,1.0,14,687,5
geo_18_0.1_0,15.0,0.8823529411764706,48,3539,5
geo_18_0.1_1,19.0,1.0,48,2379,1
geo_18_0.1_2,18.0,1.0,49,2872,1
geo_18_0.3_0,23.0,0.9583333333333334,64,3819,24
geo_18_0.3_1,22.0,1.0,37,1842,1
geo_18_0.3_2,22.0,0.9166666666666666,44,2669,24
geo_18_0.5_0,53.0,1.0,53,3786,51
geo_18_0.5_1,42.0,0.9545454545454546,8,235,3
geo_18_0.5_2,42.0,0.9545454545454546,8,235,1
geo_18_0.6_0,54.0,0.9310344827586207,44,2477,8
geo_18_0.6_1,54.0,0.9473684210526315,57,3386,4
geo_18_0.6_2,43.0,1.0,36,1629,19
geo_20_0.1_0,18.0,0.9473684210526315,10,283,2
geo_20_0.1_1,19.0,1.0,10,303,1
geo_20_0.1_2,20.0,0.8695652173913043,118,7349,101
geo_20_0.3_0,33.0,0.9705882352941176,21,782,3
geo_20_0.3_1,25.0,1.0,34,1431,1
geo_20_0.3_2,26.0,0.896551724137931,56,2499,12
geo_20_0.5_0,59.0,0.9516129032258065,10,273,3
geo_20_0.5_1,64.0,0.9142857142857143,52,3133,23
geo_20_0.5_2,51.0,0.9272727272727272,27,1566,2
geo_20_0.6_0,61.0,0.953125,62,2993,61
geo_20_0.6_1,83.0,1.0,16,891,3
geo_20_0.6_2,81.0,0.9878048780487805,46,2171,3
