problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,31,0,31
er_14_0.3_1,19.0,1.0,31,0,16
er_14_0.3_2,23.0,1.0,31,0,23
er_14_0.5_0,32.0,1.0,31,0,28
er_14_0.5_1,30.0,1.0,31,0,16
er_14_0.5_2,29.0,1.0,31,0,23
er_14_0.6_0,43.0,1.0,31,0,1
er_14_0.6_1,40.0,1.0,31,0,21
er_14_0.6_2,36.0,1.0,31,0,2
er_14_0.7_0,41.0,1.0,31,0,13
er_14_0.7_1,42.0,1.0,31,0,20
er_14_0.7_2,45.0,1.0,31,0,31
er_16_0.3_0,26.0,1.0,97,2,39
er_16_0.3_1,32.0,1.0,109,2,63
er_16_0.3_2,31.0,1.0,87,22,72
er_16_0.5_0,40.0,1.0,127,0,61
er_16_0.5_1,42.0,1.0,127,0,9
er_16_0.5_2,37.0,1.0,127,0,78
er_16_0.6_0,46.0,1.0,127,0,26
er_16_0.6_1,42.0,1.0,127,0,78
er_16_0.6_2,48.0,1.0,127,0,33
er_16_0.7_0,56.0,1.0,127,0,101
er_16_0.7_1,54.0,1.0,127,0,64
er_16_0.7_2,57.0,1.0,124,3,93
er_18_0.3_0,41.0,1.0,499,4,353
er_18_0.3_1,39.0,1.0,483,4,267
er_18_0.3_2,33.0,1.0,471,12,20
er_18_0.5_0,53.0,1.0,511,0,433
er_18_0.5_1,51.0,1.0,511,0,234
er_18_0.5_2,52.0,1.0,511,0,432
er_18_0.6_0,57.0,1.0,511,0,253
er_18_0.6_1,58.0,1.0,511,0,381
er_18_0.6_2,63.0,1.0,511,0,455
er_18_0.7_0,69.0,1.0,511,0,508
er_18_0.7_1,67.0,1.0,511,0,511
er_18_0.7_2,68.0,1.0,511,0,444
er_20_0.3_0,39.0,1.0,2047,0,1371
er_20_0.3_1,44.0,1.0,1846,41,498
er_20_0.3_2,48.0,1.0,1879,40,1343
er_20_0.5_0,67.0,1.0,2047,0,2043
er_20_0.5_1,62.0,1.0,2019,4,307
er_20_0.5_2,61.0,1.0,2047,0,64
er_20_0.6_0,80.0,1.0,2047,0,1280
er_20_0.6_1,76.0,1.0,2047,0,1993
er_20_0.6_2,76.0,1.0,2047,4,133
er_20_0.7_0,81.0,1.0,2047,0,432
er_20_0.7_1,78.0,1.0,2047,0,2047
er_20_0.7_2,84.0,1.0,2047,0,1235
geo_14_0.1_0,13.0,1.0,31,0,28
geo_14_0.1_1,14.0,1.0,28,1,23
geo_14_0.1_2,13.0,1.0,10,3,1
geo_14_0.3_0,14.0,1.0,28,1,18
geo_14_0.3_1,17.0,1.0,28,1,21
geo_14_0.3_2,15.0,1.0,31,0,20
geo_14_0.5_0,35.0,1.0,31,0,24
geo_14_0.5_1,28.0,1.0,31,0,5
geo_14_0.5_2,24.0,1.0,31,0,5
geo_14_0.6_0,41.0,1.0,31,0,2
geo_14_0.6_1,42.0,1.0,31,0,8
geo_14_0.6_2,34.0,1.0,31,0,21
geo_16_0.1_0,15.0,1.0,85,22,55
geo_16_0.1_1,15.0,1.0,97,6,38
geo_16_0.1_2,16.0,1.0,127,0,7
geo_16_0.3_0,23.0,1.0,87,4,23
geo_16_0.3_1,24.0,1.0,112,1,73
geo_16_0.3_2,23.0,1.0,127,0,70
geo_16_0.5_0,33.0,1.0,127,0,7
geo_16_0.5_1,41.0,1.0,127,0,73
geo_16_0.5_2,31.0,1.0,127,0,120
geo_16_0.6_0,48.0,1.0,127,0,18
geo_16_0.6_1,56.0,1.0,127,0,8
geo_16_0.6_2,44.0,1.0,127,0,8
geo_18_0.1_0,17.0,1.0,376,23,138
geo_18_0.1_1,19.0,1.0,511,0,1
geo_18_0.1_2,18.0,1.0,73,26,1
geo_18_0.3_0,24.0,1.0,511,0,177
geo_18_0.3_1,22.0,1.0,421,52,1
geo_18_0.3_2,24.0,1.0,505,2,137
geo_18_0.5_0,53.0,1.0,508,7,230
geo_18_0.5_1,44.0,1.0,511,0,268
geo_18_0.5_2,44.0,1.0,511,0,110
geo_18_0.6_0,58.0,1.0,511,0,200
geo_18_0.6_1,57.0,1.0,511,0,73
geo_18_0.6_2,43.0,1.0,511,0,66
geo_20_0.1_0,19.0,1.0,521,140,452
geo_20_0.1_1,19.0,1.0,39,24,1
geo_20_0.1_2,23.0,1.0,1813,28,1381
geo_20_0.3_0,34.0,1.0,2019,8,21
geo_20_0.3_1,25.0,1.0,2047,0,1
geo_20_0.3_2,29.0,1.0,1200,23,841
geo_20_0.5_0,62.0,1.0,2038,3,90
geo_20_0.5_1,70.0,1.0,2047,0,1122
geo_20_0.5_2,55.0,1.0,2047,0,360
geo_20_0.6_0,64.0,1.0,2047,0,1270
geo_20_0.6_1,83.0,1.0,2047,0,1009
geo_20_0.6_2,82.0,1.0,2047,0,523
