problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,20.0,0.9523809523809523,7,444,2
er_14_0.3_1,19.0,1.0,9,696,4
er_14_0.3_2,22.0,0.9565217391304348,12,1111,3
er_14_0.5_0,31.0,0.96875,13,1324,3
er_14_0.5_1,28.0,0.9333333333333333,14,1541,12
er_14_0.5_2,28.0,0.9655172413793104,12,1103,2
er_14_0.6_0,43.0,1.0,12,1103,1
er_14_0.6_1,40.0,1.0,12,1107,5
er_14_0.6_2,35.0,0.9722222222222222,13,1322,3
er_14_0.7_0,41.0,1.0,13,1322,7
er_14_0.7_1,40.0,0.9523809523809523,15,1760,5
er_14_0.7_2,44.0,0.9777777777777777,15,1760,2
er_16_0.3_0,26.0,1.0,38,2717,4
er_16_0.3_1,32.0,1.0,35,2672,23
er_16_0.3_2,31.0,1.0,11,468,3
er_16_0.5_0,40.0,1.0,33,2504,33
er_16_0.5_1,41.0,0.9761904761904762,54,5069,1
er_16_0.5_2,36.0,0.972972972972973,29,1800,9
er_16_0.6_0,45.0,0.9782608695652174,37,2904,17
er_16_0.6_1,42.0,1.0,46,4007,9
er_16_0.6_2,48.0,1.0,20,1351,2
er_16_0.7_0,56.0,1.0,36,2875,3
er_16_0.7_1,54.0,1.0,29,2210,5
er_16_0.7_2,57.0,1.0,18,1335,15
er_18_0.3_0,39.0,0.9512195121951219,50,2497,7
er_18_0.3_1,38.0,0.9743589743589743,49,2584,11
er_18_0.3_2,32.0,0.9696969696969697,50,2535,9
er_18_0.5_0,51.0,0.9622641509433962,132,11703,114
er_18_0.5_1,50.0,0.9803921568627451,45,2908,2
er_18_0.5_2,51.0,0.9807692307692307,51,2536,2
er_18_0.6_0,56.0,0.9824561403508771,90,7341,2
er_18_0.6_1,57.0,0.9827586206896551,49,2656,9
er_18_0.6_2,63.0,1.0,50,2723,3
er_18_0.7_0,68.0,0.9855072463768116,173,15884,2
er_18_0.7_1,65.0,0.9701492537313433,142,12361,2
er_18_0.7_2,67.0,0.9852941176470589,97,6904,15
er_20_0.3_0,39.0,1.0,98,4347,78
er_20_0.3_1,44.0,1.0,91,4474,3
er_20_0.3_2,47.0,0.9791666666666666,42,1517,2
er_20_0.5_0,66.0,0.9850746268656716,204,14641,128
er_20_0.5_1,60.0,0.967741935483871,163,9770,2
er_20_0.5_2,61.0,1.0,227,14278,29
er_20_0.6_0,80.0,1.0,280,19005,203
er_20_0.6_1,75.0,0.9868421052631579,226,17495,133
er_20_0.6_2,76.0,1.0,202,12967,9
er_20_0.7_0,81.0,1.0,354,29253,3
er_20_0.7_1,77.0,0.9871794871794872,280,20345,2
er_20_0.7_2,83.0,0.9880952380952381,343,26876,4
geo_14_0.1_0,12.0,0.9230769230769231,11,1104,2
geo_14_0.1_1,14.0,1.0,11,892,11
geo_14_0.1_2,13.0,1.0,10,883,1
geo_14_0.3_0,14.0,1.0,10,939,3
geo_14_0.3_1,17.0,1.0,13,1336,2
geo_14_0.3_2,15.0,1.0,12,1107,3
geo_14_0.5_0,34.0,0.9714285714285714,14,1541,5
geo_14_0.5_1,28.0,1.0,15,1760,12
geo_14_0.5_2,24.0,1.0,11,884,5
geo_14_0.6_0,41.0,1.0,15,1760,10
geo_14_0.6_1,41.0,0.9761904761904762,15,1760,7
geo_14_0.6_2,34.0,1.0,11,1122,5
geo_16_0.1_0,15.0,1.0,16,1021,6
geo_16_0.1_1,15.0,1.0,22,1505,6
geo_16_0.1_2,16.0,1.0,15,1200,15
geo_16_0.3_0,22.0,0.9565217391304348,40,3535,38
geo_16_0.3_1,23.0,0.9583333333333334,26,1781,2
geo_16_0.3_2,23.0,1.0,25,1560,11
geo_16_0.5_0,32.0,0.9696969696969697,48,4639,23
geo_16_0.5_1,40.0,0.975609756097561,39,3092,2
geo_16_0.5_2,30.0,0.967741935483871,35,2674,29
geo_16_0.6_0,47.0,0.9791666666666666,55,5724,2
geo_16_0.6_1,56.0,1.0,47,4626,2
geo_16_0.6_2,44.0,1.0,51,4858,6
geo_18_0.1_0,17.0,1.0,31,1640,6
geo_18_0.1_1,19.0,1.0,38,2299,1
geo_18_0.1_2,18.0,1.0,8,257,1
geo_18_0.3_0,24.0,1.0,59,3622,7
geo_18_0.3_1,22.0,1.0,47,2770,1
geo_18_0.3_2,24.0,1.0,57,3954,31
geo_18_0.5_0,52.0,0.9811320754716981,140,11967,20
geo_18_0.5_1,43.0,0.9772727272727273,120,10591,6
geo_18_0.5_2,44.0,1.0,77,4694,10
geo_18_0.6_0,58.0,1.0,149,12980,44
geo_18_0.6_1,57.0,1.0,118,10381,5
geo_18_0.6_2,42.0,0.9767441860465116,83,7066,2
geo_20_0.1_0,19.0,1.0,41,1514,40
geo_20_0.1_1,19.0,1.0,19,772,1
geo_20_0.1_2,23.0,1.0,122,8617,61
geo_20_0.3_0,33.0,0.9705882352941176,70,3525,2
geo_20_0.3_1,25.0,1.0,90,4827,1
geo_20_0.3_2,28.0,0.9655172413793104,82,4483,2
geo_20_0.5_0,62.0,1.0,206,12489,3
geo_20_0.5_1,70.0,1.0,492,42301,2
geo_20_0.5_2,55.0,1.0,308,22915,25
geo_20_0.6_0,63.0,0.984375,529,47700,112
geo_20_0.6_1,83.0,1.0,265,17948,32
geo_20_0.6_2,82.0,1.0,752,74497,38
