problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,20.0,0.9523809523809523,11,1104,8
er_14_0.3_1,16.0,0.8421052631578947,8,231,7
er_14_0.3_2,20.0,0.8695652173913043,5,446,1
er_14_0.5_0,27.0,0.84375,13,1326,11
er_14_0.5_1,27.0,0.9,5,446,1
er_14_0.5_2,27.0,0.9310344827586207,12,1105,6
er_14_0.6_0,43.0,1.0,9,882,1
er_14_0.6_1,37.0,0.925,12,1321,1
er_14_0.6_2,33.0,0.9166666666666666,15,1760,14
er_14_0.7_0,39.0,0.9512195121951219,15,1760,5
er_14_0.7_1,42.0,1.0,13,1322,10
er_14_0.7_2,45.0,1.0,12,1321,11
er_16_0.3_0,22.0,0.8461538461538461,30,2869,29
er_16_0.3_1,31.0,0.96875,53,4720,45
er_16_0.3_2,25.0,0.8064516129032258,29,2874,15
er_16_0.5_0,40.0,1.0,9,666,3
er_16_0.5_1,41.0,0.9761904761904762,30,2653,1
er_16_0.5_2,32.0,0.8648648648648649,29,2864,1
er_16_0.6_0,41.0,0.8913043478260869,58,6163,11
er_16_0.6_1,38.0,0.9047619047619048,10,885,9
er_16_0.6_2,46.0,0.9583333333333334,24,2423,8
er_16_0.7_0,52.0,0.9285714285714286,57,6162,9
er_16_0.7_1,53.0,0.9814814814814815,61,6582,49
er_16_0.7_2,53.0,0.9298245614035088,57,6162,19
er_18_0.3_0,39.0,0.9512195121951219,97,9266,70
er_18_0.3_1,37.0,0.9487179487179487,146,14541,119
er_18_0.3_2,28.0,0.8484848484848485,34,3091,5
er_18_0.5_0,50.0,0.9433962264150944,145,15194,38
er_18_0.5_1,50.0,0.9803921568627451,84,8163,64
er_18_0.5_2,52.0,1.0,125,13642,115
er_18_0.6_0,55.0,0.9649122807017544,175,18924,63
er_18_0.6_1,55.0,0.9482758620689655,151,15630,24
er_18_0.6_2,61.0,0.9682539682539683,151,16082,111
er_18_0.7_0,66.0,0.9565217391304348,236,25525,75
er_18_0.7_1,65.0,0.9701492537313433,216,23545,5
er_18_0.7_2,64.0,0.9411764705882353,243,26190,16
er_20_0.3_0,37.0,0.9487179487179487,68,6399,48
er_20_0.3_1,40.0,0.9090909090909091,135,12576,25
er_20_0.3_2,46.0,0.9583333333333334,226,22251,169
er_20_0.5_0,64.0,0.9552238805970149,386,41809,259
er_20_0.5_1,62.0,1.0,268,27547,184
er_20_0.5_2,57.0,0.9344262295081968,147,15626,7
er_20_0.6_0,78.0,0.975,846,92193,100
er_20_0.6_1,75.0,0.9868421052631579,912,99105,181
er_20_0.6_2,74.0,0.9736842105263158,820,88461,177
er_20_0.7_0,80.0,0.9876543209876543,947,103844,548
er_20_0.7_1,74.0,0.9487179487179487,980,103345,600
er_20_0.7_2,84.0,1.0,819,87050,689
geo_14_0.1_0,13.0,1.0,7,692,2
geo_14_0.1_1,11.0,0.7857142857142857,7,230,1
geo_14_0.1_2,13.0,1.0,4,289,1
geo_14_0.3_0,13.0,0.9285714285714286,4,237,1
geo_14_0.3_1,16.0,0.9411764705882353,7,454,2
