problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,1.0,31,0,30
er_14_0.3_1,19.0,1.0,31,0,9
er_14_0.3_2,23.0,1.0,28,1,5
er_14_0.5_0,32.0,1.0,28,1,6
er_14_0.5_1,30.0,1.0,31,0,8
er_14_0.5_2,29.0,1.0,31,0,28
er_14_0.6_0,43.0,1.0,31,0,1
er_14_0.6_1,40.0,1.0,31,0,5
er_14_0.6_2,36.0,1.0,31,0,8
er_14_0.7_0,41.0,1.0,31,0,6
er_14_0.7_1,42.0,1.0,31,0,18
er_14_0.7_2,45.0,1.0,31,0,19
er_16_0.3_0,26.0,1.0,91,8,27
er_16_0.3_1,32.0,1.0,124,1,92
er_16_0.3_2,31.0,1.0,79,4,63
er_16_0.5_0,40.0,1.0,87,12,42
er_16_0.5_1,42.0,1.0,127,0,54
er_16_0.5_2,37.0,1.0,117,2,29
er_16_0.6_0,46.0,1.0,124,1,81
er_16_0.6_1,42.0,1.0,124,1,7
er_16_0.6_2,48.0,1.0,127,0,70
er_16_0.7_0,56.0,1.0,127,0,57
er_16_0.7_1,54.0,1.0,127,0,54
er_16_0.7_2,57.0,1.0,127,0,119
er_18_0.3_0,41.0,1.0,407,74,31
er_18_0.3_1,39.0,1.0,505,2,467
er_18_0.3_2,33.0,1.0,302,47,64
er_18_0.5_0,53.0,1.0,511,0,417
er_18_0.5_1,51.0,1.0,458,15,149
er_18_0.5_2,52.0,1.0,483,16,224
er_18_0.6_0,57.0,1.0,501,2,217
er_18_0.6_1,58.0,1.0,502,3,458
er_18_0.6_2,63.0,1.0,511,0,377
er_18_0.7_0,69.0,1.0,511,0,91
er_18_0.7_1,67.0,1.0,508,1,87
er_18_0.7_2,68.0,1.0,511,0,12
er_20_0.3_0,39.0,1.0,1734,155,904
er_20_0.3_1,44.0,1.0,1351,126,281
er_20_0.3_2,48.0,1.0,1223,180,891
er_20_0.5_0,67.0,1.0,1798,83,53
er_20_0.5_1,62.0,1.0,1905,78,558
er_20_0.5_2,61.0,1.0,2023,4,14
er_20_0.6_0,80.0,1.0,2041,2,205
er_20_0.6_1,76.0,1.0,2017,10,485
er_20_0.6_2,76.0,1.0,2041,6,115
er_20_0.7_0,81.0,1.0,2047,0,1037
er_20_0.7_1,78.0,1.0,2044,1,747
er_20_0.7_2,84.0,1.0,1917,2,352
geo_14_0.1_0,13.0,1.0,21,2,17
geo_14_0.1_1,14.0,1.0,24,1,8
geo_14_0.1_2,13.0,1.0,6,3,1
geo_14_0.3_0,14.0,1.0,28,13,23
geo_14_0.3_1,17.0,1.0,31,0,24
geo_14_0.3_2,15.0,1.0,31,0,10
geo_14_0.5_0,35.0,1.0,31,0,20
geo_14_0.5_1,28.0,1.0,31,0,5
geo_14_0.5_2,24.0,1.0,31,0,5
geo_14_0.6_0,41.0,1.0,31,0,2
geo_14_0.6_1,42.0,1.0,31,0,15
geo_14_0.6_2,34.0,1.0,31,0,23
geo_16_0.1_0,15.0,1.0,38,393,18
geo_16_0.1_1,15.0,1.0,105,102,101
geo_16_0.1_2,16.0,1.0,71,636,8
geo_16_0.3_0,23.0,1.0,99,4,17
geo_16_0.3_1,24.0,1.0,121,2,114
geo_16_0.3_2,23.0,1.0,127,0,71
geo_16_0.5_0,33.0,1.0,127,0,7
geo_16_0.5_1,41.0,1.0,120,1,30
geo_16_0.5_2,31.0,1.0,127,0,78
geo_16_0.6_0,48.0,1.0,127,0,78
geo_16_0.6_1,56.0,1.0,127,0,33
geo_16_0.6_2,44.0,1.0,127,0,39
geo_18_0.1_0,17.0,1.0,254,43,28
geo_18_0.1_1,19.0,1.0,240,125,1
geo_18_0.1_2,18.0,1.0,61,166,1
geo_18_0.3_0,24.0,1.0,483,48,16
geo_18_0.3_1,22.0,1.0,336,93,1
geo_18_0.3_2,24.0,1.0,418,13,106
geo_18_0.5_0,53.0,1.0,511,0,492
geo_18_0.5_1,44.0,1.0,511,0,17
geo_18_0.5_2,44.0,1.0,511,0,137
geo_18_0.6_0,58.0,1.0,511,0,24
geo_18_0.6_1,57.0,1.0,511,0,119
geo_18_0.6_2,43.0,1.0,511,0,86
geo_20_0.1_0,19.0,1.0,145,658,41
geo_20_0.1_1,19.0,1.0,120,241,1
geo_20_0.1_2,23.0,1.0,1058,585,45
geo_20_0.3_0,34.0,1.0,1916,81,266
geo_20_0.3_1,25.0,1.0,1956,49,1
geo_20_0.3_2,29.0,1.0,1727,52,1711
geo_20_0.5_0,62.0,1.0,1922,7,1255
geo_20_0.5_1,70.0,1.0,2044,1,424
geo_20_0.5_2,55.0,1.0,2044,1,1318
geo_20_0.6_0,64.0,1.0,2038,3,681
geo_20_0.6_1,83.0,1.0,1974,3,1410
geo_20_0.6_2,82.0,1.0,2047,0,22
