problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,21.0,,,-1,inf
er_14_0.3_1,19.0,,,-1,inf
er_14_0.3_2,23.0,,,-1,inf
er_14_0.5_0,32.0,,,-1,inf
er_14_0.5_1,30.0,,,-1,inf
er_14_0.5_2,29.0,,,-1,inf
er_14_0.6_0,43.0,,,-1,inf
er_14_0.6_1,40.0,,,-1,inf
er_14_0.6_2,36.0,,,-1,inf
er_14_0.7_0,41.0,,,-1,inf
er_14_0.7_1,42.0,,,-1,inf
er_14_0.7_2,45.0,,,-1,inf
er_16_0.3_0,26.0,,,-1,inf
er_16_0.3_1,32.0,,,-1,inf
er_16_0.3_2,31.0,,,-1,inf
er_16_0.5_0,40.0,,,-1,inf
er_16_0.5_1,42.0,,,-1,inf
er_16_0.5_2,37.0,,,-1,inf
er_16_0.6_0,46.0,,,-1,inf
er_16_0.6_1,42.0,,,-1,inf
er_16_0.6_2,48.0,,,-1,inf
er_16_0.7_0,56.0,,,-1,inf
er_16_0.7_1,54.0,,,-1,inf
er_16_0.7_2,57.0,,,-1,inf
er_18_0.3_0,41.0,,,-1,inf
er_18_0.3_1,39.0,,,-1,inf
er_18_0.3_2,33.0,,,-1,inf
er_18_0.5_0,53.0,,,-1,inf
er_18_0.5_1,51.0,,,-1,inf
er_18_0.5_2,52.0,,,-1,inf
er_18_0.6_0,57.0,,,-1,inf
er_18_0.6_1,58.0,,,-1,inf
er_18_0.6_2,63.0,,,-1,inf
er_18_0.7_0,69.0,,,-1,inf
er_18_0.7_1,67.0,,,-1,inf
er_18_0.7_2,68.0,,,-1,inf
er_20_0.3_0,39.0,,,-1,inf
er_20_0.3_1,44.0,,,-1,inf
er_20_0.3_2,48.0,,,-1,inf
er_20_0.5_0,67.0,,,-1,inf
er_20_0.5_1,62.0,,,-1,inf
er_20_0.5_2,61.0,,,-1,inf
er_20_0.6_0,80.0,,,-1,inf
er_20_0.6_1,76.0,,,-1,inf
er_20_0.6_2,76.0,,,-1,inf
er_20_0.7_0,81.0,,,-1,inf
er_20_0.7_1,78.0,,,-1,inf
er_20_0.7_2,84.0,,,-1,inf
geo_14_0.1_0,13.0,,,-1,inf
geo_14_0.1_1,14.0,,,-1,inf
geo_14_0.1_2,13.0,,,-1,inf
geo_14_0.3_0,14.0,,,-1,inf
geo_14_0.3_1,17.0,,,-1,inf
geo_14_0.3_2,15.0,,,-1,inf
geo_14_0.5_0,35.0,,,-1,inf
geo_14_0.5_1,28.0,,,-1,inf
geo_14_0.5_2,24.0,,,-1,inf
geo_14_0.6_0,41.0,,,-1,inf
geo_14_0.6_1,42.0,,,-1,inf
geo_14_0.6_2,34.0,,,-1,inf
geo_16_0.1_0,15.0,,,-1,inf
geo_16_0.1_1,15.0,,,-1,inf
geo_16_0.1_2,16.0,,,-1,inf
geo_16_0.3_0,23.0,,,-1,inf
geo_16_0.3_1,24.0,,,-1,inf
geo_16_0.3_2,23.0,,,-1,inf
geo_16_0.5_0,33.0,,,-1,inf
geo_16_0.5_1,41.0,,,-1,inf
geo_16_0.5_2,31.0,,,-1,inf
geo_16_0.6_0,48.0,,,-1,inf
geo_16_0.6_1,56.0,,,-1,inf
geo_16_0.6_2,44.0,,,-1,inf
geo_18_0.1_0,17.0,,,-1,inf
geo_18_0.1_1,19.0,,,-1,inf
geo_18_0.1_2,18.0,,,-1,inf
geo_18_0.3_0,24.0,,,-1,inf
geo_18_0.3_1,22.0,,,-1,inf
geo_18_0.3_2,24.0,,,-1,inf
geo_18_0.5_0,53.0,,,-1,inf
geo_18_0.5_1,44.0,,,-1,inf
geo_18_0.5_2,44.0,,,-1,inf
geo_18_0.6_0,58.0,,,-1,inf
geo_18_0.6_1,57.0,,,-1,inf
geo_18_0.6_2,43.0,,,-1,inf
geo_20_0.1_0,19.0,,,-1,inf
geo_20_0.1_1,19.0,,,-1,inf
geo_20_0.1_2,23.0,,,-1,inf
geo_20_0.3_0,34.0,,,-1,inf
geo_20_0.3_1,25.0,,,-1,inf
geo_20_0.3_2,29.0,,,-1,inf
geo_20_0.5_0,62.0,,,-1,inf
geo_20_0.5_1,70.0,,,-1,inf
geo_20_0.5_2,55.0,,,-1,inf
geo_20_0.6_0,64.0,,,-1,inf
geo_20_0.6_1,83.0,,,-1,inf
geo_20_0.6_2,82.0,,,-1,inf
