problem_name,cost,approx_ratio
g05_60.0,514.0,0.9589552238805971
g05_60.1,500.0,0.9398496240601504
g05_60.2,513.0,0.9697542533081286
g05_60.3,514.0,0.9553903345724907
g05_60.4,501.0,0.9506641366223909
g05_60.5,503.0,0.9437148217636022
g05_60.6,513.0,0.9661016949152542
g05_60.7,507.0,0.9476635514018692
g05_60.8,512.0,0.9660377358490566
g05_60.9,507.0,0.9512195121951219
g05_80.0,882.0,0.9494079655543596
g05_80.1,874.0,0.9287991498405951
g05_80.2,889.0,0.9518201284796574
g05_80.3,875.0,0.9479956663055255
g05_80.4,888.0,0.9527896995708155
g05_80.5,876.0,0.9460043196544277
g05_80.6,882.0,0.9494079655543596
g05_80.7,886.0,0.9537136706135629
g05_80.8,886.0,0.9578378378378378
g05_80.9,879.0,0.952329360780065
g05_100.0,1317.0,0.920979020979021
g05_100.1,1368.0,0.96
g05_100.2,1345.0,0.9392458100558659
g05_100.3,1346.0,0.9452247191011236
g05_100.4,1358.0,0.9430555555555555
g05_100.5,1342.0,0.9345403899721448
g05_100.6,1368.0,0.9539748953974896
g05_100.7,1357.0,0.9482879105520615
g05_100.8,1346.0,0.9399441340782123
g05_100.9,1360.0,0.951048951048951
