problem_name,cost,approx_ratio,n_steps
g05_60.0,481.0,0.8973880597014925,10
g05_60.1,470.0,0.8834586466165414,5
g05_60.2,471.0,0.8903591682419659,8
g05_60.3,474.0,0.8810408921933085,2
g05_60.4,485.0,0.920303605313093,1
g05_60.5,483.0,0.9061913696060038,3
g05_60.6,483.0,0.9096045197740112,1
g05_60.7,527.0,0.9850467289719627,8
g05_60.8,481.0,0.9075471698113208,1
g05_60.9,475.0,0.8911819887429644,1
g05_80.0,854.0,0.9192680301399354,12
g05_80.1,860.0,0.9139213602550478,1
g05_80.2,853.0,0.9132762312633833,3
g05_80.3,850.0,0.9209100758396533,6
g05_80.4,849.0,0.9109442060085837,5
g05_80.5,844.0,0.9114470842332614,3
g05_80.6,910.0,0.9795479009687836,9
g05_80.7,891.0,0.9590958019375673,15
g05_80.8,830.0,0.8972972972972973,4
g05_80.9,847.0,0.9176598049837487,4
g05_100.0,1303.0,0.9111888111888112,1
g05_100.1,1328.0,0.9319298245614035,4
g05_100.2,1320.0,0.9217877094972067,4
g05_100.3,1296.0,0.9101123595505618,1
g05_100.4,1296.0,0.9,3
g05_100.5,1381.0,0.9616991643454039,13
g05_100.6,1309.0,0.9128312412831241,4
g05_100.7,1297.0,0.9063591893780573,1
g05_100.8,1319.0,0.9210893854748603,12
g05_100.9,1307.0,0.913986013986014,2
