problem_name,cost,approx_ratio,n_steps
g05_60.0,486.0,0.9067164179104478,10
g05_60.1,483.0,0.9078947368421053,11
g05_60.2,517.0,0.9773156899810964,3
g05_60.3,522.0,0.9702602230483272,12
g05_60.4,485.0,0.920303605313093,1
g05_60.5,474.0,0.8893058161350844,1
g05_60.6,519.0,0.9774011299435028,5
g05_60.7,492.0,0.9196261682242991,1
g05_60.8,481.0,0.9075471698113208,1
g05_60.9,481.0,0.9024390243902439,10
g05_80.0,851.0,0.9160387513455328,3
g05_80.1,860.0,0.9139213602550478,1
g05_80.2,852.0,0.9122055674518201,5
g05_80.3,887.0,0.9609967497291441,11
g05_80.4,842.0,0.9034334763948498,5
g05_80.5,869.0,0.9384449244060475,20
g05_80.6,841.0,0.9052744886975242,1
g05_80.7,854.0,0.9192680301399354,21
g05_80.8,858.0,0.9275675675675675,2
g05_80.9,836.0,0.905742145178765,15
g05_100.0,1314.0,0.9188811188811189,8
g05_100.1,1295.0,0.9087719298245615,8
g05_100.2,1306.0,0.9120111731843575,4
g05_100.3,1324.0,0.9297752808988764,5
g05_100.4,1321.0,0.9173611111111111,4
g05_100.5,1378.0,0.9596100278551533,7
g05_100.6,1325.0,0.9239888423988842,7
g05_100.7,1297.0,0.9063591893780573,1
g05_100.8,1322.0,0.9231843575418994,3
g05_100.9,1329.0,0.9293706293706294,2
