problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,29.0,1.0,31,0,9
er_14_0.3_1,19.0,1.0,31,0,5
er_14_0.3_2,23.0,1.0,31,0,5
er_14_0.5_0,34.0,1.0,31,0,8
er_14_0.5_1,32.0,1.0,31,0,12
er_14_0.5_2,34.0,1.0,31,0,6
er_14_0.7_0,42.0,1.0,31,0,27
er_14_0.7_1,41.0,1.0,31,0,20
er_14_0.7_2,38.0,1.0,31,0,6
er_16_0.3_0,26.0,1.0,109,2,14
er_16_0.3_1,30.0,1.0,127,0,39
er_16_0.3_2,22.0,1.0,127,0,22
er_16_0.5_0,47.0,1.0,127,0,80
er_16_0.5_1,42.0,1.0,127,0,39
er_16_0.5_2,40.0,1.0,127,0,5
er_16_0.7_0,50.0,1.0,127,0,22
er_16_0.7_1,55.0,1.0,127,0,41
er_16_0.7_2,55.0,1.0,127,0,2
er_18_0.3_0,36.0,1.0,511,0,87
er_18_0.3_1,34.0,1.0,511,0,16
er_18_0.3_2,39.0,1.0,511,0,75
er_18_0.5_0,47.0,1.0,511,0,27
er_18_0.5_1,56.0,1.0,511,0,25
er_18_0.5_2,56.0,1.0,511,0,47
er_18_0.7_0,67.0,1.0,511,0,303
er_18_0.7_1,65.0,1.0,511,0,10
er_18_0.7_2,65.0,1.0,511,0,27
er_20_0.3_0,44.0,1.0,2047,0,1161
er_20_0.3_1,38.0,1.0,2047,0,557
er_20_0.3_2,38.0,1.0,2047,0,77
er_20_0.5_0,68.0,1.0,2047,0,1195
er_20_0.5_1,62.0,1.0,2047,0,1199
er_20_0.5_2,64.0,1.0,2047,0,347
er_20_0.7_0,89.0,1.0,2047,0,1116
er_20_0.7_1,83.0,1.0,2047,0,439
er_20_0.7_2,80.0,1.0,2047,0,401
geo_14_0.3_0,15.0,1.0,31,0,3
geo_14_0.3_1,15.0,1.0,31,0,6
geo_14_0.3_2,15.0,1.0,31,0,8
geo_14_0.5_0,29.0,1.0,31,0,5
geo_14_0.5_1,23.0,1.0,31,0,1
geo_14_0.5_2,36.0,1.0,31,0,20
geo_14_0.7_0,39.0,1.0,31,0,21
geo_14_0.7_1,46.0,1.0,31,0,2
geo_14_0.7_2,41.0,1.0,31,0,21
geo_16_0.3_0,17.0,1.0,110,3,22
geo_16_0.3_1,23.0,1.0,112,1,80
geo_16_0.3_2,18.0,1.0,127,0,22
geo_16_0.5_0,37.0,1.0,127,0,10
geo_16_0.5_1,45.0,1.0,127,0,48
geo_16_0.5_2,37.0,1.0,127,0,46
geo_16_0.7_0,45.0,1.0,127,0,18
geo_16_0.7_1,55.0,1.0,127,0,54
geo_16_0.7_2,56.0,1.0,127,0,78
geo_18_0.3_0,19.0,1.0,478,19,73
geo_18_0.3_1,25.0,1.0,487,4,137
geo_18_0.3_2,23.0,1.0,511,0,31
geo_18_0.5_0,41.0,1.0,511,0,16
geo_18_0.5_1,50.0,1.0,511,0,395
geo_18_0.5_2,46.0,1.0,511,0,95
geo_18_0.7_0,68.0,1.0,511,0,407
geo_18_0.7_1,80.0,1.0,511,0,322
geo_18_0.7_2,71.0,1.0,511,0,485
geo_20_0.3_0,31.0,1.0,2047,0,139
geo_20_0.3_1,30.0,1.0,2033,2,538
geo_20_0.3_2,32.0,1.0,2041,2,120
geo_20_0.5_0,54.0,1.0,2040,1,604
geo_20_0.5_1,64.0,1.0,2047,0,2
geo_20_0.5_2,59.0,1.0,2047,0,610
geo_20_0.7_0,82.0,1.0,2047,0,1630
geo_20_0.7_1,87.0,1.0,2047,0,35
geo_20_0.7_2,81.0,1.0,2047,0,239
