problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,29.0,1.0,31,0,16
er_14_0.3_1,19.0,1.0,31,0,16
er_14_0.3_2,23.0,1.0,31,0,20
er_14_0.5_0,34.0,1.0,31,0,19
er_14_0.5_1,32.0,1.0,31,0,14
er_14_0.5_2,34.0,1.0,31,0,21
er_14_0.7_0,42.0,1.0,31,0,21
er_14_0.7_1,41.0,1.0,31,0,16
er_14_0.7_2,38.0,1.0,31,0,19
er_16_0.3_0,26.0,1.0,127,0,104
er_16_0.3_1,30.0,1.0,127,0,103
er_16_0.3_2,22.0,1.0,127,0,96
er_16_0.5_0,47.0,1.0,127,0,87
er_16_0.5_1,42.0,1.0,127,0,106
er_16_0.5_2,40.0,1.0,127,0,104
er_16_0.7_0,50.0,1.0,127,0,78
er_16_0.7_1,55.0,1.0,127,0,72
er_16_0.7_2,55.0,1.0,127,0,66
er_18_0.3_0,36.0,1.0,511,0,372
er_18_0.3_1,34.0,1.0,511,0,401
er_18_0.3_2,39.0,1.0,511,0,456
er_18_0.5_0,47.0,1.0,511,0,87
er_18_0.5_1,56.0,1.0,511,0,327
er_18_0.5_2,56.0,1.0,511,0,282
er_18_0.7_0,67.0,1.0,511,0,294
er_18_0.7_1,65.0,1.0,511,0,312
er_18_0.7_2,65.0,1.0,511,0,266
er_20_0.3_0,44.0,1.0,2047,0,1271
er_20_0.3_1,38.0,1.0,2047,0,1710
er_20_0.3_2,38.0,1.0,2047,0,1541
er_20_0.5_0,68.0,1.0,2047,0,1102
er_20_0.5_1,62.0,1.0,2047,0,895
er_20_0.5_2,64.0,1.0,2047,0,1057
er_20_0.7_0,89.0,1.0,2047,0,1984
er_20_0.7_1,83.0,1.0,2047,0,1503
er_20_0.7_2,80.0,1.0,2047,0,1459
geo_14_0.3_0,15.0,1.0,31,0,26
geo_14_0.3_1,15.0,1.0,31,0,5
geo_14_0.3_2,15.0,1.0,31,0,6
geo_14_0.5_0,29.0,1.0,31,0,23
geo_14_0.5_1,23.0,1.0,31,0,1
geo_14_0.5_2,36.0,1.0,31,0,2
geo_14_0.7_0,39.0,1.0,31,0,16
geo_14_0.7_1,46.0,1.0,31,0,20
geo_14_0.7_2,41.0,1.0,31,0,18
geo_16_0.3_0,17.0,1.0,127,0,115
geo_16_0.3_1,23.0,1.0,127,0,5
geo_16_0.3_2,18.0,1.0,127,0,67
geo_16_0.5_0,37.0,1.0,127,0,75
geo_16_0.5_1,45.0,1.0,127,0,62
geo_16_0.5_2,37.0,1.0,127,0,90
geo_16_0.7_0,45.0,1.0,127,0,72
geo_16_0.7_1,55.0,1.0,127,0,86
geo_16_0.7_2,56.0,1.0,127,0,17
geo_18_0.3_0,19.0,1.0,511,0,2
geo_18_0.3_1,25.0,1.0,511,0,335
geo_18_0.3_2,23.0,1.0,511,0,154
geo_18_0.5_0,41.0,1.0,511,0,494
geo_18_0.5_1,50.0,1.0,511,0,444
geo_18_0.5_2,46.0,1.0,511,0,109
geo_18_0.7_0,68.0,1.0,511,0,256
geo_18_0.7_1,80.0,1.0,511,0,256
geo_18_0.7_2,71.0,1.0,511,0,279
geo_20_0.3_0,31.0,1.0,2047,0,1092
geo_20_0.3_1,30.0,1.0,2047,0,527
geo_20_0.3_2,32.0,1.0,2047,0,1102
geo_20_0.5_0,54.0,1.0,2047,0,1703
geo_20_0.5_1,64.0,1.0,2047,0,34
geo_20_0.5_2,59.0,1.0,2047,0,1113
geo_20_0.7_0,82.0,1.0,2047,0,1192
geo_20_0.7_1,87.0,1.0,2047,0,65
geo_20_0.7_2,81.0,1.0,2047,0,1056
