problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,27.0,0.9310344827586207,10,3,9
er_14_0.3_1,18.0,0.9473684210526315,10,15,5
er_14_0.3_2,22.0,0.9565217391304348,10,3,5
er_14_0.5_0,34.0,1.0,11,28,5
er_14_0.5_1,30.0,0.9375,6,3,5
er_14_0.5_2,32.0,0.9411764705882353,10,3,5
er_14_0.7_0,41.0,0.9761904761904762,6,3,5
er_14_0.7_1,40.0,0.975609756097561,6,3,5
er_14_0.7_2,36.0,0.9473684210526315,6,3,3
er_16_0.3_0,26.0,1.0,15,116,8
er_16_0.3_1,28.0,0.9333333333333333,15,32,1
er_16_0.3_2,20.0,0.9090909090909091,27,48,7
er_16_0.5_0,41.0,0.8723404255319149,8,5,1
er_16_0.5_1,38.0,0.9047619047619048,15,8,7
er_16_0.5_2,35.0,0.875,8,5,1
er_16_0.7_0,48.0,0.96,8,5,7
er_16_0.7_1,51.0,0.9272727272727272,13,10,12
er_16_0.7_2,54.0,0.9818181818181818,12,5,7
er_18_0.3_0,34.0,0.9444444444444444,26,147,9
er_18_0.3_1,32.0,0.9411764705882353,28,241,9
er_18_0.3_2,39.0,1.0,22,71,9
er_18_0.5_0,46.0,0.9787234042553191,19,32,9
er_18_0.5_1,51.0,0.9107142857142857,24,21,9
er_18_0.5_2,46.0,0.8214285714285714,19,12,3
er_18_0.7_0,63.0,0.9402985074626866,19,12,9
er_18_0.7_1,62.0,0.9538461538461539,17,22,2
er_18_0.7_2,62.0,0.9538461538461539,20,53,14
er_20_0.3_0,42.0,0.9545454545454546,31,718,13
er_20_0.3_1,36.0,0.9473684210526315,23,80,1
er_20_0.3_2,37.0,0.9736842105263158,26,1215,13
er_20_0.5_0,66.0,0.9705882352941176,32,161,22
er_20_0.5_1,54.0,0.8709677419354839,33,34,22
er_20_0.5_2,57.0,0.890625,47,82,31
er_20_0.7_0,84.0,0.9438202247191011,29,102,15
er_20_0.7_1,74.0,0.891566265060241,32,29,1
er_20_0.7_2,75.0,0.9375,43,52,37
geo_14_0.3_0,15.0,1.0,11,24,5
geo_14_0.3_1,13.0,0.8666666666666667,11,4,5
geo_14_0.3_2,15.0,1.0,11,32,5
geo_14_0.5_0,28.0,0.9655172413793104,6,3,5
geo_14_0.5_1,23.0,1.0,6,3,1
geo_14_0.5_2,35.0,0.9722222222222222,6,3,1
geo_14_0.7_0,38.0,0.9743589743589743,6,3,5
geo_14_0.7_1,45.0,0.9782608695652174,6,3,6
geo_14_0.7_2,39.0,0.9512195121951219,6,3,2
geo_16_0.3_0,16.0,0.9411764705882353,15,52,7
geo_16_0.3_1,22.0,0.9565217391304348,18,47,13
geo_16_0.3_2,17.0,0.9444444444444444,15,68,1
geo_16_0.5_0,32.0,0.8648648648648649,14,7,7
geo_16_0.5_1,43.0,0.9555555555555556,15,12,3
geo_16_0.5_2,35.0,0.9459459459459459,13,14,1
geo_16_0.7_0,42.0,0.9333333333333333,13,18,7
geo_16_0.7_1,53.0,0.9636363636363636,14,7,7
geo_16_0.7_2,54.0,0.9642857142857143,13,6,1
geo_18_0.3_0,18.0,0.9473684210526315,11,678,2
geo_18_0.3_1,23.0,0.92,19,104,1
geo_18_0.3_2,23.0,1.0,33,202,16
geo_18_0.5_0,39.0,0.9512195121951219,10,7,1
geo_18_0.5_1,48.0,0.96,17,10,13
geo_18_0.5_2,45.0,0.9782608695652174,25,138,16
geo_18_0.7_0,66.0,0.9705882352941176,24,13,19
geo_18_0.7_1,78.0,0.975,10,7,10
geo_18_0.7_2,70.0,0.9859154929577465,10,7,1
geo_20_0.3_0,27.0,0.8709677419354839,58,203,11
geo_20_0.3_1,27.0,0.9,32,145,1
geo_20_0.3_2,29.0,0.90625,67,172,39
geo_20_0.5_0,52.0,0.9629629629629629,20,41,1
geo_20_0.5_1,59.0,0.921875,12,9,1
geo_20_0.5_2,55.0,0.9322033898305084,22,15,11
geo_20_0.7_0,78.0,0.9512195121951219,36,61,1
geo_20_0.7_1,84.0,0.9655172413793104,22,11,1
geo_20_0.7_2,80.0,0.9876543209876543,20,25,1
