problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,29.0,1.0,31,0,22
er_14_0.3_1,19.0,1.0,31,0,19
er_14_0.3_2,23.0,1.0,31,0,20
er_14_0.5_0,34.0,1.0,31,0,19
er_14_0.5_1,32.0,1.0,31,0,27
er_14_0.5_2,34.0,1.0,31,0,20
er_14_0.7_0,42.0,1.0,31,0,25
er_14_0.7_1,41.0,1.0,31,0,30
er_14_0.7_2,38.0,1.0,31,0,21
er_16_0.3_0,26.0,1.0,127,0,81
er_16_0.3_1,30.0,1.0,127,0,126
er_16_0.3_2,22.0,1.0,127,0,31
er_16_0.5_0,47.0,1.0,127,0,116
er_16_0.5_1,42.0,1.0,127,0,115
er_16_0.5_2,40.0,1.0,127,0,96
er_16_0.7_0,50.0,1.0,127,0,66
er_16_0.7_1,55.0,1.0,127,0,99
er_16_0.7_2,55.0,1.0,127,0,70
er_18_0.3_0,36.0,1.0,511,0,358
er_18_0.3_1,34.0,1.0,511,0,407
er_18_0.3_2,39.0,1.0,511,0,218
er_18_0.5_0,47.0,1.0,511,0,403
er_18_0.5_1,56.0,1.0,511,0,327
er_18_0.5_2,56.0,1.0,511,0,458
er_18_0.7_0,67.0,1.0,511,0,341
er_18_0.7_1,65.0,1.0,511,0,356
er_18_0.7_2,65.0,1.0,511,0,74
er_20_0.3_0,44.0,1.0,2047,0,1703
er_20_0.3_1,38.0,1.0,2047,0,1787
er_20_0.3_2,38.0,1.0,2047,0,1515
er_20_0.5_0,68.0,1.0,2047,0,1198
er_20_0.5_1,62.0,1.0,2047,0,1687
er_20_0.5_2,64.0,1.0,2047,0,1124
er_20_0.7_0,89.0,1.0,2047,0,1951
er_20_0.7_1,83.0,1.0,2047,0,1501
er_20_0.7_2,80.0,1.0,2047,0,1369
geo_14_0.3_0,15.0,1.0,31,0,13
geo_14_0.3_1,15.0,1.0,31,0,28
geo_14_0.3_2,15.0,1.0,31,0,28
geo_14_0.5_0,29.0,1.0,31,0,16
geo_14_0.5_1,23.0,1.0,31,0,1
geo_14_0.5_2,36.0,1.0,31,0,2
geo_14_0.7_0,39.0,1.0,31,0,18
geo_14_0.7_1,46.0,1.0,31,0,16
geo_14_0.7_2,41.0,1.0,31,0,3
geo_16_0.3_0,17.0,1.0,127,0,98
geo_16_0.3_1,23.0,1.0,127,0,66
geo_16_0.3_2,18.0,1.0,127,0,21
geo_16_0.5_0,37.0,1.0,127,0,118
geo_16_0.5_1,45.0,1.0,127,0,107
geo_16_0.5_2,37.0,1.0,127,0,72
geo_16_0.7_0,45.0,1.0,127,0,81
geo_16_0.7_1,55.0,1.0,127,0,88
geo_16_0.7_2,56.0,1.0,127,0,65
geo_18_0.3_0,19.0,1.0,511,0,411
geo_18_0.3_1,25.0,1.0,511,0,461
geo_18_0.3_2,23.0,1.0,511,0,4
geo_18_0.5_0,41.0,1.0,511,0,334
geo_18_0.5_1,50.0,1.0,511,0,351
geo_18_0.5_2,46.0,1.0,511,0,259
geo_18_0.7_0,68.0,1.0,511,0,5
geo_18_0.7_1,80.0,1.0,511,0,291
geo_18_0.7_2,71.0,1.0,511,0,329
geo_20_0.3_0,31.0,1.0,2047,0,1192
geo_20_0.3_1,30.0,1.0,2047,0,1112
geo_20_0.3_2,32.0,1.0,2047,0,1799
geo_20_0.5_0,54.0,1.0,2047,0,1237
geo_20_0.5_1,64.0,1.0,2047,0,1409
geo_20_0.5_2,59.0,1.0,2047,0,1120
geo_20_0.7_0,82.0,1.0,2047,0,1305
geo_20_0.7_1,87.0,1.0,2047,0,1092
geo_20_0.7_2,81.0,1.0,2047,0,178
