problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,29.0,1.0,10,35,9
er_14_0.3_1,19.0,1.0,9,2,9
er_14_0.3_2,21.0,0.9130434782608695,6,3,2
er_14_0.5_0,33.0,0.9705882352941176,10,3,10
er_14_0.5_1,31.0,0.96875,11,4,10
er_14_0.5_2,32.0,0.9411764705882353,9,2,7
er_14_0.7_0,41.0,0.9761904761904762,6,3,3
er_14_0.7_1,40.0,0.975609756097561,9,2,6
er_14_0.7_2,36.0,0.9473684210526315,6,3,5
er_16_0.3_0,23.0,0.8846153846153846,15,12,14
er_16_0.3_1,28.0,0.9333333333333333,12,5,1
er_16_0.3_2,19.0,0.8636363636363636,19,12,19
er_16_0.5_0,43.0,0.9148936170212766,8,5,8
er_16_0.5_1,41.0,0.9761904761904762,14,239,3
er_16_0.5_2,37.0,0.925,11,4,10
er_16_0.7_0,50.0,1.0,15,4,12
er_16_0.7_1,53.0,0.9636363636363636,8,5,7
er_16_0.7_2,53.0,0.9636363636363636,8,5,7
er_18_0.3_0,35.0,0.9722222222222222,34,37,33
er_18_0.3_1,33.0,0.9705882352941176,43,54,43
er_18_0.3_2,34.0,0.8717948717948718,13,6,1
er_18_0.5_0,42.0,0.8936170212765957,23,12,3
er_18_0.5_1,56.0,1.0,18,23,18
er_18_0.5_2,56.0,1.0,13,458,5
er_18_0.7_0,64.0,0.9552238805970149,25,10,18
er_18_0.7_1,64.0,0.9846153846153847,16,29,9
er_18_0.7_2,63.0,0.9692307692307692,13,8,3
er_20_0.3_0,41.0,0.9318181818181818,51,490,28
er_20_0.3_1,36.0,0.9473684210526315,12,19,1
er_20_0.3_2,36.0,0.9473684210526315,35,538,11
er_20_0.5_0,66.0,0.9705882352941176,38,65,31
er_20_0.5_1,55.0,0.8870967741935484,63,66,56
er_20_0.5_2,62.0,0.96875,42,23,39
er_20_0.7_0,84.0,0.9438202247191011,55,68,54
er_20_0.7_1,80.0,0.963855421686747,39,28,32
er_20_0.7_2,76.0,0.95,36,17,36
geo_14_0.3_0,15.0,1.0,12,135,10
geo_14_0.3_1,15.0,1.0,18,29,18
geo_14_0.3_2,15.0,1.0,11,16,10
geo_14_0.5_0,29.0,1.0,11,4,8
geo_14_0.5_1,23.0,1.0,6,3,1
geo_14_0.5_2,36.0,1.0,6,3,2
geo_14_0.7_0,38.0,0.9743589743589743,6,3,6
geo_14_0.7_1,46.0,1.0,6,3,5
geo_14_0.7_2,40.0,0.975609756097561,6,3,5
geo_16_0.3_0,16.0,0.9411764705882353,12,49,12
geo_16_0.3_1,22.0,0.9565217391304348,15,8,13
geo_16_0.3_2,18.0,1.0,16,5,12
geo_16_0.5_0,34.0,0.918918918918919,18,7,16
geo_16_0.5_1,43.0,0.9555555555555556,11,4,8
geo_16_0.5_2,36.0,0.972972972972973,8,5,2
geo_16_0.7_0,44.0,0.9777777777777777,16,5,13
geo_16_0.7_1,54.0,0.9818181818181818,12,5,2
geo_16_0.7_2,56.0,1.0,11,4,9
geo_18_0.3_0,18.0,0.9473684210526315,12,521,3
geo_18_0.3_1,24.0,0.96,19,22,19
geo_18_0.3_2,23.0,1.0,11,248,3
geo_18_0.5_0,39.0,0.9512195121951219,10,7,1
geo_18_0.5_1,47.0,0.94,10,7,1
geo_18_0.5_2,46.0,1.0,22,51,20
geo_18_0.7_0,66.0,0.9705882352941176,10,7,2
geo_18_0.7_1,77.0,0.9625,10,7,1
geo_18_0.7_2,70.0,0.9859154929577465,17,8,1
geo_20_0.3_0,30.0,0.967741935483871,55,32,53
geo_20_0.3_1,30.0,1.0,39,36,38
geo_20_0.3_2,31.0,0.96875,73,230,46
geo_20_0.5_0,52.0,0.9629629629629629,36,29,1
geo_20_0.5_1,59.0,0.921875,18,11,1
geo_20_0.5_2,57.0,0.9661016949152542,47,22,37
geo_20_0.7_0,80.0,0.975609756097561,30,11,22
geo_20_0.7_1,85.0,0.9770114942528736,28,17,25
geo_20_0.7_2,80.0,0.9876543209876543,12,9,1
