problem_name,cost,approx_ratio,n_steps
g05_60.0,493.0,0.9197761194029851,4
g05_60.1,505.0,0.9492481203007519,5
g05_60.2,492.0,0.9300567107750473,4
g05_60.3,519.0,0.9646840148698885,4
g05_60.4,512.0,0.9715370018975332,5
g05_60.5,515.0,0.9662288930581614,3
g05_60.6,521.0,0.9811676082862524,4
g05_60.7,523.0,0.9775700934579439,3
g05_60.8,498.0,0.939622641509434,3
g05_60.9,518.0,0.9718574108818011,3
g05_80.0,847.0,0.9117330462863293,3
g05_80.1,860.0,0.9139213602550478,2
g05_80.2,902.0,0.9657387580299786,4
g05_80.3,895.0,0.9696641386782232,5
g05_80.4,834.0,0.8948497854077253,3
g05_80.5,847.0,0.9146868250539957,4
g05_80.6,915.0,0.984930032292788,6
g05_80.7,905.0,0.9741657696447793,4
g05_80.8,906.0,0.9794594594594594,4
g05_80.9,896.0,0.9707475622968581,4
g05_100.0,1392.0,0.9734265734265735,3
g05_100.1,1321.0,0.9270175438596491,3
g05_100.2,1317.0,0.9196927374301676,4
g05_100.3,1318.0,0.925561797752809,4
g05_100.4,1296.0,0.9,3
g05_100.5,1323.0,0.9213091922005571,5
g05_100.6,1363.0,0.9504881450488145,4
g05_100.7,1297.0,0.9063591893780573,2
g05_100.8,1302.0,0.909217877094972,2
g05_100.9,1284.0,0.8979020979020979,2
