problem_name,cost,approx_ratio,n_steps
g05_60.0,508.0,0.9477611940298507,6
g05_60.1,516.0,0.9699248120300752,7
g05_60.2,511.0,0.9659735349716446,6
g05_60.3,519.0,0.9646840148698885,4
g05_60.4,513.0,0.9734345351043643,6
g05_60.5,523.0,0.9812382739212008,5
g05_60.6,521.0,0.9811676082862524,4
g05_60.7,520.0,0.9719626168224299,5
g05_60.8,518.0,0.9773584905660377,8
g05_60.9,521.0,0.9774859287054409,3
g05_80.0,894.0,0.9623250807319699,7
g05_80.1,891.0,0.946865037194474,4
g05_80.2,904.0,0.9678800856531049,5
g05_80.3,904.0,0.9794149512459371,5
g05_80.4,915.0,0.9817596566523605,4
g05_80.5,885.0,0.9557235421166307,6
g05_80.6,915.0,0.984930032292788,11
g05_80.7,906.0,0.9752421959095802,5
g05_80.8,906.0,0.9794594594594594,4
g05_80.9,896.0,0.9707475622968581,4
g05_100.0,1392.0,0.9734265734265735,3
g05_100.1,1327.0,0.9312280701754386,4
g05_100.2,1385.0,0.9671787709497207,6
g05_100.3,1378.0,0.9676966292134831,9
g05_100.4,1389.0,0.9645833333333333,6
g05_100.5,1290.0,0.8983286908077994,4
g05_100.6,1372.0,0.9567642956764296,5
g05_100.7,1369.0,0.9566736547868623,3
g05_100.8,1381.0,0.9643854748603352,8
g05_100.9,1389.0,0.9713286713286713,4
