problem_name,cost,approx_ratio,n_steps
g05_60.0,491.0,0.9160447761194029,5
g05_60.1,510.0,0.9586466165413534,6
g05_60.2,467.0,0.8827977315689981,4
g05_60.3,519.0,0.9646840148698885,4
g05_60.4,491.0,0.9316888045540797,3
g05_60.5,474.0,0.8893058161350844,2
g05_60.6,483.0,0.9096045197740112,2
g05_60.7,493.0,0.9214953271028037,3
g05_60.8,481.0,0.9075471698113208,2
g05_60.9,475.0,0.8911819887429644,2
g05_80.0,821.0,0.883745963401507,2
g05_80.1,860.0,0.9139213602550478,2
g05_80.2,836.0,0.8950749464668094,3
g05_80.3,889.0,0.9631635969664138,5
g05_80.4,843.0,0.9045064377682404,3
g05_80.5,888.0,0.958963282937365,6
g05_80.6,915.0,0.984930032292788,6
g05_80.7,905.0,0.9741657696447793,4
g05_80.8,906.0,0.9794594594594594,4
g05_80.9,896.0,0.9707475622968581,4
g05_100.0,1303.0,0.9111888111888112,2
g05_100.1,1369.0,0.960701754385965,4
g05_100.2,1381.0,0.9643854748603352,6
g05_100.3,1302.0,0.9143258426966292,3
g05_100.4,1296.0,0.9,3
g05_100.5,1323.0,0.9213091922005571,5
g05_100.6,1363.0,0.9504881450488145,4
g05_100.7,1369.0,0.9566736547868623,3
g05_100.8,1391.0,0.9713687150837989,3
g05_100.9,1396.0,0.9762237762237762,3
