problem_name,cost,approx_ratio
g05_60.0,527.0,0.9832089552238806
g05_60.1,477.0,0.8966165413533834
g05_60.2,517.0,0.9773156899810964
g05_60.3,504.0,0.9368029739776952
g05_60.4,488.0,0.9259962049335864
g05_60.5,494.0,0.926829268292683
g05_60.6,519.0,0.9774011299435028
g05_60.7,492.0,0.9196261682242991
g05_60.8,481.0,0.9075471698113208
g05_60.9,490.0,0.9193245778611632
g05_80.0,895.0,0.9634015069967707
g05_80.1,906.0,0.9628055260361318
g05_80.2,906.0,0.9700214132762313
g05_80.3,890.0,0.9642470205850487
g05_80.4,888.0,0.9527896995708155
g05_80.5,860.0,0.9287257019438445
g05_80.6,869.0,0.9354144241119483
g05_80.7,896.0,0.9644779332615716
g05_80.8,890.0,0.9621621621621622
g05_80.9,887.0,0.9609967497291441
g05_100.0,1387.0,0.9699300699300699
g05_100.1,1394.0,0.9782456140350877
g05_100.2,1368.0,0.9553072625698324
g05_100.3,1374.0,0.9648876404494382
g05_100.4,1391.0,0.9659722222222222
g05_100.5,1378.0,0.9596100278551533
g05_100.6,1380.0,0.9623430962343096
g05_100.7,1370.0,0.9573724668064291
g05_100.8,1358.0,0.9483240223463687
g05_100.9,1369.0,0.9573426573426573
