problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,11
er_14_0.3_1,19.0,1.0,14
er_14_0.3_2,23.0,1.0,15
er_14_0.5_0,34.0,1.0,11
er_14_0.5_1,31.0,0.96875,12
er_14_0.5_2,34.0,1.0,13
er_14_0.7_0,41.0,0.9761904761904762,10
er_14_0.7_1,41.0,1.0,7
er_14_0.7_2,38.0,1.0,11
er_16_0.3_0,25.0,0.9615384615384616,33
er_16_0.3_1,30.0,1.0,7
er_16_0.3_2,22.0,1.0,56
er_16_0.5_0,45.0,0.9574468085106383,48
er_16_0.5_1,41.0,0.9761904761904762,49
er_16_0.5_2,39.0,0.975,41
er_16_0.7_0,50.0,1.0,39
er_16_0.7_1,55.0,1.0,33
er_16_0.7_2,55.0,1.0,30
er_18_0.3_0,35.0,0.9722222222222222,118
er_18_0.3_1,32.0,0.9411764705882353,79
er_18_0.3_2,38.0,0.9743589743589743,106
er_18_0.5_0,47.0,1.0,112
er_18_0.5_1,53.0,0.9464285714285714,11
er_18_0.5_2,52.0,0.9285714285714286,92
er_18_0.7_0,66.0,0.9850746268656716,118
er_18_0.7_1,65.0,1.0,114
er_18_0.7_2,64.0,0.9846153846153847,72
er_20_0.3_0,44.0,1.0,312
er_20_0.3_1,37.0,0.9736842105263158,331
er_20_0.3_2,38.0,1.0,562
er_20_0.5_0,68.0,1.0,350
er_20_0.5_1,61.0,0.9838709677419355,157
er_20_0.5_2,63.0,0.984375,359
er_20_0.7_0,85.0,0.9550561797752809,183
er_20_0.7_1,82.0,0.9879518072289156,3
er_20_0.7_2,79.0,0.9875,306
geo_14_0.3_0,14.0,0.9333333333333333,2
geo_14_0.3_1,15.0,1.0,5
geo_14_0.3_2,15.0,1.0,13
geo_14_0.5_0,28.0,0.9655172413793104,10
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,2
geo_14_0.7_0,39.0,1.0,9
geo_14_0.7_1,46.0,1.0,12
geo_14_0.7_2,41.0,1.0,9
geo_16_0.3_0,16.0,0.9411764705882353,48
geo_16_0.3_1,23.0,1.0,10
geo_16_0.3_2,18.0,1.0,24
geo_16_0.5_0,35.0,0.9459459459459459,47
geo_16_0.5_1,43.0,0.9555555555555556,3
geo_16_0.5_2,36.0,0.972972972972973,2
geo_16_0.7_0,44.0,0.9777777777777777,29
geo_16_0.7_1,55.0,1.0,27
geo_16_0.7_2,56.0,1.0,15
geo_18_0.3_0,19.0,1.0,2
geo_18_0.3_1,25.0,1.0,96
geo_18_0.3_2,23.0,1.0,4
geo_18_0.5_0,40.0,0.975609756097561,109
geo_18_0.5_1,49.0,0.98,118
geo_18_0.5_2,44.0,0.9565217391304348,20
geo_18_0.7_0,68.0,1.0,67
geo_18_0.7_1,80.0,1.0,41
geo_18_0.7_2,71.0,1.0,61
geo_20_0.3_0,30.0,0.967741935483871,341
geo_20_0.3_1,30.0,1.0,260
geo_20_0.3_2,30.0,0.9375,12
geo_20_0.5_0,52.0,0.9629629629629629,1
geo_20_0.5_1,60.0,0.9375,204
geo_20_0.5_2,59.0,1.0,15
geo_20_0.7_0,81.0,0.9878048780487805,283
geo_20_0.7_1,87.0,1.0,206
geo_20_0.7_2,81.0,1.0,281
