problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,14
er_14_0.3_1,19.0,1.0,29
er_14_0.3_2,23.0,1.0,31
er_14_0.5_0,34.0,1.0,18
er_14_0.5_1,32.0,1.0,15
er_14_0.5_2,33.0,0.9705882352941176,14
er_14_0.7_0,40.0,0.9523809523809523,10
er_14_0.7_1,40.0,0.975609756097561,10
er_14_0.7_2,38.0,1.0,11
er_16_0.3_0,26.0,1.0,61
er_16_0.3_1,30.0,1.0,46
er_16_0.3_2,21.0,0.9545454545454546,71
er_16_0.5_0,45.0,0.9574468085106383,35
er_16_0.5_1,41.0,0.9761904761904762,12
er_16_0.5_2,38.0,0.95,25
er_16_0.7_0,47.0,0.94,24
er_16_0.7_1,52.0,0.9454545454545454,26
er_16_0.7_2,55.0,1.0,3
er_18_0.3_0,35.0,0.9722222222222222,112
er_18_0.3_1,34.0,1.0,11
er_18_0.3_2,34.0,0.8717948717948718,1
er_18_0.5_0,41.0,0.8723404255319149,36
er_18_0.5_1,52.0,0.9285714285714286,65
er_18_0.5_2,51.0,0.9107142857142857,25
er_18_0.7_0,64.0,0.9552238805970149,73
er_18_0.7_1,60.0,0.9230769230769231,3
er_18_0.7_2,60.0,0.9230769230769231,6
er_20_0.3_0,42.0,0.9545454545454546,280
er_20_0.3_1,36.0,0.9473684210526315,1
er_20_0.3_2,38.0,1.0,303
er_20_0.5_0,61.0,0.8970588235294118,2
er_20_0.5_1,53.0,0.8548387096774194,2
er_20_0.5_2,58.0,0.90625,2
er_20_0.7_0,80.0,0.898876404494382,6
er_20_0.7_1,76.0,0.9156626506024096,2
er_20_0.7_2,72.0,0.9,9
geo_14_0.3_0,15.0,1.0,7
geo_14_0.3_1,15.0,1.0,27
geo_14_0.3_2,15.0,1.0,26
geo_14_0.5_0,29.0,1.0,22
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,8
geo_14_0.7_0,38.0,0.9743589743589743,11
geo_14_0.7_1,46.0,1.0,2
geo_14_0.7_2,40.0,0.975609756097561,12
geo_16_0.3_0,17.0,1.0,71
geo_16_0.3_1,22.0,0.9565217391304348,54
geo_16_0.3_2,18.0,1.0,50
geo_16_0.5_0,36.0,0.972972972972973,44
geo_16_0.5_1,44.0,0.9777777777777777,29
geo_16_0.5_2,35.0,0.9459459459459459,1
geo_16_0.7_0,44.0,0.9777777777777777,34
geo_16_0.7_1,53.0,0.9636363636363636,2
geo_16_0.7_2,56.0,1.0,16
geo_18_0.3_0,19.0,1.0,223
geo_18_0.3_1,24.0,0.96,89
geo_18_0.3_2,23.0,1.0,207
geo_18_0.5_0,39.0,0.9512195121951219,1
geo_18_0.5_1,48.0,0.96,94
geo_18_0.5_2,44.0,0.9565217391304348,17
geo_18_0.7_0,65.0,0.9558823529411765,8
geo_18_0.7_1,77.0,0.9625,1
geo_18_0.7_2,70.0,0.9859154929577465,1
geo_20_0.3_0,29.0,0.9354838709677419,379
geo_20_0.3_1,30.0,1.0,323
geo_20_0.3_2,32.0,1.0,566
geo_20_0.5_0,52.0,0.9629629629629629,1
geo_20_0.5_1,64.0,1.0,3
geo_20_0.5_2,54.0,0.9152542372881356,14
geo_20_0.7_0,78.0,0.9512195121951219,1
geo_20_0.7_1,85.0,0.9770114942528736,3
geo_20_0.7_2,80.0,0.9876543209876543,1
