problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,15
er_14_0.3_1,19.0,1.0,29
er_14_0.3_2,23.0,1.0,31
er_14_0.5_0,34.0,1.0,21
er_14_0.5_1,32.0,1.0,16
er_14_0.5_2,33.0,0.9705882352941176,14
er_14_0.7_0,41.0,0.9761904761904762,13
er_14_0.7_1,40.0,0.975609756097561,10
er_14_0.7_2,38.0,1.0,11
er_16_0.3_0,26.0,1.0,65
er_16_0.3_1,30.0,1.0,49
er_16_0.3_2,21.0,0.9545454545454546,68
er_16_0.5_0,43.0,0.9148936170212766,35
er_16_0.5_1,41.0,0.9761904761904762,12
er_16_0.5_2,38.0,0.95,27
er_16_0.7_0,47.0,0.94,24
er_16_0.7_1,52.0,0.9454545454545454,27
er_16_0.7_2,55.0,1.0,3
er_18_0.3_0,35.0,0.9722222222222222,121
er_18_0.3_1,34.0,1.0,11
er_18_0.3_2,37.0,0.9487179487179487,114
er_18_0.5_0,43.0,0.9148936170212766,84
er_18_0.5_1,52.0,0.9285714285714286,66
er_18_0.5_2,51.0,0.9107142857142857,25
er_18_0.7_0,64.0,0.9552238805970149,82
er_18_0.7_1,63.0,0.9692307692307692,75
er_18_0.7_2,60.0,0.9230769230769231,6
er_20_0.3_0,42.0,0.9545454545454546,329
er_20_0.3_1,36.0,0.9473684210526315,1
er_20_0.3_2,36.0,0.9473684210526315,57
er_20_0.5_0,62.0,0.9117647058823529,195
er_20_0.5_1,55.0,0.8870967741935484,132
er_20_0.5_2,60.0,0.9375,194
er_20_0.7_0,81.0,0.9101123595505618,161
er_20_0.7_1,76.0,0.9156626506024096,2
er_20_0.7_2,77.0,0.9625,16
geo_14_0.3_0,15.0,1.0,7
geo_14_0.3_1,15.0,1.0,27
geo_14_0.3_2,15.0,1.0,26
geo_14_0.5_0,29.0,1.0,22
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,8
geo_14_0.7_0,38.0,0.9743589743589743,11
geo_14_0.7_1,46.0,1.0,2
geo_14_0.7_2,40.0,0.975609756097561,12
geo_16_0.3_0,17.0,1.0,79
geo_16_0.3_1,22.0,0.9565217391304348,55
geo_16_0.3_2,18.0,1.0,51
geo_16_0.5_0,36.0,0.972972972972973,46
geo_16_0.5_1,44.0,0.9777777777777777,34
geo_16_0.5_2,35.0,0.9459459459459459,1
geo_16_0.7_0,44.0,0.9777777777777777,34
geo_16_0.7_1,55.0,1.0,34
geo_16_0.7_2,56.0,1.0,16
geo_18_0.3_0,19.0,1.0,235
geo_18_0.3_1,23.0,0.92,1
geo_18_0.3_2,23.0,1.0,219
geo_18_0.5_0,39.0,0.9512195121951219,1
geo_18_0.5_1,48.0,0.96,98
geo_18_0.5_2,44.0,0.9565217391304348,17
geo_18_0.7_0,64.0,0.9411764705882353,1
geo_18_0.7_1,80.0,1.0,6
geo_18_0.7_2,70.0,0.9859154929577465,1
geo_20_0.3_0,30.0,0.967741935483871,328
geo_20_0.3_1,30.0,1.0,304
geo_20_0.3_2,32.0,1.0,642
geo_20_0.5_0,52.0,0.9629629629629629,1
geo_20_0.5_1,64.0,1.0,3
geo_20_0.5_2,54.0,0.9152542372881356,14
geo_20_0.7_0,80.0,0.975609756097561,168
geo_20_0.7_1,86.0,0.9885057471264368,130
geo_20_0.7_2,80.0,0.9876543209876543,1
