problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,28.0,0.9655172413793104,5
er_14_0.3_1,19.0,1.0,5
er_14_0.3_2,23.0,1.0,5
er_14_0.5_0,34.0,1.0,5
er_14_0.5_1,32.0,1.0,5
er_14_0.5_2,33.0,0.9705882352941176,5
er_14_0.7_0,39.0,0.9285714285714286,10
er_14_0.7_1,40.0,0.975609756097561,10
er_14_0.7_2,38.0,1.0,8
er_16_0.3_0,26.0,1.0,8
er_16_0.3_1,30.0,1.0,22
er_16_0.3_2,21.0,0.9545454545454546,7
er_16_0.5_0,44.0,0.9361702127659575,20
er_16_0.5_1,41.0,0.9761904761904762,4
er_16_0.5_2,37.0,0.925,7
er_16_0.7_0,50.0,1.0,14
er_16_0.7_1,52.0,0.9454545454545454,14
er_16_0.7_2,55.0,1.0,2
er_18_0.3_0,36.0,1.0,65
er_18_0.3_1,34.0,1.0,91
er_18_0.3_2,35.0,0.8974358974358975,9
er_18_0.5_0,46.0,0.9787234042553191,9
er_18_0.5_1,52.0,0.9285714285714286,21
er_18_0.5_2,51.0,0.9107142857142857,68
er_18_0.7_0,64.0,0.9552238805970149,12
er_18_0.7_1,62.0,0.9538461538461539,48
er_18_0.7_2,62.0,0.9538461538461539,14
er_20_0.3_0,42.0,0.9545454545454546,71
er_20_0.3_1,36.0,0.9473684210526315,1
er_20_0.3_2,38.0,1.0,45
er_20_0.5_0,62.0,0.9117647058823529,164
er_20_0.5_1,58.0,0.9354838709677419,12
er_20_0.5_2,59.0,0.921875,12
er_20_0.7_0,82.0,0.9213483146067416,22
er_20_0.7_1,76.0,0.9156626506024096,29
er_20_0.7_2,72.0,0.9,37
geo_14_0.3_0,15.0,1.0,3
geo_14_0.3_1,15.0,1.0,6
geo_14_0.3_2,15.0,1.0,8
geo_14_0.5_0,29.0,1.0,5
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,10
geo_14_0.7_0,38.0,0.9743589743589743,5
geo_14_0.7_1,46.0,1.0,2
geo_14_0.7_2,40.0,0.975609756097561,5
geo_16_0.3_0,17.0,1.0,16
geo_16_0.3_1,21.0,0.9130434782608695,27
geo_16_0.3_2,18.0,1.0,12
geo_16_0.5_0,37.0,1.0,7
geo_16_0.5_1,44.0,0.9777777777777777,7
geo_16_0.5_2,35.0,0.9459459459459459,1
geo_16_0.7_0,45.0,1.0,38
geo_16_0.7_1,54.0,0.9818181818181818,3
geo_16_0.7_2,56.0,1.0,8
geo_18_0.3_0,18.0,0.9473684210526315,23
geo_18_0.3_1,24.0,0.96,17
geo_18_0.3_2,23.0,1.0,28
geo_18_0.5_0,40.0,0.975609756097561,56
geo_18_0.5_1,49.0,0.98,95
geo_18_0.5_2,44.0,0.9565217391304348,86
geo_18_0.7_0,64.0,0.9411764705882353,1
geo_18_0.7_1,77.0,0.9625,1
geo_18_0.7_2,70.0,0.9859154929577465,1
geo_20_0.3_0,29.0,0.9354838709677419,154
geo_20_0.3_1,29.0,0.9666666666666667,82
geo_20_0.3_2,31.0,0.96875,27
geo_20_0.5_0,53.0,0.9814814814814815,12
geo_20_0.5_1,64.0,1.0,2
geo_20_0.5_2,56.0,0.9491525423728814,55
geo_20_0.7_0,79.0,0.9634146341463414,158
geo_20_0.7_1,87.0,1.0,6
geo_20_0.7_2,80.0,0.9876543209876543,1
