problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,24
er_14_0.3_1,19.0,1.0,1
er_14_0.3_2,23.0,1.0,12
er_14_0.5_0,33.0,0.9705882352941176,11
er_14_0.5_1,32.0,1.0,17
er_14_0.5_2,34.0,1.0,3
er_14_0.7_0,42.0,1.0,22
er_14_0.7_1,41.0,1.0,22
er_14_0.7_2,38.0,1.0,19
er_16_0.3_0,24.0,0.9230769230769231,45
er_16_0.3_1,30.0,1.0,30
er_16_0.3_2,22.0,1.0,101
er_16_0.5_0,47.0,1.0,73
er_16_0.5_1,42.0,1.0,100
er_16_0.5_2,40.0,1.0,79
er_16_0.7_0,50.0,1.0,64
er_16_0.7_1,55.0,1.0,67
er_16_0.7_2,55.0,1.0,65
er_18_0.3_0,36.0,1.0,143
er_18_0.3_1,33.0,0.9705882352941176,136
er_18_0.3_2,38.0,0.9743589743589743,81
er_18_0.5_0,47.0,1.0,271
er_18_0.5_1,56.0,1.0,25
er_18_0.5_2,56.0,1.0,291
er_18_0.7_0,67.0,1.0,335
er_18_0.7_1,65.0,1.0,113
er_18_0.7_2,65.0,1.0,7
er_20_0.3_0,44.0,1.0,1178
er_20_0.3_1,37.0,0.9736842105263158,1
er_20_0.3_2,38.0,1.0,956
er_20_0.5_0,68.0,1.0,1877
er_20_0.5_1,62.0,1.0,1371
er_20_0.5_2,64.0,1.0,1119
er_20_0.7_0,89.0,1.0,76
er_20_0.7_1,83.0,1.0,1650
er_20_0.7_2,80.0,1.0,29
geo_14_0.3_0,15.0,1.0,2
geo_14_0.3_1,15.0,1.0,5
geo_14_0.3_2,15.0,1.0,5
geo_14_0.5_0,29.0,1.0,10
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,1
geo_14_0.7_0,39.0,1.0,17
geo_14_0.7_1,46.0,1.0,3
geo_14_0.7_2,41.0,1.0,17
geo_16_0.3_0,17.0,1.0,9
geo_16_0.3_1,23.0,1.0,82
geo_16_0.3_2,18.0,1.0,1
geo_16_0.5_0,37.0,1.0,74
geo_16_0.5_1,45.0,1.0,77
geo_16_0.5_2,37.0,1.0,59
geo_16_0.7_0,45.0,1.0,69
geo_16_0.7_1,55.0,1.0,36
geo_16_0.7_2,56.0,1.0,32
geo_18_0.3_0,19.0,1.0,133
geo_18_0.3_1,25.0,1.0,51
geo_18_0.3_2,23.0,1.0,4
geo_18_0.5_0,41.0,1.0,242
geo_18_0.5_1,50.0,1.0,340
geo_18_0.5_2,46.0,1.0,97
geo_18_0.7_0,68.0,1.0,5
geo_18_0.7_1,80.0,1.0,1
geo_18_0.7_2,71.0,1.0,261
geo_20_0.3_0,31.0,1.0,14
geo_20_0.3_1,30.0,1.0,4
geo_20_0.3_2,32.0,1.0,1420
geo_20_0.5_0,54.0,1.0,1865
geo_20_0.5_1,64.0,1.0,716
geo_20_0.5_2,59.0,1.0,143
geo_20_0.7_0,82.0,1.0,1374
geo_20_0.7_1,87.0,1.0,1033
geo_20_0.7_2,81.0,1.0,1
