problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,21
er_14_0.3_1,19.0,1.0,24
er_14_0.3_2,23.0,1.0,9
er_14_0.5_0,34.0,1.0,6
er_14_0.5_1,32.0,1.0,15
er_14_0.5_2,34.0,1.0,6
er_14_0.7_0,42.0,1.0,6
er_14_0.7_1,41.0,1.0,21
er_14_0.7_2,38.0,1.0,6
er_16_0.3_0,26.0,1.0,24
er_16_0.3_1,30.0,1.0,40
er_16_0.3_2,22.0,1.0,7
er_16_0.5_0,47.0,1.0,18
er_16_0.5_1,41.0,0.9761904761904762,8
er_16_0.5_2,40.0,1.0,42
er_16_0.7_0,50.0,1.0,11
er_16_0.7_1,55.0,1.0,15
er_16_0.7_2,55.0,1.0,16
er_18_0.3_0,36.0,1.0,9
er_18_0.3_1,34.0,1.0,192
er_18_0.3_2,38.0,0.9743589743589743,15
er_18_0.5_0,47.0,1.0,9
er_18_0.5_1,56.0,1.0,49
er_18_0.5_2,56.0,1.0,118
er_18_0.7_0,67.0,1.0,41
er_18_0.7_1,65.0,1.0,10
er_18_0.7_2,65.0,1.0,76
er_20_0.3_0,43.0,0.9772727272727273,344
er_20_0.3_1,38.0,1.0,359
er_20_0.3_2,38.0,1.0,395
er_20_0.5_0,67.0,0.9852941176470589,484
er_20_0.5_1,62.0,1.0,315
er_20_0.5_2,64.0,1.0,15
er_20_0.7_0,89.0,1.0,387
er_20_0.7_1,83.0,1.0,365
er_20_0.7_2,80.0,1.0,379
geo_14_0.3_0,15.0,1.0,5
geo_14_0.3_1,15.0,1.0,5
geo_14_0.3_2,15.0,1.0,14
geo_14_0.5_0,29.0,1.0,10
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,6
geo_14_0.7_0,39.0,1.0,14
geo_14_0.7_1,46.0,1.0,12
geo_14_0.7_2,41.0,1.0,21
geo_16_0.3_0,17.0,1.0,45
geo_16_0.3_1,23.0,1.0,7
geo_16_0.3_2,18.0,1.0,10
geo_16_0.5_0,36.0,0.972972972972973,11
geo_16_0.5_1,45.0,1.0,46
geo_16_0.5_2,37.0,1.0,27
geo_16_0.7_0,45.0,1.0,13
geo_16_0.7_1,54.0,0.9818181818181818,18
geo_16_0.7_2,56.0,1.0,14
geo_18_0.3_0,19.0,1.0,21
geo_18_0.3_1,25.0,1.0,10
geo_18_0.3_2,23.0,1.0,70
geo_18_0.5_0,40.0,0.975609756097561,79
geo_18_0.5_1,49.0,0.98,61
geo_18_0.5_2,46.0,1.0,135
geo_18_0.7_0,68.0,1.0,46
geo_18_0.7_1,80.0,1.0,52
geo_18_0.7_2,71.0,1.0,58
geo_20_0.3_0,31.0,1.0,433
geo_20_0.3_1,30.0,1.0,192
geo_20_0.3_2,32.0,1.0,146
geo_20_0.5_0,54.0,1.0,370
geo_20_0.5_1,64.0,1.0,311
geo_20_0.5_2,59.0,1.0,171
geo_20_0.7_0,81.0,0.9878048780487805,218
geo_20_0.7_1,87.0,1.0,2
geo_20_0.7_2,81.0,1.0,11
