problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,6
er_14_0.3_1,19.0,1.0,14
er_14_0.3_2,23.0,1.0,20
er_14_0.5_0,34.0,1.0,5
er_14_0.5_1,31.0,0.96875,5
er_14_0.5_2,33.0,0.9705882352941176,8
er_14_0.7_0,41.0,0.9761904761904762,12
er_14_0.7_1,41.0,1.0,5
er_14_0.7_2,36.0,0.9473684210526315,5
er_16_0.3_0,26.0,1.0,7
er_16_0.3_1,28.0,0.9333333333333333,1
er_16_0.3_2,20.0,0.9090909090909091,7
er_16_0.5_0,45.0,0.9574468085106383,8
er_16_0.5_1,42.0,1.0,25
er_16_0.5_2,38.0,0.95,22
er_16_0.7_0,50.0,1.0,10
er_16_0.7_1,53.0,0.9636363636363636,36
er_16_0.7_2,55.0,1.0,7
er_18_0.3_0,35.0,0.9722222222222222,9
er_18_0.3_1,33.0,0.9705882352941176,9
er_18_0.3_2,37.0,0.9487179487179487,29
er_18_0.5_0,46.0,0.9787234042553191,17
er_18_0.5_1,56.0,1.0,54
er_18_0.5_2,53.0,0.9464285714285714,59
er_18_0.7_0,65.0,0.9701492537313433,11
er_18_0.7_1,65.0,1.0,34
er_18_0.7_2,63.0,0.9692307692307692,18
er_20_0.3_0,43.0,0.9772727272727273,109
er_20_0.3_1,37.0,0.9736842105263158,201
er_20_0.3_2,37.0,0.9736842105263158,4
er_20_0.5_0,68.0,1.0,180
er_20_0.5_1,62.0,1.0,67
er_20_0.5_2,64.0,1.0,35
er_20_0.7_0,86.0,0.9662921348314607,247
er_20_0.7_1,82.0,0.9879518072289156,2
er_20_0.7_2,79.0,0.9875,113
geo_14_0.3_0,15.0,1.0,3
geo_14_0.3_1,15.0,1.0,5
geo_14_0.3_2,15.0,1.0,16
geo_14_0.5_0,29.0,1.0,5
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,2
geo_14_0.7_0,39.0,1.0,5
geo_14_0.7_1,46.0,1.0,8
geo_14_0.7_2,41.0,1.0,2
geo_16_0.3_0,17.0,1.0,16
geo_16_0.3_1,23.0,1.0,59
geo_16_0.3_2,18.0,1.0,17
geo_16_0.5_0,35.0,0.9459459459459459,8
geo_16_0.5_1,44.0,0.9777777777777777,30
geo_16_0.5_2,37.0,1.0,21
geo_16_0.7_0,45.0,1.0,36
geo_16_0.7_1,54.0,0.9818181818181818,16
geo_16_0.7_2,56.0,1.0,18
geo_18_0.3_0,19.0,1.0,14
geo_18_0.3_1,25.0,1.0,9
geo_18_0.3_2,23.0,1.0,16
geo_18_0.5_0,40.0,0.975609756097561,57
geo_18_0.5_1,48.0,0.96,9
geo_18_0.5_2,46.0,1.0,150
geo_18_0.7_0,68.0,1.0,38
geo_18_0.7_1,79.0,0.9875,35
geo_18_0.7_2,71.0,1.0,31
geo_20_0.3_0,30.0,0.967741935483871,61
geo_20_0.3_1,30.0,1.0,176
geo_20_0.3_2,31.0,0.96875,294
geo_20_0.5_0,52.0,0.9629629629629629,1
geo_20_0.5_1,62.0,0.96875,116
geo_20_0.5_2,59.0,1.0,269
geo_20_0.7_0,81.0,0.9878048780487805,195
geo_20_0.7_1,86.0,0.9885057471264368,123
geo_20_0.7_2,81.0,1.0,25
