problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,20
er_14_0.3_1,18.0,0.9473684210526315,21
er_14_0.3_2,22.0,0.9565217391304348,14
er_14_0.5_0,34.0,1.0,18
er_14_0.5_1,31.0,0.96875,15
er_14_0.5_2,32.0,0.9411764705882353,11
er_14_0.7_0,41.0,0.9761904761904762,11
er_14_0.7_1,40.0,0.975609756097561,11
er_14_0.7_2,37.0,0.9736842105263158,13
er_16_0.3_0,26.0,1.0,56
er_16_0.3_1,30.0,1.0,38
er_16_0.3_2,21.0,0.9545454545454546,69
er_16_0.5_0,46.0,0.9787234042553191,62
er_16_0.5_1,41.0,0.9761904761904762,46
er_16_0.5_2,40.0,1.0,38
er_16_0.7_0,49.0,0.98,30
er_16_0.7_1,54.0,0.9818181818181818,41
er_16_0.7_2,55.0,1.0,30
er_18_0.3_0,36.0,1.0,167
er_18_0.3_1,34.0,1.0,156
er_18_0.3_2,38.0,0.9743589743589743,13
er_18_0.5_0,45.0,0.9574468085106383,100
er_18_0.5_1,56.0,1.0,89
er_18_0.5_2,56.0,1.0,135
er_18_0.7_0,64.0,0.9552238805970149,102
er_18_0.7_1,64.0,0.9846153846153847,90
er_18_0.7_2,63.0,0.9692307692307692,6
er_20_0.3_0,43.0,0.9772727272727273,223
er_20_0.3_1,38.0,1.0,13
er_20_0.3_2,37.0,0.9736842105263158,222
er_20_0.5_0,66.0,0.9705882352941176,321
er_20_0.5_1,58.0,0.9354838709677419,343
er_20_0.5_2,64.0,1.0,324
er_20_0.7_0,85.0,0.9550561797752809,215
er_20_0.7_1,82.0,0.9879518072289156,355
er_20_0.7_2,77.0,0.9625,221
geo_14_0.3_0,15.0,1.0,7
geo_14_0.3_1,15.0,1.0,25
geo_14_0.3_2,15.0,1.0,26
geo_14_0.5_0,29.0,1.0,18
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,12
geo_14_0.7_0,39.0,1.0,13
geo_14_0.7_1,46.0,1.0,13
geo_14_0.7_2,41.0,1.0,3
geo_16_0.3_0,17.0,1.0,78
geo_16_0.3_1,22.0,0.9565217391304348,50
geo_16_0.3_2,18.0,1.0,18
geo_16_0.5_0,34.0,0.918918918918919,32
geo_16_0.5_1,44.0,0.9777777777777777,42
geo_16_0.5_2,37.0,1.0,56
geo_16_0.7_0,45.0,1.0,41
geo_16_0.7_1,54.0,0.9818181818181818,3
geo_16_0.7_2,55.0,0.9821428571428571,30
geo_18_0.3_0,19.0,1.0,42
geo_18_0.3_1,24.0,0.96,11
geo_18_0.3_2,23.0,1.0,150
geo_18_0.5_0,40.0,0.975609756097561,91
geo_18_0.5_1,49.0,0.98,99
geo_18_0.5_2,46.0,1.0,113
geo_18_0.7_0,68.0,1.0,62
geo_18_0.7_1,78.0,0.975,54
geo_18_0.7_2,70.0,0.9859154929577465,1
geo_20_0.3_0,30.0,0.967741935483871,493
geo_20_0.3_1,30.0,1.0,287
geo_20_0.3_2,31.0,0.96875,537
geo_20_0.5_0,54.0,1.0,371
geo_20_0.5_1,62.0,0.96875,97
geo_20_0.5_2,57.0,0.9661016949152542,289
geo_20_0.7_0,81.0,0.9878048780487805,366
geo_20_0.7_1,87.0,1.0,203
geo_20_0.7_2,80.0,0.9876543209876543,1
