problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,15
er_14_0.3_1,19.0,1.0,1
er_14_0.3_2,23.0,1.0,23
er_14_0.5_0,34.0,1.0,15
er_14_0.5_1,32.0,1.0,20
er_14_0.5_2,34.0,1.0,11
er_14_0.7_0,42.0,1.0,24
er_14_0.7_1,41.0,1.0,19
er_14_0.7_2,38.0,1.0,19
er_16_0.3_0,26.0,1.0,76
er_16_0.3_1,30.0,1.0,44
er_16_0.3_2,22.0,1.0,89
er_16_0.5_0,47.0,1.0,61
er_16_0.5_1,42.0,1.0,97
er_16_0.5_2,39.0,0.975,59
er_16_0.7_0,50.0,1.0,76
er_16_0.7_1,55.0,1.0,107
er_16_0.7_2,55.0,1.0,13
er_18_0.3_0,36.0,1.0,118
er_18_0.3_1,34.0,1.0,14
er_18_0.3_2,38.0,0.9743589743589743,2
er_18_0.5_0,47.0,1.0,258
er_18_0.5_1,56.0,1.0,103
er_18_0.5_2,56.0,1.0,116
er_18_0.7_0,67.0,1.0,282
er_18_0.7_1,65.0,1.0,373
er_18_0.7_2,65.0,1.0,330
er_20_0.3_0,44.0,1.0,980
er_20_0.3_1,37.0,0.9736842105263158,1
er_20_0.3_2,38.0,1.0,7
er_20_0.5_0,68.0,1.0,1230
er_20_0.5_1,62.0,1.0,1521
er_20_0.5_2,64.0,1.0,519
er_20_0.7_0,89.0,1.0,1715
er_20_0.7_1,83.0,1.0,1651
er_20_0.7_2,80.0,1.0,1235
geo_14_0.3_0,15.0,1.0,5
geo_14_0.3_1,15.0,1.0,12
geo_14_0.3_2,15.0,1.0,20
geo_14_0.5_0,29.0,1.0,9
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,1
geo_14_0.7_0,39.0,1.0,18
geo_14_0.7_1,46.0,1.0,18
geo_14_0.7_2,41.0,1.0,10
geo_16_0.3_0,17.0,1.0,6
geo_16_0.3_1,22.0,0.9565217391304348,3
geo_16_0.3_2,18.0,1.0,1
geo_16_0.5_0,37.0,1.0,102
geo_16_0.5_1,45.0,1.0,78
geo_16_0.5_2,36.0,0.972972972972973,1
geo_16_0.7_0,45.0,1.0,36
geo_16_0.7_1,55.0,1.0,69
geo_16_0.7_2,55.0,0.9821428571428571,41
geo_18_0.3_0,19.0,1.0,48
geo_18_0.3_1,25.0,1.0,247
geo_18_0.3_2,23.0,1.0,170
geo_18_0.5_0,41.0,1.0,117
geo_18_0.5_1,50.0,1.0,331
geo_18_0.5_2,46.0,1.0,143
geo_18_0.7_0,68.0,1.0,266
geo_18_0.7_1,80.0,1.0,1
geo_18_0.7_2,71.0,1.0,356
geo_20_0.3_0,30.0,0.967741935483871,421
geo_20_0.3_1,30.0,1.0,681
geo_20_0.3_2,31.0,0.96875,288
geo_20_0.5_0,53.0,0.9814814814814815,671
geo_20_0.5_1,64.0,1.0,1533
geo_20_0.5_2,59.0,1.0,1297
geo_20_0.7_0,82.0,1.0,1300
geo_20_0.7_1,87.0,1.0,197
geo_20_0.7_2,81.0,1.0,1
