problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,12
er_14_0.3_1,19.0,1.0,17
er_14_0.3_2,23.0,1.0,17
er_14_0.5_0,33.0,0.9705882352941176,13
er_14_0.5_1,32.0,1.0,17
er_14_0.5_2,34.0,1.0,19
er_14_0.7_0,40.0,0.9523809523809523,13
er_14_0.7_1,41.0,1.0,13
er_14_0.7_2,38.0,1.0,16
er_16_0.3_0,26.0,1.0,54
er_16_0.3_1,29.0,0.9666666666666667,37
er_16_0.3_2,21.0,0.9545454545454546,64
er_16_0.5_0,47.0,1.0,56
er_16_0.5_1,42.0,1.0,43
er_16_0.5_2,38.0,0.95,34
er_16_0.7_0,50.0,1.0,29
er_16_0.7_1,55.0,1.0,44
er_16_0.7_2,55.0,1.0,47
er_18_0.3_0,36.0,1.0,242
er_18_0.3_1,34.0,1.0,201
er_18_0.3_2,38.0,0.9743589743589743,123
er_18_0.5_0,47.0,1.0,122
er_18_0.5_1,56.0,1.0,114
er_18_0.5_2,55.0,0.9821428571428571,126
er_18_0.7_0,66.0,0.9850746268656716,111
er_18_0.7_1,65.0,1.0,118
er_18_0.7_2,65.0,1.0,137
er_20_0.3_0,43.0,0.9772727272727273,498
er_20_0.3_1,38.0,1.0,271
er_20_0.3_2,38.0,1.0,444
er_20_0.5_0,67.0,0.9852941176470589,388
er_20_0.5_1,61.0,0.9838709677419355,481
er_20_0.5_2,64.0,1.0,303
er_20_0.7_0,87.0,0.9775280898876404,335
er_20_0.7_1,83.0,1.0,414
er_20_0.7_2,80.0,1.0,246
geo_14_0.3_0,15.0,1.0,16
geo_14_0.3_1,15.0,1.0,18
geo_14_0.3_2,15.0,1.0,22
geo_14_0.5_0,29.0,1.0,2
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,14
geo_14_0.7_0,39.0,1.0,21
geo_14_0.7_1,44.0,0.9565217391304348,8
geo_14_0.7_2,41.0,1.0,23
geo_16_0.3_0,17.0,1.0,48
geo_16_0.3_1,23.0,1.0,47
geo_16_0.3_2,18.0,1.0,46
geo_16_0.5_0,37.0,1.0,39
geo_16_0.5_1,45.0,1.0,23
geo_16_0.5_2,36.0,0.972972972972973,5
geo_16_0.7_0,45.0,1.0,57
geo_16_0.7_1,54.0,0.9818181818181818,36
geo_16_0.7_2,55.0,0.9821428571428571,17
geo_18_0.3_0,19.0,1.0,202
geo_18_0.3_1,25.0,1.0,134
geo_18_0.3_2,23.0,1.0,155
geo_18_0.5_0,41.0,1.0,140
geo_18_0.5_1,49.0,0.98,3
geo_18_0.5_2,46.0,1.0,119
geo_18_0.7_0,67.0,0.9852941176470589,148
geo_18_0.7_1,80.0,1.0,57
geo_18_0.7_2,70.0,0.9859154929577465,1
geo_20_0.3_0,31.0,1.0,504
geo_20_0.3_1,30.0,1.0,3
geo_20_0.3_2,32.0,1.0,620
geo_20_0.5_0,53.0,0.9814814814814815,422
geo_20_0.5_1,63.0,0.984375,367
geo_20_0.5_2,59.0,1.0,472
geo_20_0.7_0,80.0,0.975609756097561,294
geo_20_0.7_1,86.0,0.9885057471264368,274
geo_20_0.7_2,81.0,1.0,320
