problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,6
er_14_0.3_1,19.0,1.0,1
er_14_0.3_2,23.0,1.0,16
er_14_0.5_0,34.0,1.0,6
er_14_0.5_1,32.0,1.0,24
er_14_0.5_2,34.0,1.0,13
er_14_0.7_0,42.0,1.0,16
er_14_0.7_1,41.0,1.0,27
er_14_0.7_2,38.0,1.0,12
er_16_0.3_0,26.0,1.0,18
er_16_0.3_1,30.0,1.0,38
er_16_0.3_2,22.0,1.0,18
er_16_0.5_0,47.0,1.0,11
er_16_0.5_1,42.0,1.0,57
er_16_0.5_2,39.0,0.975,15
er_16_0.7_0,50.0,1.0,11
er_16_0.7_1,55.0,1.0,38
er_16_0.7_2,55.0,1.0,33
er_18_0.3_0,36.0,1.0,28
er_18_0.3_1,34.0,1.0,10
er_18_0.3_2,38.0,0.9743589743589743,2
er_18_0.5_0,47.0,1.0,80
er_18_0.5_1,56.0,1.0,103
er_18_0.5_2,56.0,1.0,92
er_18_0.7_0,67.0,1.0,462
er_18_0.7_1,65.0,1.0,44
er_18_0.7_2,65.0,1.0,32
er_20_0.3_0,44.0,1.0,96
er_20_0.3_1,38.0,1.0,15
er_20_0.3_2,38.0,1.0,3
er_20_0.5_0,68.0,1.0,1560
er_20_0.5_1,62.0,1.0,1059
er_20_0.5_2,64.0,1.0,99
er_20_0.7_0,89.0,1.0,671
er_20_0.7_1,83.0,1.0,799
er_20_0.7_2,80.0,1.0,1128
geo_14_0.3_0,15.0,1.0,3
geo_14_0.3_1,15.0,1.0,12
geo_14_0.3_2,15.0,1.0,12
geo_14_0.5_0,29.0,1.0,8
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,1
geo_14_0.7_0,39.0,1.0,15
geo_14_0.7_1,46.0,1.0,28
geo_14_0.7_2,41.0,1.0,22
geo_16_0.3_0,17.0,1.0,7
geo_16_0.3_1,22.0,0.9565217391304348,2
geo_16_0.3_2,18.0,1.0,1
geo_16_0.5_0,37.0,1.0,54
geo_16_0.5_1,45.0,1.0,102
geo_16_0.5_2,36.0,0.972972972972973,1
geo_16_0.7_0,45.0,1.0,15
geo_16_0.7_1,55.0,1.0,119
geo_16_0.7_2,55.0,0.9821428571428571,49
geo_18_0.3_0,19.0,1.0,14
geo_18_0.3_1,25.0,1.0,111
geo_18_0.3_2,23.0,1.0,27
geo_18_0.5_0,41.0,1.0,286
geo_18_0.5_1,50.0,1.0,365
geo_18_0.5_2,46.0,1.0,453
geo_18_0.7_0,68.0,1.0,55
geo_18_0.7_1,80.0,1.0,1
geo_18_0.7_2,71.0,1.0,314
geo_20_0.3_0,30.0,0.967741935483871,169
geo_20_0.3_1,30.0,1.0,52
geo_20_0.3_2,31.0,0.96875,105
geo_20_0.5_0,53.0,0.9814814814814815,713
geo_20_0.5_1,64.0,1.0,667
geo_20_0.5_2,59.0,1.0,347
geo_20_0.7_0,82.0,1.0,1498
geo_20_0.7_1,87.0,1.0,474
geo_20_0.7_2,81.0,1.0,1
