problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,15
er_14_0.3_1,18.0,0.9473684210526315,6
er_14_0.3_2,22.0,0.9565217391304348,5
er_14_0.5_0,34.0,1.0,5
er_14_0.5_1,31.0,0.96875,14
er_14_0.5_2,32.0,0.9411764705882353,5
er_14_0.7_0,42.0,1.0,3
er_14_0.7_1,40.0,0.975609756097561,5
er_14_0.7_2,37.0,0.9736842105263158,5
er_16_0.3_0,26.0,1.0,12
er_16_0.3_1,30.0,1.0,16
er_16_0.3_2,21.0,0.9545454545454546,7
er_16_0.5_0,46.0,0.9787234042553191,13
er_16_0.5_1,40.0,0.9523809523809523,32
er_16_0.5_2,38.0,0.95,7
er_16_0.7_0,49.0,0.98,8
er_16_0.7_1,54.0,0.9818181818181818,13
er_16_0.7_2,55.0,1.0,12
er_18_0.3_0,36.0,1.0,22
er_18_0.3_1,34.0,1.0,64
er_18_0.3_2,38.0,0.9743589743589743,35
er_18_0.5_0,45.0,0.9574468085106383,40
er_18_0.5_1,56.0,1.0,86
er_18_0.5_2,52.0,0.9285714285714286,45
er_18_0.7_0,64.0,0.9552238805970149,35
er_18_0.7_1,64.0,0.9846153846153847,19
er_18_0.7_2,65.0,1.0,26
er_20_0.3_0,43.0,0.9772727272727273,270
er_20_0.3_1,38.0,1.0,61
er_20_0.3_2,36.0,0.9473684210526315,26
er_20_0.5_0,66.0,0.9705882352941176,167
er_20_0.5_1,58.0,0.9354838709677419,162
er_20_0.5_2,64.0,1.0,12
er_20_0.7_0,85.0,0.9550561797752809,320
er_20_0.7_1,82.0,0.9879518072289156,89
er_20_0.7_2,78.0,0.975,180
geo_14_0.3_0,15.0,1.0,3
geo_14_0.3_1,15.0,1.0,5
geo_14_0.3_2,15.0,1.0,9
geo_14_0.5_0,29.0,1.0,5
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,13
geo_14_0.7_0,39.0,1.0,14
geo_14_0.7_1,46.0,1.0,5
geo_14_0.7_2,41.0,1.0,2
geo_16_0.3_0,17.0,1.0,7
geo_16_0.3_1,22.0,0.9565217391304348,38
geo_16_0.3_2,18.0,1.0,42
geo_16_0.5_0,37.0,1.0,11
geo_16_0.5_1,44.0,0.9777777777777777,13
geo_16_0.5_2,36.0,0.972972972972973,8
geo_16_0.7_0,45.0,1.0,36
geo_16_0.7_1,54.0,0.9818181818181818,2
geo_16_0.7_2,55.0,0.9821428571428571,11
geo_18_0.3_0,19.0,1.0,6
geo_18_0.3_1,24.0,0.96,7
geo_18_0.3_2,23.0,1.0,85
geo_18_0.5_0,40.0,0.975609756097561,69
geo_18_0.5_1,49.0,0.98,50
geo_18_0.5_2,46.0,1.0,49
geo_18_0.7_0,68.0,1.0,107
geo_18_0.7_1,78.0,0.975,49
geo_18_0.7_2,70.0,0.9859154929577465,1
geo_20_0.3_0,30.0,0.967741935483871,8
geo_20_0.3_1,30.0,1.0,214
geo_20_0.3_2,31.0,0.96875,14
geo_20_0.5_0,54.0,1.0,147
geo_20_0.5_1,62.0,0.96875,22
geo_20_0.5_2,57.0,0.9661016949152542,160
geo_20_0.7_0,81.0,0.9878048780487805,157
geo_20_0.7_1,87.0,1.0,211
geo_20_0.7_2,81.0,1.0,175
