problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,27.0,0.9310344827586207,13
er_14_0.3_1,19.0,1.0,15
er_14_0.3_2,23.0,1.0,16
er_14_0.5_0,33.0,0.9705882352941176,10
er_14_0.5_1,31.0,0.96875,14
er_14_0.5_2,34.0,1.0,12
er_14_0.7_0,42.0,1.0,22
er_14_0.7_1,40.0,0.975609756097561,12
er_14_0.7_2,37.0,0.9736842105263158,12
er_16_0.3_0,26.0,1.0,58
er_16_0.3_1,28.0,0.9333333333333333,1
er_16_0.3_2,22.0,1.0,70
er_16_0.5_0,45.0,0.9574468085106383,55
er_16_0.5_1,41.0,0.9761904761904762,3
er_16_0.5_2,40.0,1.0,60
er_16_0.7_0,50.0,1.0,28
er_16_0.7_1,55.0,1.0,48
er_16_0.7_2,55.0,1.0,41
er_18_0.3_0,33.0,0.9166666666666666,7
er_18_0.3_1,34.0,1.0,157
er_18_0.3_2,37.0,0.9487179487179487,11
er_18_0.5_0,47.0,1.0,175
er_18_0.5_1,56.0,1.0,117
er_18_0.5_2,56.0,1.0,171
er_18_0.7_0,67.0,1.0,128
er_18_0.7_1,65.0,1.0,146
er_18_0.7_2,65.0,1.0,23
er_20_0.3_0,44.0,1.0,542
er_20_0.3_1,38.0,1.0,96
er_20_0.3_2,38.0,1.0,39
er_20_0.5_0,66.0,0.9705882352941176,183
er_20_0.5_1,60.0,0.967741935483871,469
er_20_0.5_2,64.0,1.0,368
er_20_0.7_0,87.0,0.9775280898876404,264
er_20_0.7_1,82.0,0.9879518072289156,3
er_20_0.7_2,79.0,0.9875,325
geo_14_0.3_0,15.0,1.0,13
geo_14_0.3_1,15.0,1.0,21
geo_14_0.3_2,15.0,1.0,28
geo_14_0.5_0,29.0,1.0,12
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,2
geo_14_0.7_0,39.0,1.0,14
geo_14_0.7_1,46.0,1.0,6
geo_14_0.7_2,41.0,1.0,3
geo_16_0.3_0,17.0,1.0,67
geo_16_0.3_1,23.0,1.0,41
geo_16_0.3_2,18.0,1.0,17
geo_16_0.5_0,35.0,0.9459459459459459,55
geo_16_0.5_1,44.0,0.9777777777777777,31
geo_16_0.5_2,37.0,1.0,46
geo_16_0.7_0,45.0,1.0,41
geo_16_0.7_1,54.0,0.9818181818181818,2
geo_16_0.7_2,56.0,1.0,19
geo_18_0.3_0,19.0,1.0,188
geo_18_0.3_1,25.0,1.0,177
geo_18_0.3_2,23.0,1.0,4
geo_18_0.5_0,40.0,0.975609756097561,121
geo_18_0.5_1,49.0,0.98,101
geo_18_0.5_2,46.0,1.0,94
geo_18_0.7_0,68.0,1.0,72
geo_18_0.7_1,80.0,1.0,118
geo_18_0.7_2,71.0,1.0,112
geo_20_0.3_0,31.0,1.0,402
geo_20_0.3_1,30.0,1.0,436
geo_20_0.3_2,32.0,1.0,553
geo_20_0.5_0,53.0,0.9814814814814815,462
geo_20_0.5_1,62.0,0.96875,448
geo_20_0.5_2,58.0,0.9830508474576272,365
geo_20_0.7_0,82.0,1.0,427
geo_20_0.7_1,87.0,1.0,289
geo_20_0.7_2,80.0,0.9876543209876543,1
